N	3gram	Vinokur_Vv	Marksizm
1	с точки зрения	4	46
2	не может быть	10	25
3	в самом деле	6	19
4	по отношению к	4	15
5	то же время	6	15
6	в то же	6	15
7	в том что	15	14
8	в связи с	2	14
9	в русском языке	1	14
10	то ни было	1	12
11	бы то ни	1	12
12	для того чтобы	22	11
13	до сих пор	7	11
14	в отличие от	4	10
15	с самого начала	1	10
16	одного и того	2	9
17	как если бы	1	9
18	и того же	2	9
19	но в то	3	9
20	в настоящее время	1	8
21	то же самое	3	8
22	может быть и	2	8
23	смысле этого слова	2	7
24	с другой стороны	5	7
25	в свою очередь	2	7
26	как мы знаем	1	7
27	как мы уже	2	6
28	в точном смысле	1	6
29	на самом деле	1	6
30	во всяком случае	5	6
31	с одной стороны	4	6
32	языка и его	2	6
33	на этой почве	2	5
34	в таком случае	1	5
35	к тому что	1	5
36	отсюда следует что	1	5
37	той или иной	3	5
38	как мы видели	3	5
39	в этом случае	6	5
40	в этом отношении	4	5
41	мы уже знаем	2	4
42	философии языка и	1	4
43	в первом случае	2	4
44	в зависимости от	3	4
45	быть и речи	1	4
46	и прежде всего	1	4
47	но все же	4	4
48	так как если	1	4
49	о том что	13	4
50	можно сказать что	3	4
51	в слове в	1	4
52	том что он	1	4
53	в той или	1	3
54	свое выражение в	1	3
55	не только в	4	3
56	в применении к	6	3
57	науки о языке	1	3
58	тем не менее	9	3
59	одной стороны и	3	3
60	хотя бы и	2	3
61	в том числе	1	3
62	более или менее	1	3
63	и то же	2	3
64	этот вопрос мы	1	3
65	в конце концов	2	3
66	в данном отношении	2	3
67	не могут быть	2	3
68	в значительной степени	1	3
69	и в этом	4	3
70	в науке о	1	3
71	но и в	1	3
72	какой бы то	1	3
73	и не в	1	3
74	и что это	1	3
75	и той же	2	3
76	связи с этим	1	3
77	на этот вопрос	5	3
78	не было бы	1	3
79	одно и то	2	3
80	можно было бы	4	3
81	одной и той	2	3
82	тех пор пока	1	2
83	из всего сказанного	1	2
84	или иной степени	1	2
85	себе отчет в	1	2
86	в этом смысле	10	2
87	и в результате	1	2
88	в собственном смысле	3	2
89	того чтобы понять	3	2
90	так или иначе	4	2
91	а между тем	2	2
92	само по себе	4	2
93	в данном случае	4	2
94	в том или	2	2
95	именно для того	1	2
96	в этой форме	1	2
97	сама по себе	3	2
98	лицом к лицу	1	2
99	а не только	1	2
100	не то что	1	2
101	и в том	4	2
102	в эпоху возрождения	1	2
103	собственном смысле слова	1	2
104	того или иного	1	2
105	от того что	1	2
106	не в содержании	1	2
107	и в особенности	4	2
108	по крайней мере	4	2
109	том или ином	2	2
110	и тогда когда	1	2
111	ту или иную	1	2
112	и история языка	1	2
113	только в этом	1	2
114	в чем же	3	2
115	до тех пор	1	2
116	находит свое выражение	1	2
117	в достаточной степени	1	2
118	так же как	1	2
119	но не к	1	2
120	с тем что	3	2
121	в широком смысле	7	2
122	и в самом	3	2
123	только с помощью	1	2
124	вопрос о том	5	2
125	прежде всего в	1	2
126	развития современных европейских	1	1
127	выходящее за пределы	1	1
128	но ведь это	1	1
129	как она есть	2	1
130	в формах языка	2	1
131	соответствии с этим	1	1
132	бы и не	1	1
133	все то что	1	1
134	а не иначе	1	1
135	во второй части	1	1
136	и эта черта	1	1
137	и чем они	1	1
138	в нем не	1	1
139	этого слова как	1	1
140	который мог бы	1	1
141	как одна из	1	1
142	одной из этих	1	1
143	было бы в	1	1
144	на том что	2	1
145	по сравнению с	4	1
146	по вопросу о	1	1
147	из этих двух	1	1
148	все это и	1	1
149	имеется в виду	1	1
150	если же мы	1	1
151	то или иное	1	1
152	язык в его	1	1
153	до наших дней	2	1
154	говоря уже о	1	1
155	история языка могут	1	1
156	с этой точки	2	1
157	вовсе не в	2	1
158	наоборот как мы	1	1
159	в том же	1	1
160	но если мы	1	1
161	и для которого	1	1
162	язык как на	1	1
163	сторон во-первых с	1	1
164	на нее не	1	1
165	в строгом смысле	3	1
166	но в известном	1	1
167	в достаточной мере	1	1
168	того что уже	2	1
169	самом деле даже	1	1
170	входит в ее	1	1
171	может быть только	1	1
172	сам по себе	2	1
173	кажется само собой	1	1
174	как и везде	1	1
175	так а не	1	1
176	и в более	1	1
177	но что такое	1	1
178	приходит к выводу	1	1
179	но с точки	1	1
180	и истории в	1	1
181	но как мы	1	1
182	следует что в	1	1
183	к языку как	1	1
184	не иначе как	1	1
185	в соответствии с	2	1
186	но также и	10	1
187	а в том	1	1
188	может быть названа	1	1
189	уже не имеет	1	1
190	слова для того	1	1
191	так называемой национальной	1	1
192	сказать что он	1	1
193	и вопрос о	1	1
194	каждой из этих	1	1
195	к одной из	1	1
196	имел в виду	1	1
197	все это не	1	1
198	но в этом	1	1
199	в одном случае	1	1
200	него в этом	1	1
201	только в особых	1	1
202	этот вопрос о	1	1
203	по самой своей	2	1
204	все эти области	1	1
205	не существует и	1	1
206	же самое что	2	1
207	одними и теми	1	1
208	только в форме	1	1
209	не только по	1	1
210	в истории языка	1	1
211	широком смысле слова	4	1
212	вопрос о конкретных	1	1
213	себе самому и	1	1
214	все же в	1	1
215	дать ответ на	2	1
216	большей или меньшей	3	1
217	вместе с тем	3	1
218	вообще не существует	1	1
219	строгом смысле этого	1	1
220	одним из наиболее	1	1
221	а если и	1	1
222	более того не	1	1
223	тем что в	1	1
224	о языке и	3	1
225	сам для себя	1	1
226	что иное как	5	1
227	бы сказать что	1	1
228	речь идет об	1	1
229	само собой разумеющимся	1	1
230	истории языка и	3	1
231	таким образом по	2	1
232	ее выражение и	1	1
233	здесь как и	1	1
234	о том каким	1	1
235	в другом месте	2	1
236	этой точки зрения	2	1
237	в гораздо большей	1	1
238	что же касается	2	1
239	в своей работе	1	1
240	в целом ряде	2	1
241	то что в	1	1
242	может быть в	2	1
243	и его учеников	1	1
244	к выводу что	6	1
