N	3gram	Medvedev_V	Formalny
1	не может быть	8	29
2	то же время	5	20
3	в то же	5	20
4	и т д	16	19
5	и т п	9	18
6	в связи с	4	16
7	во всяком случае	2	16
8	по отношению к	7	12
9	в самом деле	1	11
10	в этом отношении	14	11
11	в зависимости от	5	10
12	с другой стороны	8	9
13	и не может	2	9
14	для того чтобы	3	8
15	до сих пор	2	8
16	вместе с тем	4	8
17	с одной стороны	2	8
18	в применении к	1	7
19	более или менее	6	7
20	того или иного	1	7
21	сами по себе	1	7
22	в свою очередь	1	7
23	как мы знаем	1	7
24	в том что	5	6
25	и в то	3	6
26	в данном случае	1	6
27	мы полагаем что	1	6
28	не только не	2	6
29	в художественном произведении	4	6
30	может быть и	1	6
31	одной стороны и	2	5
32	в этом смысле	1	5
33	к тому что	4	5
34	в художественное произведение	1	4
35	не в том	2	4
36	в конце концов	2	4
37	в последнем счете	1	4
38	не могут быть	4	4
39	в процессе этого	1	4
40	но все же	1	4
41	но и в	1	4
42	как и все	1	4
43	подобно тому как	3	4
44	хотя бы в	3	4
45	нет и не	1	4
46	по аналогии с	1	4
47	сама по себе	1	4
48	элемент художественного произведения	1	3
49	то или иное	1	3
50	так и от	2	3
51	в том числе	2	3
52	так или иначе	1	3
53	том числе и	2	3
54	быть и речи	1	3
55	то же самое	1	3
56	таким образом не	3	3
57	только то что	2	3
58	равно как и	4	3
59	в том смысле	1	3
60	в том чтобы	2	3
61	главным образом на	1	3
62	в противном случае	2	3
63	но в то	1	3
64	именно в том	1	3
65	т е в	2	3
66	произведения и его	1	3
67	между этими двумя	1	3
68	все то что	1	2
69	а порою и	1	2
70	не могло бы	1	2
71	о том как	3	2
72	том смысле что	1	2
73	мы говорим о	1	2
74	отсюда следует что	1	2
75	хотя бы и	5	2
76	говоря уже о	1	2
77	с этой точки	1	2
78	в этом процессе	2	2
79	произведения так и	1	2
80	но даже и	1	2
81	совершенно очевидно что	1	2
82	в том случае	1	2
83	иметь в виду	2	2
84	что перед нами	1	2
85	могло бы быть	1	2
86	тех или иных	1	2
87	в том или	1	2
88	как если бы	1	2
89	громадное значение для	1	2
90	в таком случае	1	2
91	даже и не	1	2
92	в своем творчестве	3	2
93	мы видели что	3	2
94	от всех других	1	2
95	именно в этом	1	2
96	в какой мере	1	2
97	как это было	1	2
98	в процессе художественного	3	2
99	выйти за пределы	1	2
100	имеем в виду	1	2
101	этой точки зрения	2	2
102	том или ином	1	2
103	как один из	1	2
104	и художественное произведение	1	2
105	от того что	2	2
106	ничего общего с	1	2
107	по себе в	1	2
108	этом отношении очень	1	2
109	все эти определения	1	2
110	на этот вопрос	1	2
111	не говоря уже	1	2
112	со всех сторон	1	2
113	художественного произведения и	1	2
114	и в их	1	2
115	не только в	2	2
116	так же как	1	2
117	всего может быть	1	2
118	в этом случае	1	2
119	в виду что	1	2
120	художественного произведения не	1	2
121	действительности и ее	2	2
122	от всей полноты	1	2
123	дело не в	1	2
124	лежит в основе	1	2
125	тот или иной	1	2
126	данного произведения как	1	1
127	что он не	1	1
128	никак не могут	1	1
129	бытием и в	1	1
130	как особый специфический	1	1
131	таким образом сама	1	1
132	лишь в пределах	2	1
133	это то что	1	1
134	время никогда не	1	1
135	романа т е	1	1
136	отношении что они	1	1
137	отнюдь не в	1	1
138	искусстве и в	1	1
139	следует однако отметить	1	1
140	но вместе с	1	1
141	художественной структуры в	1	1
142	структуры в единстве	1	1
143	во всей ее	1	1
144	виду что в	1	1
145	не типичны для	1	1
146	же время никогда	1	1
147	однако отметить что	1	1
148	говорить только о	1	1
149	том отношении что	2	1
150	по сравнению с	1	1
151	часто смешивают с	1	1
152	не в этом	1	1
153	что ни одна	1	1
154	в ином контексте	1	1
155	данного произведения в	1	1
156	содержания и формы	1	1
157	все те черты	1	1
158	он и не	1	1
159	в искусстве но	1	1
160	т е объединения	1	1
161	с реальной действительностью	1	1
162	и др но	1	1
163	что они не	1	1
164	не значит что	1	1
165	в том же	1	1
166	и так или	1	1
167	и во всех	1	1
168	произведения в целом	1	1
169	т е от	1	1
170	нет бессодержательной формы	1	1
171	вот что говорит	3	1
172	и как увидим	1	1
173	органической связи с	1	1
174	прежде всего необходимо	1	1
175	художественного произведения этот	1	1
176	это происходит в	1	1
177	и то же	1	1
178	говорит о том	1	1
179	в художественном образе	1	1
180	в частности в	2	1
181	с реальной жизнью	1	1
182	в искусстве и	1	1
183	на эти вопросы	2	1
184	произведения от его	1	1
185	мы знаем что	2	1
186	где же в	1	1
187	что в процессе	1	1
188	в силу этого	4	1
189	в следующих словах	1	1
190	то о чем	1	1
191	в этом плане	1	1
192	материал а если	1	1
193	три года в	1	1
194	что он в	1	1
195	в виду именно	1	1
196	в нем уже	1	1
197	когда говорят о	1	1
198	одним из элементов	1	1
199	и не должна	1	1
200	в этой области	3	1
201	и вместе с	1	1
202	выводам приводит и	1	1
203	что оно является	1	1
204	и никогда не	2	1
205	таким образом в	2	1
206	на этом этапе	1	1
207	зависимости от различных	1	1
208	без нее не	1	1
209	и по отношению	1	1
210	в подавляющем большинстве	1	1
211	чем иным как	1	1
212	и непосредственно как	1	1
213	только один из	1	1
214	каждой из этих	2	1
215	не может не	2	1
216	вытекает из всей	1	1
217	в целом и	1	1
218	очевидно что в	1	1
219	и в прозе	1	1
220	как это происходит	1	1
221	и сводится к	1	1
222	по этому поводу	7	1
223	этих и подобных	3	1
224	ни к какому	1	1
225	это только материал	1	1
226	все это не	1	1
227	нет никаких оснований	2	1
228	сказать что ни	1	1
229	а не только	1	1
230	и в искусстве	1	1
231	единстве художественного целого	1	1
232	и речи о	1	1
233	и через это	2	1
234	теми или иными	1	1
235	мы видим что	1	1
236	между собою в	1	1
237	между ними не	1	1
238	следует отметить что	1	1
239	художественного творчества и	1	1
240	может быть принята	1	1
241	со всем что	1	1
242	вместе с этим	1	1
243	если так то	1	1
244	он пишет в	1	1
245	т е не	1	1
246	чуть ли не	2	1
247	той или иной	1	1
248	того обстоятельства что	1	1
249	большей или меньшей	3	1
250	этот процесс и	1	1
251	т п все	1	1
252	в этом заключается	1	1
253	на то что	1	1
254	а вместе с	1	1
255	и может быть	1	1
256	можно утверждать что	4	1
257	эстетики и психологии	1	1
258	в этом же	1	1
259	творчества и жизни	1	1
260	в чем же	2	1
261	в историю литературы	1	1
262	таким образом по	2	1
263	в слове произведения	1	1
264	может быть даже	1	1
265	числе и художественное	1	1
266	о том что	3	1
267	ни в какой	1	1
268	бы в основных	1	1
269	по крайней мере	2	1
270	а не по	1	1
271	лицом к лицу	1	1
272	и без того	1	1
273	является краеугольным камнем	1	1
274	ту или иную	1	1
275	здесь не могут	1	1
276	данного человека и	1	1
277	что все они	1	1
278	специальных проблем и	1	1
279	можно сказать что	4	1
280	для многих из	1	1
281	художников и в	1	1
282	только в том	2	1
283	в художественном творчестве	5	1
284	только в этом	1	1
285	в то время	1	1
286	в точном смысле	2	1
287	точки зрения на	1	1
288	все же не	1	1
289	же в таком	1	1
290	во взглядах на	1	1
291	но даже в	1	1
292	хотя и не	1	1
293	не было бы	4	1
294	сложные задачи и	1	1
295	не чем иным	1	1
296	и подобных им	4	1
297	не материал а	1	1
298	может быть никакого	1	1
299	другой стороны в	1	1
300	искусства не могло	1	1
301	одно и то	1	1
302	из этих элементов	1	1
303	только в искусстве	1	1
304	в светлое поле	1	1
305	или меньшей степени	2	1
306	в его своеобразии	1	1
307	во всех этих	2	1
308	говорит об этом	1	1
309	при помощи которой	1	1
310	жизнью и ее	1	1
