N	4gram	Vygotskiy_	Tvorches
1	в том что в	2	3
2	в том числе и	2	2
3	заключается в том что	10	2
4	это не значит что	1	2
5	для того чтобы изучить	1	1
6	в то же самое	1	1
7	не что иное как	2	1
8	но для того чтобы	1	1
9	равно как и на	1	1
10	это сказывается в том	1	1
11	у нас до сих	1	1
12	едва ли не первым	1	1
13	не значит что он	1	1
14	по мере своего развития	1	1
15	в том смысле что	1	1
16	а с другой стороны	2	1
17	означает в то же	1	1
18	все более и более	3	1
19	но с точки зрения	1	1
20	одного и того же	8	1
21	это означало бы что	1	1
22	в первую очередь по	1	1
23	и те и другие	1	1
24	ответ на этот вопрос	2	1
25	мы имеем в виду	1	1
26	вопрос о том не	1	1
27	в самом деле как	1	1
28	бы то ни было	1	1
29	то же самое время	1	1
30	которые сами по себе	1	1
31	и в конце концов	1	1
32	так же как и	2	1
33	нас до сих пор	1	1
34	если можно так выразиться	1	1
