N	3gram	Kanaev_Sov	Myshleni
1	в том что	1	133
2	с точки зрения	5	89
3	по отношению к	1	42
4	так же как	1	39
5	с одной стороны	1	39
6	с самого начала	3	36
7	друг с другом	2	35
8	то же самое	2	31
9	можно было бы	1	28
10	в этом случае	1	27
11	не может быть	4	23
12	в зависимости от	4	22
13	в самом деле	1	19
14	в отличие от	2	18
15	во всяком случае	2	18
16	в этом смысле	1	18
17	до сих пор	1	17
18	в связи с	1	17
19	в данном случае	1	15
20	в известном смысле	1	15
21	и той же	1	15
22	одной и той	1	15
23	на этот вопрос	1	14
24	мы видели что	3	14
25	в свою очередь	2	14
26	это значит что	1	13
27	один и тот	1	12
28	и тот же	1	12
29	тем не менее	2	12
30	мы не можем	6	11
31	в процессе развития	1	11
32	в такой же	1	11
33	одной стороны и	1	10
34	такой же мере	1	10
35	тот факт что	1	10
36	друг на друга	1	10
37	с помощью которых	2	10
38	в конечном счете	1	9
39	на самом деле	1	9
40	более и более	1	8
41	той или иной	1	8
42	к одному и	1	8
43	не могут быть	1	8
44	в этой области	1	8
45	все более и	1	8
46	шаг за шагом	1	7
47	же самое что	1	7
48	совершенно так же	1	6
49	в обоих случаях	1	6
50	заключает в себе	1	6
51	и не может	1	6
52	не что иное	1	6
53	что иное как	1	6
54	но все же	1	5
55	сами по себе	1	5
56	не может не	3	5
57	так как он	2	5
58	и в этом	1	5
59	когда мы говорим	1	5
60	мы знаем что	1	5
61	в свое время	1	5
62	на этой стадии	1	5
63	в то же	1	5
64	все эти три	1	5
65	представление о том	1	5
66	мы видим что	1	4
67	одни и те	1	4
68	влечет за собой	1	4
69	по аналогии с	1	4
70	на этот раз	1	4
71	с помощью которой	1	4
72	есть не что	1	4
73	и речи мы	1	4
74	и те же	1	4
75	вместе с ним	1	4
76	то ни было	1	3
77	мы говорим о	1	3
78	она не может	1	3
79	подлежит никакому сомнению	1	3
80	в скрытом виде	1	3
81	то же время	1	3
82	с этим вопросом	1	3
83	одна и та	1	3
84	дело в том	1	3
85	в конце развития	2	3
86	оно может быть	1	3
87	как и во	1	3
88	в наших экспериментах	1	3
89	но мы знаем	1	3
90	этой стадии развития	1	3
91	и во всех	1	3
92	но если мы	1	3
93	все же в	1	3
94	по самому своему	1	3
95	как мы это	1	3
96	бы то ни	1	3
97	не подлежит никакому	1	3
98	в которой он	1	3
99	в настоящее время	2	3
100	и что следовательно	1	3
101	и та же	1	3
102	точки зрения с	1	2
103	в этом направлении	1	2
104	между ним и	1	2
105	дело идет о	1	2
106	стадии своего развития	1	2
107	хотим сказать что	1	2
108	к которому они	1	2
109	возникновения и развития	1	2
110	помощью которых он	1	2
111	у нас на	1	2
112	и может быть	1	2
113	никакому сомнению что	1	2
114	таким образом все	1	2
115	тот же процесс	1	2
116	к чему мы	1	2
117	может быть в	1	2
118	и благодаря этому	1	2
119	в одном случае	1	2
120	не опирается на	1	2
121	и все же	1	2
122	раз и навсегда	1	2
123	в самом конце	1	2
124	в этой стадии	1	2
125	не хотим сказать	1	2
126	в себе в	1	2
127	из этих двух	1	2
128	в том случае	1	2
129	и к другому	1	2
130	заключать в себе	1	2
131	развития в зависимости	1	2
132	мы не знаем	1	2
133	и именно в	1	2
134	только и могут	1	2
135	и во всей	1	2
136	и ничего не	1	2
137	развития с точки	1	2
138	но тем не	1	2
139	не давая себе	1	2
140	в течение нескольких	1	2
141	точки зрения и	1	2
142	тот или иной	1	2
143	приводит и к	1	2
144	что в каждом	1	1
145	но ведь это	1	1
146	такое объяснение не	1	1
147	мы уже знаем	1	1
148	только одна из	1	1
149	с другом мы	1	1
150	говорить только о	1	1
151	чем в первом	1	1
152	все равно будет	1	1
153	иметь место только	1	1
154	и все те	1	1
155	сих пор в	1	1
156	в предыдущей главе	1	1
157	и что она	1	1
158	они не могут	1	1
159	можем ли мы	1	1
160	которая не может	1	1
161	таким образом ясно	1	1
162	что при таком	1	1
163	может не быть	1	1
164	во всех деталях	1	1
165	видели что это	1	1
166	мы видели далее	1	1
167	пока наконец не	2	1
168	на какой бы	1	1
169	дело если бы	1	1
170	только на его	1	1
171	самому своему существу	1	1
172	но мы уже	1	1
173	это означало бы	1	1
174	на которых по	1	1
175	а не только	1	1
176	все они одинаково	1	1
177	но никогда не	1	1
178	же это не	1	1
179	те или иные	1	1
180	тем же законам	1	1
181	видели далее что	1	1
182	у каждого из	1	1
183	и у нас	1	1
184	и могут быть	1	1
185	ясно что при	1	1
186	же самое в	1	1
187	не было бы	1	1
188	окружающих его условий	1	1
189	по крайней мере	1	1
190	как и вся	1	1
191	со всеми его	1	1
192	не более как	1	1
193	или как он	1	1
194	что это совершенно	1	1
195	ничто не может	1	1
196	которому они относятся	1	1
197	в том предмете	1	1
198	образом ясно что	1	1
