N	2gram	Bakhtin_Pr	Hudozhes
1	то есть	46	26
2	в мире	3	24
3	и в	38	23
4	не только	9	20
5	в том	8	20
6	при этом	5	19
7	может быть	26	19
8	в частности	2	18
9	и не	42	16
10	но и	9	14
11	а не	5	13
12	но не	12	13
13	а в	6	13
14	я в	1	13
15	в себе	4	13
16	в этом	15	12
17	то же	5	12
18	так и	5	12
19	и его	16	12
20	как бы	22	11
21	точки зрения	8	11
22	в его	43	11
23	по отношению	21	10
24	но в	4	10
25	отношению к	19	10
26	в душе	1	9
27	или иной	2	9
28	том что	3	9
29	с другой	7	9
30	в искусстве	12	9
31	не в	7	9
32	не может	27	9
33	в принципе	1	8
34	себя в	2	8
35	в области	11	8
36	в то	4	8
37	что в	7	7
38	в самом	7	7
39	только в	13	7
40	в своей	7	7
41	в основе	5	7
42	же время	3	7
43	в отличие	5	7
44	отличие от	5	7
45	как это	2	7
46	лишь в	2	7
47	отношение к	10	7
48	другой стороны	4	6
49	приводит к	3	6
50	уже не	1	6
51	можно сказать	2	6
52	с ее	1	6
53	художественного творчества	12	6
54	с его	2	6
55	мы имеем	2	6
56	в ее	4	6
57	а также	1	6
58	в нем	15	6
59	искусства в	2	6
60	эстетическая деятельность	2	5
61	ни в	11	5
62	в виду	4	5
63	не на	5	5
64	конечном счете	4	5
65	что он	2	5
66	в художественном	20	5
67	не менее	4	5
68	не является	3	5
69	того чтобы	2	5
70	для того	2	5
71	как к	2	5
72	для него	1	5
73	того что	2	5
74	прежде всего	13	5
75	с другими	3	5
76	в их	10	5
77	а на	1	5
78	в конечном	4	5
79	или иначе	1	5
80	говоря словами	1	5
81	между ними	4	5
82	той или	2	5
83	высказывания в	1	5
84	тем самым	4	5
85	то что	8	5
86	могут быть	5	5
87	место в	8	5
88	слова как	1	5
89	во втором	1	4
90	эстетического объекта	37	4
91	не следует	2	4
92	например в	3	4
93	отношения к	6	4
94	в слове	3	4
95	еще не	7	4
96	художественного восприятия	2	4
97	в данном	4	4
98	языка в	3	4
99	входит в	8	4
100	в другом	2	4
101	художественного впечатления	2	4
102	говорить о	3	4
103	сказать что	4	4
104	жизни как	1	4
105	к которому	4	4
106	в своем	5	4
107	к тому	1	4
108	или иным	1	4
109	на почве	3	4
110	это не	5	4
111	факторов художественного	1	4
112	его в	9	4
113	эстетический объект	37	4
114	не знает	3	4
115	деятельности в	1	4
116	и как	8	4
117	в этих	2	4
118	в себя	2	4
119	а только	2	4
120	того или	2	4
121	личности в	1	4
122	между тем	7	4
123	он не	3	4
124	и тем	3	4
125	и что	2	4
126	в форме	4	4
127	далеко не	5	4
128	и о	5	4
129	однако в	1	4
130	искусства но	4	4
131	художественного произведения	11	4
132	или иного	2	4
133	хотя и	3	4
134	в той	1	3
135	и к	3	3
136	к действительности	3	3
137	человеческой жизни	1	3
138	и на	3	3
139	в момент	1	3
140	искусства это	1	3
141	была бы	2	3
142	о чем	1	3
143	подобно тому	1	3
144	если бы	3	3
145	есть в	1	3
146	в романе	4	3
147	имеет место	5	3
148	как и	7	3
149	к его	2	3
150	себя и	3	3
151	в иной	1	3
152	тем не	3	3
153	художественное произведение	8	3
154	художественного целого	1	3
155	в противоположность	1	3
156	к нему	10	3
157	одной стороны	3	3
158	искусства и	3	3
159	как совокупность	1	3
160	отношении к	1	3
161	направленной на	4	3
162	в одном	1	3
163	известной степени	4	3
164	мог бы	1	3
165	за пределами	1	3
166	это отношение	2	3
167	во всей	1	3
168	и для	11	3
169	к содержанию	17	3
170	он должен	2	3
171	таким образом	10	3
172	своей эстетической	1	3
173	произведения как	8	3
174	с одной	3	3
175	в произведении	4	3
176	с точки	6	3
177	композиционных форм	3	3
178	эстетического созерцания	3	3
179	связи с	2	3
180	но он	1	3
181	объекта и	7	3
182	в эстетический	12	3
183	искусства как	2	3
184	в таком	3	3
185	в контексте	1	3
186	в связи	2	3
187	или даже	1	3
188	по своему	1	3
189	его эстетической	1	3
190	во всех	11	3
191	как уже	1	3
192	тому как	1	3
193	в свою	2	3
194	в которой	1	3
195	автора и	1	3
196	в пределах	6	3
197	этом смысле	3	3
198	человека с	1	3
199	что можно	1	3
200	слова в	7	3
201	в узком	1	3
202	и прежде	5	3
203	в культуре	2	3
204	в целом	3	3
205	и ее	2	3
206	мире и	1	2
207	и другие	2	2
208	совокупность факторов	1	2
209	образом и	1	2
210	жизни а	1	2
211	об искусстве	3	2
212	связей с	1	2
213	с ним	5	2
214	строго говоря	1	2
215	из которых	2	2
216	не как	1	2
217	том и	1	2
218	по себе	1	2
219	в них	5	2
220	оно не	3	2
221	эстетической деятельности	2	2
222	самом деле	6	2
223	на мир	2	2
224	все эти	5	2
225	имеет дело	9	2
226	именно в	1	2
227	значительной степени	1	2
228	с ними	4	2
229	как в	4	2
230	бы не	2	2
231	жизни в	1	2
232	отличается от	2	2
233	вследствие этого	3	2
234	которая не	1	2
235	к другому	1	2
236	о том	4	2
237	не входит	10	2
238	свою очередь	1	2
239	это и	1	2
240	ни к	2	2
241	как художественное	1	2
242	во внешнем	1	2
243	и конец	2	2
244	теорию литературы	1	2
245	не могли	2	2
246	творческий акт	1	2
247	совпадает с	2	2
248	на основе	6	2
