N	2gram	Berdyaev_N	VelikijI
1	во имя	15	32
2	и не	11	20
3	и в	16	16
4	свободы и	2	12
5	так как	1	9
6	то что	4	9
7	в истории	3	8
8	от бога	6	8
9	к богу	2	8
10	еще не	3	8
11	и потому	4	7
12	а не	17	7
13	человека и	3	6
14	не есть	3	6
15	религиозного сознания	1	5
16	хотя и	2	5
17	все это	5	5
18	в боге	1	5
19	бога и	3	5
20	на себя	1	5
21	в мире	3	5
22	но и	3	5
23	к небытию	1	4
24	все что	1	4
25	в котором	1	4
26	в этом	7	4
27	что мы	1	4
28	потому что	4	4
29	в его	1	4
30	в ней	5	4
31	так и	2	4
32	говорить о	1	4
33	с богом	1	4
34	они будут	1	4
35	и есть	10	4
36	и все	4	4
37	что не	1	4
38	в образе	1	4
39	что все	2	4
40	как и	7	4
41	что он	1	4
42	в силах	1	4
43	нет у	1	4
44	в нем	5	4
45	во всех	3	3
46	что в	9	3
47	нет ничего	1	3
48	не верят	1	3
49	и мы	4	3
50	то это	1	3
51	в конце	1	3
52	должно быть	4	3
53	этого мира	1	3
54	нас и	1	3
55	хотя бы	2	3
56	в том	8	3
57	имя свободы	3	3
58	к вечности	2	3
59	не в	6	3
60	и что	2	3
61	свободы от	2	3
62	ни в	6	3
63	всемирной истории	2	3
64	превращается в	1	3
65	в этих	1	3
66	в них	4	3
67	оно не	1	3
68	не было	4	3
69	лишь в	6	3
70	к чему	1	3
71	не верит	1	3
72	в жизни	5	3
73	человечества и	1	3
74	как не	8	3
75	в социализме	1	3
76	их в	1	3
77	в своей	3	3
78	должна быть	3	3
79	с его	6	3
80	от этого	1	3
81	не имеет	4	3
82	этот дух	1	3
83	но это	6	3
84	и для	4	3
85	истории человечества	1	3
86	жизни и	8	3
87	верят в	1	3
88	в чем	1	3
89	все эти	2	3
90	но в	2	3
91	к тому	3	3
92	никогда не	6	3
93	людей в	1	3
94	зачем же	1	2
95	государства и	4	2
96	во всяком	1	2
97	государство не	1	2
98	жизни все	2	2
99	а к	1	2
100	освобождения от	1	2
101	не могли	2	2
102	принудить к	1	2
103	смысла мира	1	2
104	и ныне	1	2
105	того чтобы	2	2
106	это не	4	2
107	земли и	1	2
108	путь которым	1	2
109	не только	5	2
110	существе своем	1	2
111	что истина	1	2
112	вот почему	2	2
113	бога нет	1	2
114	с ним	1	2
115	не будет	7	2
116	о свободе	1	2
117	не с	1	2
118	прежде всего	4	2
119	для них	1	2
120	можно было	2	2
121	совести и	1	2
122	никогда еще	1	2
123	людей и	1	2
124	и это	2	2
125	мы не	2	2
126	конечно не	3	2
127	только в	1	2
128	под этим	1	2
129	в стихии	1	2
130	а в	2	2
131	будет уже	2	2
132	в духе	3	2
133	человечества в	1	2
134	в прошлом	3	2
135	не хотел	1	2
136	люди не	2	2
137	истории и	9	2
138	я думаю	1	2
139	нет и	2	2
140	но не	2	2
141	тем что	1	2
142	вера в	1	2
143	духа и	3	2
144	и во	1	2
145	могут быть	2	2
146	не имел	1	2
147	с тем	3	2
148	давно уже	1	2
149	превыше всего	1	2
150	одна из	2	2
151	божественной жизни	2	2
152	от веры	1	2
153	не могут	1	2
154	есть уже	1	2
155	том что	2	2
156	мир и	2	2
157	так много	1	2
158	нем нет	2	2
159	в существе	1	2
160	уже не	2	2
161	религиозном смысле	1	2
162	не к	2	2
163	и мир	1	1
164	в новом	2	1
165	в самом	1	1
166	во всем	1	1
167	будет с	2	1
168	в религиозном	2	1
169	перестает быть	4	1
170	перестала быть	1	1
171	человека в	1	1
172	все в	1	1
173	это одна	1	1
174	и быть	1	1
175	не хотим	2	1
176	самой жизни	2	1
177	и царства	1	1
178	бога в	1	1
179	человеческой жизни	1	1
180	жизни от	1	1
181	из сторон	1	1
182	тоже не	1	1
183	будто бы	1	1
184	и на	2	1
185	ничем не	1	1
186	лишь себя	1	1
187	вопрос о	3	1
188	жизни без	1	1
189	же и	1	1
190	может быть	7	1
191	они не	1	1
192	что нет	1	1
193	современной культуры	1	1
194	не имеют	2	1
195	и было	2	1
196	отпадения от	1	1
197	свобода человека	1	1
198	человека не	1	1
199	она с	1	1
200	ее на	1	1
201	которая в	1	1
202	истории когда	1	1
203	пустоте и	1	1
204	общественной жизни	6	1
205	она не	3	1
206	но она	2	1
207	уже в	1	1
208	и обманом	1	1
209	есть прежде	1	1
210	в состоянии	1	1
211	для себя	1	1
212	русской революции	2	1
213	для того	1	1
214	божьего и	1	1
215	людей но	1	1
216	не по	1	1
217	нейтрального и	1	1
218	жизни во	1	1
219	не быть	1	1
220	не для	1	1
221	думаю что	1	1
222	бога когда	1	1
223	более всего	1	1
224	это значит	1	1
225	есть соединение	1	1
226	не всегда	1	1
227	революция духа	1	1
228	в нашу	2	1
229	христианского мира	1	1
230	в ее	3	1
231	не знающее	1	1
232	нашего времени	2	1
233	как это	2	1
234	этот мир	2	1
235	истории в	5	1
236	есть еще	1	1
237	ли это?	1	1
238	от этой	1	1
239	мы в	1	1
240	в которую	1	1
241	истины не	1	1
242	не были	1	1
243	есть и	1	1
244	если нет	2	1
245	теми которые	1	1
246	у нас	1	1
247	нового времени	12	1
248	в этой	1	1
249	других людей	1	1
250	мира с	1	1
251	потребность в	1	1
252	говорит что	1	1
253	от мирового	1	1
254	в виду	1	1
255	другой стороны	2	1
256	человеческого духа	1	1
257	и религиозном	1	1
258	нет никакого	1	1
259	я не	2	1
260	в русском	2	1
