N	4gram	Vinokur_Vv	Tvorches
1	в то же время	6	24
2	но в то же	3	6
3	дело в том что	3	4
4	в том что в	1	3
5	заключается в том что	2	2
6	ни та ни другая	1	1
7	не что иное как	5	1
8	как уже было сказано	2	1
9	что он вовсе не	1	1
10	в том смысле что	1	1
11	самом деле как мы	1	1
12	но дело не в	1	1
13	но с точки зрения	1	1
14	речь идет уже не	1	1
15	одного и того же	2	1
16	лишь в том что	1	1
17	и в самом деле	3	1
18	собой не что иное	1	1
19	и т д и	1	1
20	ответ на этот вопрос	2	1
21	мы имеем в виду	1	1
22	дело не только в	1	1
23	в соответствии с этим	1	1
24	и т д в	2	1
25	в самом деле как	1	1
26	бы то ни было	1	1
27	и в конце концов	1	1
28	должен был знать все	1	1
29	и тем не менее	3	1
30	говорить о том что	1	1
31	т д все это	1	1
32	и т д все	2	1
33	в том же направлении	1	1
