N	3gram	Tiupa_Disk	Narrotol
1	в том что	18	18
2	в данном случае	6	17
3	не только в	2	13
4	в отличие от	12	11
5	по отношению к	13	11
6	даме с собачкой	1	11
7	к тому же	4	9
8	о том что	8	9
9	в даме с	1	9
10	не может быть	5	8
11	тем не менее	1	8
12	не сводится к	4	8
13	в соответствии с	4	8
14	той или иной	6	8
15	то же время	9	8
16	по большей части	1	8
17	в то же	7	8
18	в этом отношении	4	8
19	состоит в том	3	6
20	в известном смысле	1	6
21	мы имеем дело	3	6
22	можно сказать что	3	6
23	коммуникативного события рассказывания	1	6
24	с одной стороны	12	6
25	но при этом	3	5
26	в свою очередь	3	5
27	на самом деле	1	5
28	и вследствие этого	2	5
29	подобно тому как	4	5
30	и все же	3	5
31	имеем дело с	1	5
32	свидетеля и судии	1	4
33	в конечном счете	2	4
34	в равной степени	2	4
35	во всяком случае	2	4
36	которая состоит в	1	3
37	заключает в себе	1	3
38	в самом деле	1	3
39	и не может	3	3
40	друг на друга	1	3
41	а в том	2	3
42	до сих пор	1	3
43	речь идет о	2	3
44	человек в футляре	1	3
45	не было и	1	3
46	по сути дела	3	3
47	в связи с	1	3
48	то же самое	2	3
49	при всей своей	2	3
50	пока еще не	3	3
51	а также и	1	3
52	едва ли не	2	3
53	присутствия в мире	1	3
54	внимание на то	1	3
55	свидетель и судия	2	3
56	того или иного	2	3
57	на то что	1	3
58	по природе своей	6	3
59	двух или нескольких	1	3
60	обратим внимание на	1	3
61	с точки зрения	3	3
62	вероятностной картины мира	1	3
63	я в мире	1	3
64	дело в том	3	3
65	существенную роль в	4	3
66	несет в себе	3	3
67	и то что	2	3
68	тогда как в	5	3
69	как уже говорилось	1	3
70	в той или	1	2
71	все то что	1	2
72	и в то	2	2
73	они и не	1	2
74	в е годы	2	2
75	в силу своей	2	2
76	не в том	3	2
77	самого рассказывания в	2	2
78	далеко не всегда	1	2
79	более или менее	2	2
80	и то же	2	2
81	в частности в	2	2
82	в таком случае	1	2
83	одного и того	4	2
84	сами по себе	2	2
85	как правило не	1	2
86	событие самого рассказывания	2	2
87	как и всякий	1	2
88	сами участвуем как	1	2
89	первого и второго	2	2
90	нарративности как событийности	1	2
91	на мой взгляд	3	2
92	мы и сами	1	2
93	участвуем как слушатели-читатели	1	2
94	картины мира в	1	2
95	не могло быть	1	2
96	действующее лицо события	2	2
97	и по длительности	1	2
98	но и от	1	2
99	и того же	4	2
100	и т.п и	1	2
101	окказиональном мире в	1	2
102	а с другой	4	2
103	лицо события свидетель	2	2
104	перед нами не	1	2
105	первые два рассказчика	1	2
106	события свидетель и	2	2
107	по этой причине	2	2
108	главное действующее лицо	2	2
109	дама с собачкой	1	2
110	и потому что	1	2
111	[...] в нем	3	2
112	мысль о том	1	2
113	в своего рода	1	2
114	прежде всего на	1	2
115	не только от	1	2
116	представляет собой некий	1	2
117	человеческого я в	1	2
118	ли не наиболее	1	2
119	последнем мы и	1	2
120	но все же	1	2
121	говорящего и слушающих	2	2
122	же самое следует	1	2
123	к одному из	1	2
124	времени и пространства	2	2
125	рассказывания в этом	1	2
126	и сами участвуем	1	2
127	добра и зла	1	2
128	в новейшее время	1	2
129	правильно поставленный вопрос	1	2
130	тому или иному	1	2
131	себя не только	1	2
132	с той или	2	2
133	одно и то	2	2
134	этом последнем мы	1	2
135	в рассказе о	1	2
136	только потому что	1	2
137	ни о чем	2	2
138	предполагает со стороны	1	2
139	в концовке рассказа	1	2
140	в русской литературе	2	2
141	тем или иным	1	2
142	на первый взгляд	1	2
143	по своей природе	3	2
144	в этом последнем	1	2
145	к себе и	1	2
146	в строгом значении	3	2
147	пребывания в мире	1	2
148	человека в футляре	1	1
149	настоящего времени в	1	1
150	говорят о своем	1	1
151	''картина'' не может	1	1
152	в разных концах	1	1
153	картина мира которая	2	1
154	ни говорящий ни	1	1
155	о ней мифов-нарраций	1	1
156	едином но сложном	1	1
157	отношения с адресатом	1	1
158	субъекта представляет собой	1	1
159	дублирование но именно	1	1
160	это непосредственное воспроизведение	1	1
161	положителен по отношению	1	1
162	человеческой речи формировать	1	1
163	интриги соединяющей апокалипсис	1	1
164	одной стороны и	3	1
165	дискурса как коммуникативного	1	1
166	самое следует сказать	1	1
167	принимать когда поддерживает	1	1
168	тем более не	1	1
169	читателя и того	1	1
170	искусно формирует все	1	1
171	в его событийной	2	1
172	ну уж это	1	1
173	о котором рассказано	1	1
174	и столь же	1	1
175	может занимать или	1	1
176	мифологии если же	1	1
177	и как бы	5	1
178	местам и позициям	1	1
179	произведение в его	1	1
180	оптимистически настроенный читатель	1	1
181	объединены в едином	1	1
182	сознанием событийной стороны	1	1
183	внеличную сторону индивида	1	1
184	не было в	3	1
185	и молчали после	1	1
186	но не слияние	1	1
187	воздействия на него	1	1
