N	2gram	Ircho_Kome	SlovoVZh
1	не может	3	16
2	может быть	16	14
3	точки зрения	7	14
4	как бы	3	13
5	и его	17	13
6	таким образом	13	12
7	и в	40	12
8	отношению к	5	11
9	по отношению	5	11
10	в нашем	2	11
11	и не	19	10
12	так как	6	9
13	если бы	4	9
14	прежде всего	8	8
15	сказать что	1	7
16	все время	2	6
17	в ней	2	6
18	слова и	1	6
19	с помощью	1	6
20	в том	19	6
21	только в	6	6
22	в нем	8	6
23	при этом	5	6
24	и др	1	5
25	героя и	1	5
26	хотя бы	2	5
27	то же	7	5
28	а не	1	5
29	в виду	2	5
30	то что	8	5
31	в жизни	1	5
32	как и	12	5
33	как в	8	5
34	отнюдь не	2	5
35	том что	19	5
36	и следовательно	2	5
37	но в	6	5
38	в самом	5	4
39	и к	2	4
40	в литературе	2	4
41	и на	9	4
42	не только	12	4
43	ни было	4	4
44	и является	1	4
45	на самом	1	4
46	за пределы	2	4
47	от того	3	4
48	его в	6	4
49	с другой	7	4
50	не в	8	4
51	отношение к	3	4
52	что не	1	4
53	так и	17	4
54	жизни и	4	4
55	в этом	9	4
56	все же	7	4
57	зависимости от	1	4
58	к нему	5	4
59	бы то	4	3
60	и с	8	3
61	до сих	3	3
62	это как	1	3
63	и более	2	3
64	в котором	6	3
65	и по	6	3
66	так называемой	3	3
67	мы не	4	3
68	то ни	4	3
69	между тем	9	3
70	для него	1	3
71	отношении к	1	3
72	с ним	1	3
73	того что	1	3
74	и уже	2	3
75	когда он	1	3
76	тем не	3	3
77	имеет в	2	3
78	все это	7	3
79	ни в	9	3
80	в пределах	1	3
81	конечно не	1	3
82	по себе	2	3
83	так же	4	3
84	в них	7	3
85	в каком	1	3
86	этой точки	1	3
87	только на	2	3
88	в себе	3	3
89	слово в	1	3
90	произведения и	1	3
91	ясно что	9	3
92	все эти	1	3
93	о том	12	3
94	в своей	3	3
95	не менее	6	3
96	из этого	2	3
97	в художественном	1	3
98	нуждается в	2	3
99	да и	5	3
100	но и	14	3
101	и для	4	3
102	точек зрения	2	3
103	и ее	5	3
104	сих пор	3	3
105	формы и	1	3
106	не к	2	3
107	еще не	7	3
108	в особенности	1	2
109	что в	12	2
110	этих двух	1	2
111	самое слово	1	2
112	наиболее яркое	1	2
113	но это	2	2
114	не так	1	2
115	и потому	1	2
116	действия и	1	2
117	вместе со	1	2
118	и другие	3	2
119	выражение в	1	2
120	мы можем	6	2
121	героя или	1	2
122	в данном	1	2
123	в душе	1	2
124	в то	14	2
125	еще раз	1	2
126	данном случае	1	2
127	со всех	1	2
128	в основном	1	2
129	с одной	5	2
130	совпадает с	1	2
