N	2gram	Tiupa_Vved	Problemy
1	и в	23	106
2	и не	24	90
3	как бы	8	70
4	может быть	25	66
5	в его	9	56
6	в этом	27	52
7	в нем	9	51
8	чужое слово	1	49
9	не может	14	49
10	как и	21	44
11	что он	2	44
12	у достоевского	1	43
13	точки зрения	1	40
14	но и	31	40
15	для него	5	39
16	и его	9	39
17	а не	31	38
18	о себе	1	37
19	то же	8	36
20	не только	32	36
21	в пределах	3	35
22	то что	9	33
23	но в	14	33
24	прежде всего	11	32
25	он не	6	29
26	в то	5	29
27	чужого слова	3	29
28	все это	3	29
29	и все	8	28
30	в одном	5	27
31	не в	12	27
32	к себе	2	26
33	же время	4	26
34	в самом	6	25
35	и с	2	25
36	к нему	2	25
37	в сущности	3	25
38	себе самому	1	25
39	с самим	2	24
40	не как	2	24
41	вовсе не	1	24
42	героя и	5	24
43	самом деле	6	24
44	и на	5	23
45	слова и	3	23
46	по себе	2	22
47	что я	2	22
48	таким образом	6	22
49	там где	1	21
50	как мы	5	21
51	все же	10	20
52	никогда не	6	20
53	только в	9	20
54	потому что	7	20
55	что же	6	19
56	что в	6	19
57	с его	1	19
58	отношению к	11	19
59	слова в	3	19
60	уже не	7	18
61	по отношению	11	18
62	в себе	15	18
63	еще не	8	18
64	о нем	1	18
65	на самом	5	18
66	но не	9	18
67	все эти	1	18
68	и к	2	17
69	с ним	3	17
70	а в	15	17
71	в том	21	17
72	это не	7	17
73	так и	14	17
74	так же	2	16
75	если бы	10	16
76	в своей	10	16
77	этом смысле	1	16
78	в другом	2	16
79	у него	8	15
80	до конца	5	15
81	и для	8	15
82	и наконец	2	15
83	и сам	2	14
84	в своем	9	14
85	как раз	5	14
86	в конце	3	14
87	а как	1	14
88	другого человека	2	14
89	в отношении	1	14
90	он и	2	14
91	с другим	1	14
92	лишь в	4	14
93	на него	3	13
94	точка зрения	3	13
95	с другими	1	13
96	его в	1	13
97	в мире	9	13
98	и это	2	13
99	героя в	3	13
100	в романе	6	13
101	себя и	1	13
102	перед нами	13	13
103	в целом	4	13
104	при этом	43	12
105	даже в	3	12
106	отношении к	1	12
107	и как	2	12
108	и даже	3	12
109	чужому слову	1	12
110	к тому	9	12
111	во всяком	3	12
112	в котором	11	12
113	к чужому	1	12
114	что и	6	12
115	не знает	2	12
116	так сказать	2	12
117	так что	1	12
118	и что	2	12
119	было бы	4	12
120	между тем	3	12
121	одного сознания	1	12
122	как в	8	12
123	том что	16	12
124	но это	4	12
125	ничего не	3	12
126	в одной	2	12
127	пределах одного	1	11
128	тем что	2	11
129	их в	3	11
130	входит в	2	11
131	с другой	10	11
132	ни одного	1	11
133	он сам	1	11
134	бы в	4	11
135	в форме	1	11
136	не могут	1	11
137	бы и	4	11
