N	4gram	Propp_Isto	VeschiIm
1	не что иное как	3	12
2	бы то ни было	2	12
3	и т д и	2	11
4	есть не что иное	2	8
5	и тем не менее	2	5
6	дело в том что	2	4
7	в то время как	3	4
8	то это значит что	1	3
9	мы имеем дело не	1	2
10	уже не может быть	1	2
11	если это так то	2	2
12	имеем дело не с	1	2
13	в том что он	1	2
14	но если это так	2	2
15	это не значит что	1	1
16	уже по одному этому	1	1
17	стоит в связи с	1	1
18	на самом же деле	1	1
19	какой бы то ни	1	1
20	и т д на	1	1
21	с другой стороны как	1	1
22	и т д то	2	1
23	с одной стороны и	1	1
24	и т д а	1	1
25	до сих пор мы	3	1
26	в том что и	1	1
27	здесь мы не можем	1	1
28	само по себе но	1	1
29	но уже сейчас мы	1	1
30	уже сейчас мы можем	1	1
31	мы еще не знаем	1	1
32	не содержит в себе	1	1
33	так как будто бы	1	1
34	это и должно быть	1	1
35	и т д но	2	1
36	в результате мы получим	1	1
37	и т д все	3	1
38	т д все это	1	1
39	и т д если	2	1
40	с вопросом о том	1	1
41	дело вовсе не в	1	1
42	т е то что	1	1
43	и вместе с тем	2	1
44	на то что уже	1	1
45	один и тот же	2	1
