N	3gram	Vygotskiy_	EvropaiC
1	в том что	41	16
2	до сих пор	3	15
3	по отношению к	3	11
4	друг с другом	10	9
5	с точки зрения	11	8
6	более или менее	3	8
7	на то что	5	7
8	для того чтобы	14	7
9	мы знаем что	1	7
10	друг от друга	2	6
11	мы говорили выше	2	6
12	по сравнению с	4	5
13	в самом деле	4	5
14	так или иначе	1	5
15	не может быть	5	4
16	о том что	3	4
17	тот факт что	7	4
18	тем не менее	6	4
19	совершенно так же	2	4
20	с другой стороны	5	4
21	в своем развитии	3	4
22	в том случае	2	4
23	начало и конец	1	4
24	в конце концов	1	4
25	в этом случае	4	4
26	том случае если	2	4
27	в этой области	2	4
28	вместе с тем	11	3
29	заключается в том	18	3
30	не в состоянии	1	3
31	в целом ряде	1	3
32	в том же	1	3
33	все же не	2	3
34	одного и того	5	3
35	так же как	9	3
36	то ни было	1	3
37	в данном случае	1	3
38	и то что	3	3
39	и того же	5	3
40	в связи с	8	3
41	бы то ни	1	3
42	в свою очередь	3	2
43	о которой мы	1	2
44	во всяком случае	10	2
45	случае если бы	1	2
46	которой мы говорили	1	2
47	во всех этих	1	2
48	друг на друга	3	2
49	заключает в себе	3	2
50	как и в	3	2
51	таким же образом	2	2
52	в то время	5	2
53	ничего общего с	2	2
54	как и все	1	2
55	в одну группу	1	2
56	между этими двумя	1	2
57	а с другой	4	2
58	указывают на то	1	2
59	том что он	1	2
60	принять во внимание	2	2
61	в высшей степени	11	2
62	но все же	1	2
63	только то что	1	2
64	в такой форме	1	2
65	с одной стороны	8	2
66	в том виде	4	2
67	но так как	2	2
68	и в том	1	2
69	друг к другу	1	2
70	мы видели что	4	1
71	того однако чтобы	1	1
72	именно в тех	1	1
73	это имеет место	1	1
74	на каждом шагу	4	1
75	благодаря тому что	1	1
76	мы говорили в	1	1
77	в одинаковой мере	2	1
78	правильности этого положения	1	1
79	и у нас	1	1
80	том виде как	3	1
81	а как бы	1	1
82	сохраняет свою силу	1	1
83	за то что	1	1
84	которые не могут	1	1
85	в большей степени	1	1
86	по этому поводу	4	1
87	на той ступени	1	1
88	принадлежать к одному	1	1
89	который как мы	1	1
90	мы видим что	2	1
91	совершенно непонятными и	1	1
92	вопрос можно ли	1	1
93	все что мы	4	1
94	та или иная	3	1
95	на задний план	1	1
96	истинном смысле этого	1	1
97	что так как	1	1
98	может рассматриваться как	1	1
99	в противоречие с	1	1
100	говорили в начале	1	1
101	основе их лежит	2	1
102	разница только в	1	1
103	на свои составные	1	1
104	и тому же	5	1
105	свои составные части	1	1
106	по признаку их	1	1
107	таким образом по	1	1
108	не в пользу	3	1
109	и более или	1	1
110	той ступени развития	1	1
111	силу не только	1	1
112	таким образом получается	1	1
113	этой точки зрения	4	1
114	совершенно ясно что	1	1
