N	2gram	Tiupa_Teor	Russkaja
1	не может	8	22
2	и не	17	19
3	в этом	12	17
4	в том	20	17
5	и в	24	14
6	то что	6	13
7	самим собой	4	12
8	таким образом	3	11
9	то же	12	11
10	точки зрения	11	11
11	но и	14	10
12	же время	8	10
13	в то	9	10
14	не только	24	9
15	с точки	3	9
16	том что	11	9
17	может быть	22	9
18	в себе	14	9
19	прежде всего	3	8
20	того чтобы	5	8
21	не будет	3	7
22	ни к	3	7
23	самом деле	2	7
24	к тому	4	7
25	о том	2	7
26	в данном	9	7
27	отнюдь не	3	7
28	и к	3	6
29	для всех	2	6
30	если в	2	6
31	для него	5	6
32	все это	2	6
33	в своих	1	6
34	если бы	3	6
35	и для	3	6
36	с тем	1	6
37	что он	4	6
38	для того	5	6
39	в своем	7	6
40	и на	2	5
41	из которых	2	5
42	только в	9	5
43	или иной	7	5
44	по существу	1	5
45	в своей	8	5
46	в последние	1	5
47	жизни в	2	5
48	себя и	2	5
49	между собой	3	5
50	во всех	3	5
51	и только	1	5
52	вопрос о	1	5
53	потому что	3	5
54	в нем	7	5
55	между тем	5	5
56	он не	5	5
57	а между	1	5
58	а в	15	5
59	при этом	20	5
60	было бы	1	5
61	на то	1	5
62	он должен	3	5
63	никогда не	4	5
64	что в	10	4
65	бы то	2	4
66	и то	3	4
67	все что	1	4
68	когда они	1	4
69	так как	1	4
70	в его	12	4
71	не могут	2	4
72	его в	4	4
73	более или	6	4
74	отказаться от	1	4
75	не в	9	4
76	вместе с	2	4
77	как и	6	4
78	на земле	1	4
79	в мире	26	4
80	все же	1	4
81	приводит к	6	4
82	в их	4	4
83	к вопросу	1	4
84	со стороны	6	4
85	себе и	1	4
86	или менее	6	4
87	том случае	1	4
88	то ни	2	4
89	можно было	1	4
90	в совершенно	1	4
91	и т.д	4	4
92	как бы	8	4
93	путь к	1	4
94	в этой	3	4
95	себя в	7	4
96	жизни и	1	4
97	но не	13	4
98	в самом	7	3
99	то в	2	3
100	что они	2	3
101	этом случае	1	3
102	собой и	1	3
103	может не	1	3
104	данном случае	5	3
105	должно быть	1	3
106	несмотря на	2	3
107	вопросу о	1	3
108	что это	1	3
109	в качестве	33	3
110	что и	2	3
111	сводится к	12	3
112	что может	2	3
113	не было	1	3
114	связи с	3	3
115	или в	3	3
116	тем что	1	3
117	именно в	3	3
118	в конце	2	3
119	и как	3	3
120	да и	1	3
121	о котором	1	3
122	не есть	1	3
123	но если	1	3
124	культуры в	3	3
125	той или	3	3
126	еще не	6	3
127	все они	1	3
128	и потому	3	3
129	только к	1	3
130	при условии	2	3
131	случае если	1	3
132	в лучшем	1	3
133	одна из	1	3
134	в значительной	2	3
135	в другом	4	3
136	лучшем случае	1	3
137	говорить о	4	3
138	в большинстве	2	3
139	лишь в	10	3
140	она может	1	3
141	что для	1	3
142	при котором	2	3
143	одной из	2	3
144	с нею	1	3
145	что все	1	3
146	в сознании	1	3
147	из этого	1	3
148	и по	3	3
149	друг друга	1	3
150	из этих	3	3
151	для этого	1	3
152	таким же	1	3
153	из них	1	3
154	того что	5	3
155	представить себе	1	2
156	на почве	5	2
157	к такому	1	2
158	не так	1	2
159	от него	1	2
160	что такое	2	2
161	зависит от	1	2
162	в единое	3	2
163	и вот	3	2
164	сама по	2	2
165	время в	1	2
166	для себя	3	2
167	с самим	1	2
168	же образом	1	2
169	с ним	1	2
170	меру его	1	2
171	для нас	1	2
172	одному из	1	2
173	на которой	1	2
174	ни в	5	2
175	в результате	1	2
176	противоречие с	1	2
177	том и	1	2
178	в этих	4	2
179	у него	2	2
180	по себе	2	2
181	их не	1	2
182	чтобы в	1	2
183	и даже	2	2
184	если не	1	2
185	бы для	1	2
186	от друга	1	2
187	ее в	2	2
188	а во-вторых	1	2
189	к чему	2	2
190	все эти	3	2
191	на себя	2	2
192	том же	1	2
193	указывает на	1	2
194	в таком	3	2
195	принадлежат к	1	2
196	отношения к	4	2
197	тому что	2	2
198	не подлежит	1	2
199	их в	3	2
200	большинстве случаев	1	2
201	в порядке	3	2
202	является не	1	2
203	отличается от	2	2
204	так же	2	2
205	друг от	1	2
206	тогда как	18	2
207	уже не	6	2
208	деятельности и	1	2
209	с этим	1	2
210	остается в	1	2
211	того или	6	2
212	совершенно не	1	2
213	а с	3	2
214	– не	4	2
215	и более	1	2
216	в таких	1	2
217	в котором	1	2
218	и состоит	2	2
219	она не	1	2
220	другом и	1	2
221	вся она	1	2
222	это разумеется	1	2
223	во многих	1	2
224	и тем	5	2
225	быть и	2	2
226	в частности	23	2
227	а не	14	2
228	но она	2	2
229	только на	2	2
230	отношении к	4	2
231	в противоречие	1	2
232	речь идет	2	2
233	ни от	1	2
234	в силу	4	2
235	и является	2	2
236	точно так	1	2
237	и что	4	2
238	на основании	1	2
239	говоря о	3	2
240	по отношению	10	2
241	целый ряд	1	2
242	тем самым	6	2
243	и те	1	2
244	от своей	1	2
245	состоит в	22	2
246	на это	1	2
247	настоящее время	1	2
248	культуры и	1	2
249	друг другу	1	2
250	приводят к	1	2
251	этом и	1	2
252	даже если	1	2
253	и от	1	2
254	но в	12	2
255	и есть	1	2
256	по этому	1	2
257	место в	7	2
258	так что	1	2
259	и о	5	2
260	как будто	2	2
261	бы ни	1	2
262	в области	7	2
263	или иного	6	2
264	взгляде на	1	2
265	не просто	2	2
266	в настоящее	1	2
267	к нему	2	2
268	подход к	1	1
269	тем не	3	1
270	культура есть	1	1
271	иначе говоря	5	1
272	ближе к	1	1
273	строя и	1	1
274	себе самом	1	1
275	русской культуре	1	1
276	том чем	1	1
277	однако и	1	1
278	к общему	1	1
279	только не	3	1
280	точнее –	1	1
281	обе стороны	1	1
282	жизни но	2	1
283	как это	10	1
284	что его	1	1
285	этой внутренней	1	1
286	один из	2	1
287	человеческой жизни	3	1
288	человека к	3	1
289	узко и	1	1
290	за ним	1	1
291	и конечно	1	1
292	не поддается	1	1
293	в принципе	7	1
294	же и	1	1
295	они не	1	1
296	практически не	1	1
297	себя только	1	1
298	не во	1	1
299	то есть	22	1
300	но из	1	1
301	а по	1	1
302	– на	4	1
303	которая в	2	1
304	время и	1	1
305	отношению к	10	1
306	из нового	1	1
307	собой в	1	1
308	том числе	3	1
309	на ее	1	1
310	это особенно	1	1
311	в состоянии	1	1
312	связи между	1	1
313	с этой	3	1
314	это не	4	1
315	в себя	5	1
316	начале этой	1	1
317	на роль	1	1
318	можно назвать	1	1
319	случае совершенно	1	1
320	даже в	3	1
321	была бы	3	1
322	не всякий	1	1
323	не для	1	1
324	ни было	2	1
325	означала бы	1	1
326	на деле	2	1
327	других –	1	1
328	о себе	2	1
329	внутренней и	2	1
330	в сущности	1	1
331	в ее	6	1
332	на отдельные	1	1
333	души и	1	1
334	так и	14	1
335	привести к	1	1
336	те же	1	1
337	в область	1	1
338	мы в	2	1
339	существенное изменение	1	1
340	по образцу	1	1
341	схемы и	1	1
342	не столько	7	1
343	о целесообразности	1	1
344	с другими	6	1
345	в подобном	1	1
346	не признает	2	1
347	быть может	1	1
348	в состав	6	1
349	духовной культуры	2	1
350	противоречие между	1	1
351	в русском	1	1
352	но на	2	1
353	не на	4	1
