N	2gram	Tiupa_Teor	OGranits
1	и в	24	13
2	и его	11	12
3	прежде всего	3	9
4	может быть	22	8
5	и не	17	8
6	не может	8	8
7	и пр	1	7
8	в его	12	7
9	и т.п	7	7
10	и их	1	7
11	эстетический объект	4	7
12	точки зрения	11	7
13	таким образом	3	6
14	не только	24	6
15	только в	9	6
16	то что	6	6
17	как бы	8	6
18	языка и	1	5
19	в поэзии	2	5
20	с точки	3	5
21	и т.д	4	5
22	художественного произведения	5	5
23	все же	1	5
24	эстетического объекта	3	5
25	в каждом	1	4
26	не является	5	4
27	произведения как	1	4
28	только и	2	4
29	то же	12	4
30	еще и	2	4
31	было бы	1	4
32	все это	2	4
33	в сознании	1	4
34	лишь в	10	4
35	материала в	2	4
36	в своей	8	4
37	на фоне	2	4
38	в двух	1	4
39	но в	12	4
40	с этим	1	3
41	что в	10	3
42	к одному	2	3
43	и то	3	3
44	связана с	1	3
45	материала и	1	3
46	в искусстве	9	3
47	так и	14	3
48	не как	1	3
49	говорить о	4	3
50	одно и	2	3
51	в одном	3	3
52	не столько	7	3
53	за пределы	2	3
54	отношению к	10	3
55	по отношению	10	3
56	превращается в	2	3
57	слово в	1	3
58	в пределах	5	3
59	в их	4	3
60	при анализе	1	3
61	в ее	6	3
62	здесь мы	2	3
63	самом деле	2	3
64	не в	9	3
65	в которой	3	3
66	общего с	1	3
67	в себе	14	3
68	так как	1	3
69	да и	1	3
70	но и	14	3
71	и для	3	3
72	как и	6	3
73	никогда не	4	3
74	в области	7	2
75	своего рода	11	2
76	истории литературы	2	2
77	в самом	7	2
78	и к	3	2
79	что они	2	2
80	того или	6	2
81	может иметь	1	2
82	мы видим	1	2
83	иное как	1	2
84	в данном	9	2
85	и наиболее	1	2
86	в своих	1	2
87	в этом	12	2
88	что иное	1	2
89	данном случае	5	2
90	героя и	6	2
91	на язык	1	2
92	с одной	3	2
93	в произведении	3	2
94	мог бы	3	2
95	входит в	4	2
96	для себя	3	2
97	наконец в	1	2
98	одной стороны	3	2
99	эстетической функции	1	2
100	роль в	3	2
101	в другом	4	2
102	при этом	20	2
103	несмотря на	2	2
104	между тем	5	2
105	для него	5	2
106	лишь путем	1	2
107	и помимо	1	2
108	и тем	5	2
109	с помощью	1	2
110	и может	1	2
111	те же	1	2
112	ее в	2	2
113	в том	20	2
114	в которую	1	2
115	с этой	3	2
116	произведения мы	1	2
117	и является	2	2
118	в отношении	4	2
119	вслед за	3	2
120	литературного произведения	11	2
121	ни одно	1	2
122	другой стороны	6	2
123	сознания и	1	2
124	во времени	4	2
125	не что	1	2
126	не на	4	2
127	отношений между	1	2
128	от этого	1	2
129	так же	2	2
130	в них	2	2
131	а в	15	2
132	если бы	3	2
133	мы понимаем	1	2
134	от всех	2	2
135	и делают	1	2
136	от своего	2	2
137	а также	7	2
138	соответствии с	2	2
139	но одно	1	2
140	на две	3	2
141	литературное произведение	1	2
