N	2gram	Tiupa_Anal	NovoeSre
1	а не	25	17
2	не может	26	16
3	и в	30	16
4	нового времени	1	12
5	и не	33	11
6	и есть	3	10
7	что в	7	9
8	в том	36	8
9	как не	1	8
10	жизни и	1	8
11	он не	4	8
12	в этом	31	7
13	может быть	33	7
14	не будет	3	7
15	культуры и	1	7
16	как и	23	7
17	ни в	5	6
18	не знает	4	6
19	не в	17	6
20	лишь в	12	6
21	с его	3	6
22	но это	1	6
23	никогда не	4	6
24	и к	5	5
25	не только	30	5
26	в ней	1	5
27	все это	2	5
28	в жизни	1	5
29	в нем	3	5
30	с ее	2	5
31	должен быть	6	5
32	культуры в	2	5
33	и потому	2	4
34	по своему	1	4
35	быть может	2	4
36	со всех	1	4
37	должно быть	2	4
38	потому что	3	4
39	это не	7	4
40	прежде всего	8	4
41	в них	1	4
42	то что	11	4
43	не было	1	4
44	есть лишь	1	4
45	и все	5	4
46	всех сторон	1	4
47	не менее	5	4
48	не имеет	1	4
49	и для	3	4
50	о том	11	4
51	во всех	5	3
52	возвращение к	1	3
53	вопрос о	2	3
54	не означает	2	3
55	должна быть	1	3
56	тому как	5	3
57	в ее	2	3
58	смысле слова	1	3
59	за пределы	6	3
60	подобно тому	5	3
61	с другой	7	3
62	в основе	6	3
63	к ним	1	3
64	сказать что	2	3
65	с тем	1	3
66	не значит	1	3
67	не есть	8	3
68	в своей	7	3
69	в мире	14	3
70	как в	3	3
71	жизни в	1	3
72	но и	29	3
73	это было	1	3
74	к ее	1	3
75	начало нового	1	3
76	жизни не	1	3
77	к тому	12	3
78	человека и	1	3
79	еще не	5	3
80	все они	2	2
81	и от	1	2
82	в центре	3	2
83	и что	2	2
84	на протяжении	2	2
85	движение от	1	2
86	что она	1	2
87	личность в	4	2
88	не имеют	1	2
89	зависит от	1	2
90	и заключается	2	2
91	познания и	1	2
92	с одной	7	2
93	хотя бы	4	2
94	такого рода	6	2
95	мы не	1	2
96	того чтобы	3	2
97	заключается что	1	2
98	хотя и	4	2
99	так и	16	2
100	нашего времени	3	2
101	как это	5	2
102	не погиб	1	2
103	сама жизнь	1	2
104	думать что	2	2
105	одной стороны	6	2
106	для чего	2	2
107	можно было	1	2
108	и должно	1	2
109	не ставит	1	2
110	другой стороны	2	2
111	времени и	7	2
112	с их	2	2
113	этом смысле	3	2
114	во вне	1	2
