N	2gram	Tiupa_Vved	Mirosoze
1	и в	23	97
2	у достоевского	1	94
3	может быть	25	64
4	не только	32	63
5	в этом	27	55
6	но и	31	54
7	он не	6	53
8	а не	31	53
9	в нем	9	49
10	не может	14	49
11	у него	8	47
12	и не	24	39
13	никогда не	6	38
14	в ней	5	37
15	потому что	7	37
16	не было	5	36
17	не в	12	34
18	и есть	2	33
19	для него	5	31
20	не есть	2	30
21	но он	2	30
22	человека в	2	30
23	как и	21	29
24	прежде всего	11	29
25	и он	4	27
26	в мире	9	27
27	но в	14	27
28	к человеку	1	26
29	о человеке	1	26
30	в своей	10	25
31	он был	1	25
32	и это	2	25
33	о свободе	1	24
34	и все	8	24
35	у нас	4	24
36	ведет к	2	23
37	в своем	9	23
38	что в	6	23
39	что он	2	22
40	в самом	6	21
41	в себе	15	20
42	отношение к	5	20
43	как бы	8	19
44	до конца	5	19
45	ивана карамазова	1	18
46	в его	9	18
47	того что	7	17
48	и потому	2	17
49	том что	16	16
50	в том	21	16
51	на земле	1	16
52	то что	9	16
53	было бы	4	16
54	и его	9	16
55	духа в	1	15
56	в котором	11	15
57	не знает	2	15
58	в этой	2	15
59	в конце	3	14
60	человек в	4	14
61	нет ничего	2	14
62	та же	1	13
63	и на	5	13
64	друг друга	1	13
65	и вот	3	13
66	в них	4	12
67	он сам	1	12
68	к нему	2	12
69	добра и	1	12
70	и у	2	12
71	но не	9	12
72	и зла	1	12
73	в любви	1	12
74	это не	7	12
75	все это	3	12
76	и к	2	11
77	с тем	1	11
78	уже не	7	11
79	хотя бы	2	11
80	достоевского но	1	11
81	был бы	1	11
82	только в	9	11
83	как в	8	11
84	но это	4	11
85	и для	8	11
86	свобода и	1	11
87	жизни и	8	11
88	то же	8	10
89	так же	2	10
90	чем у	1	10
91	один из	3	10
92	должна быть	3	10
93	не могут	1	10
94	не имеет	3	10
95	это и	1	10
96	связана с	1	10
97	человека к	1	10
98	все что	3	9
99	к тому	9	9
100	он весь	1	9
101	не мог	2	9
102	что и	6	9
103	человек и	1	9
104	то есть	13	9
105	с ним	3	9
106	вместе с	2	9
107	в свою	5	9
108	и во	2	9
109	образ и	1	9
110	бы и	4	9
111	а в	15	9
112	лишь в	4	9
113	в этих	5	8
114	и с	2	8
115	тем что	2	8
116	о том	7	8
117	человека не	1	8
118	себя в	4	8
119	что не	2	8
120	жизнь в	1	8
121	что есть	1	8
122	не так	1	8
123	в отношении	1	8
124	еще в	3	8
125	того чтобы	2	8
126	отношении к	1	8
127	с его	1	8
128	ничего не	3	8
129	они не	3	8
130	уже в	2	8
131	мира и	5	8
132	для того	1	8
133	во всем	1	7
134	раскрывается в	1	7
135	в духе	1	7
