N	2gram	Berdyaev_O	Formalny
1	и в	19	95
2	т е	4	94
3	и не	13	78
4	может быть	11	66
5	в этом	12	61
6	не может	4	57
7	и пр	1	53
8	вовсе не	1	53
9	и его	4	51
10	так и	2	50
11	в нем	10	42
12	в его	7	42
13	прежде всего	9	41
14	как и	6	39
15	в самом	5	35
16	не в	11	35
17	а не	11	34
18	в процессе	1	34
19	но и	13	33
20	самом деле	1	32
21	не только	11	30
22	в том	5	26
23	если бы	1	26
24	то что	5	25
25	в своей	2	24
26	лишь в	7	24
27	на самом	1	24
28	было бы	3	23
29	в ней	1	23
30	и ее	3	22
31	и с	2	21
32	что в	4	21
33	в истории	2	21
34	как бы	3	21
35	с тем	2	20
36	и от	3	20
37	по себе	2	19
38	хотя бы	3	19
39	не могут	3	19
40	все это	6	19
41	все же	2	18
42	должна быть	1	18
43	и все	10	18
44	с его	4	18
45	все эти	4	18
46	как в	1	17
47	во всяком	1	16
48	всяком случае	1	16
49	совершенно не	1	16
50	потому что	9	16
51	все время	1	15
52	должно быть	2	15
53	его в	2	15
54	бы в	1	15
55	и на	2	15
56	так как	2	15
57	но в	2	15
58	в жизни	1	14
59	в своем	2	14
60	в ее	2	14
61	в этой	5	14
62	в единстве	2	14
63	что он	3	14
64	еще не	3	14
65	и потому	2	14
66	жизни и	1	14
67	тем что	2	13
68	что и	2	13
69	говорит он	1	13
70	могут быть	3	13
71	со стороны	1	13
72	что же	2	13
73	до конца	7	13
74	того что	3	13
75	она не	1	13
76	а в	5	13
77	уже не	1	12
78	как это	1	12
79	и здесь	1	12
80	того чтобы	4	12
81	и для	2	12
82	в корне	1	11
83	никогда не	9	11
84	что они	2	11
85	лишь для	1	11
86	для него	5	11
87	этом отношении	1	11
88	но не	1	11
89	в своих	3	10
90	не было	9	10
91	не есть	2	10
92	он не	7	10
93	тем же	1	10
94	мы не	1	10
95	и как	1	10
96	еще более	1	9
97	и даже	1	9
98	в каждом	1	9
99	совсем не	2	9
100	одним словом	1	9
101	бы ни	1	9
102	отношения к	1	9
103	и до	1	9
104	но это	1	9
105	ничего не	2	9
106	от всех	1	9
107	у нас	1	9
108	и к	2	8
109	в них	1	8
110	была бы	1	8
111	в других	2	8
112	что это	1	8
113	это не	3	8
114	первый период	1	8
115	для того	3	8
116	же и	1	7
117	даже и	2	7
118	сказать что	2	7
119	к этому	2	7
120	в сущности	1	7
121	из них	1	7
122	говорит в	1	7
123	от этого	1	7
124	в себе	3	7
125	жизни в	2	7
126	том что	2	7
127	а вовсе	1	7
128	в первый	1	7
129	он и	1	7
130	и более	1	7
131	только и	4	7
132	в одной	1	7
133	как к	2	7
134	в этих	3	6
135	например в	1	6
136	отличается от	1	6
137	о том	3	6
138	он был	8	6
139	и других	1	6
140	в которой	2	6
141	в конце	1	6
142	учение о	2	6
143	и это	1	6
144	один из	1	6
145	они и	1	6
146	его с	1	6
147	с ним	3	6
148	сам по	1	6
149	ее и	1	6
150	к его	1	6
151	в россии	5	6
152	его и	1	6
153	и лишь	1	6
154	этого слова	1	6
155	уже в	2	6
156	ее в	2	6
157	смысле этого	1	6
158	нисколько не	1	6
159	особенно в	1	6
160	его не	2	6
161	не по	1	6
162	в частности	1	6
163	отношение к	5	6
164	в виду	1	5
165	в мире	1	5
166	в котором	1	5
167	вопрос о	10	5
168	и формы	1	5
169	как от	1	5
170	к нему	3	5
171	всего в	2	5
172	то в	1	5
173	хотя и	2	5
174	что не	4	5
175	и что	1	5
176	его как	1	5
177	и самый	1	5
178	не так	1	5
179	в отношении	1	5
180	должен был	2	5
181	не имеет	2	5
182	да и	1	5
183	то он	1	5
184	бы и	1	5
185	как например	1	5
186	в самой	9	5
187	и то	2	5
188	и эта	1	5
189	в эпоху	1	5
190	она должна	1	5
191	от того	1	5
192	что было	1	4
193	науки о	1	4
194	от него	7	4
195	можно и	1	4
196	к этой	2	4
197	между двумя	1	4
198	одна из	1	4
199	все в	4	4
200	и этим	2	4
201	между этими	1	4
202	под влиянием	1	4
203	истории и	1	4
204	он в	2	4
205	что для	2	4
206	и чем	1	4
207	чтобы не	1	4
208	та же	1	4
209	на западе	2	4
210	был бы	1	4
211	подходит к	1	4
212	вместо того	2	4
213	есть лишь	4	4
214	и действительно	1	4
215	к другому	1	4
216	думать что	1	4
217	со всей	1	4
218	отношении к	1	4
219	и о	2	4
220	он должен	1	4
221	о нем	1	4
222	лишь с	1	4
223	к ней	2	4
224	и тогда	1	4
225	во всем	1	3
226	и очень	2	3
227	в одном	1	3
228	завершается в	1	3
229	из всего	2	3
230	всех тех	1	3
231	а именно	1	3
232	в это	1	3
233	а что	1	3
234	в пределе	1	3
235	ничто не	2	3
236	это было	3	3
237	сознания в	1	3
238	друг с	1	3
239	еще одну	1	3
240	эволюции в	1	3
241	и через	1	3
242	системы и	1	3
243	этими двумя	1	3
244	но он	7	3
245	вещей и	1	3
246	что как	1	3
247	ту же	1	3
248	так что	2	3
249	речи и	1	3
250	кажется что	1	3
251	в форме	1	3
252	лишь к	1	3
253	к одной	1	3
254	смысле слова	1	3
255	художественного творчества	1	3
256	и из	2	3
257	со всеми	1	3
258	строгом смысле	1	3
259	том как	1	3
260	на своем	1	3
261	но оно	1	3
262	заложенных в	2	3
263	и заключается	1	3
264	в самую	4	3
265	в сознании	1	3
266	подойти к	2	3
267	единство в	1	3
268	для всякого	2	3
269	с их	1	3
270	дело в	1	3
271	места в	1	3
272	с другом	1	3
273	к одному	1	3
274	стремлением к	1	3
275	человек не	7	3
276	иногда и	1	3
277	когда он	3	3
278	не с	1	3
279	в науке	1	3
280	сказать в	1	3
281	и прежде	1	3
282	на то	1	3
283	мира в	1	3
284	нуждается в	1	3
285	выводит за	1	2
286	все что	3	2
287	как художник	3	2
288	связан с	1	2
289	в душе	2	2
290	только один	1	2
291	и достигает	1	2
292	о чем	1	2
293	говорит о	1	2
294	связь с	1	2
295	их не	2	2
296	ко всем	2	2
297	ее с	1	2
298	кого не	1	2
299	но почему	1	2
300	во внешнем	1	2
301	не могли	2	2
302	в этот	2	2
303	в строгом	1	2
304	отметить что	1	2
305	ее как	1	2
306	находится в	1	2
307	что она	1	2
308	мысли в	1	2
309	момент в	2	2
310	который в	1	2
311	что говорит	1	2
312	распадается на	1	2
313	доступ к	1	2
314	свое собственное	1	2
315	этом нужно	1	2
316	указать на	1	2
317	что человек	3	2
318	а ведь	1	2
319	на этих	1	2
320	не отрицает	1	2
321	они в	1	2
322	чем в	2	2
323	русской литературы	1	2
324	характер и	1	2
325	лишь на	1	2
326	на земле	4	2
327	может привести	1	2
328	вопрос об	1	2
329	и мир	1	2
330	а с	1	2
331	человека как	1	2
332	действующих лиц	1	2
333	на нем	1	2
334	можно было	1	2
335	в нас	1	2
336	но есть	1	2
337	для нашего	1	2
338	и есть	3	2
339	отрицает и	1	2
340	нее не	1	2
341	и самое	1	2
342	с душой	1	2
343	именно от	1	2
344	жизни а	1	2
345	нет никакого	1	2
346	художник не	1	2
347	с ними	1	2
348	особого рода	1	2
349	заключается в	1	2
350	вложена в	1	2
351	не делает	1	2
352	никто не	3	2
353	ни к	1	2
354	не совпадает	1	2
355	и вот	3	2
356	возможны лишь	1	2
357	возможностей и	2	2
358	не потому	1	2
359	было и	1	2
360	науку о	1	2
361	на этот	1	2
362	и нет	2	2
363	из него	1	2
364	жизни не	1	2
365	а белого	1	2
366	и всякий	1	2
367	ни с	7	2
368	образ и	1	2
369	как у	1	2
370	же не	1	2
371	в русском	1	2
372	ведь это	2	2
373	остается и	1	2
374	у толстого	1	2
375	в силу	1	2
376	и начинается	1	2
377	не те	1	2
378	и без	1	2
379	говорят о	1	2
380	а иногда	1	2
381	людей в	1	2
382	чтобы сделать	1	2
383	том случае	1	2
384	человека в	11	2
385	он говорит	1	2
386	же это	2	2
387	чтобы овладеть	1	2
388	и ни	2	2
389	человека и	10	2
390	в другом	2	2
391	в эти	1	2
392	есть не	1	2
393	человек может	1	1
394	преодолеть его	1	1
395	из сторон	1	1
