N	4gram	Medvedev_F	EvropaiE
1	в то же время	13	14
2	и в то же	4	8
3	с одной стороны и	4	6
4	с этой точки зрения	1	5
5	бы то ни было	1	4
6	в их отношении к	1	3
7	но в то же	3	2
8	и то и другое	1	1
9	то же время не	2	1
10	с точки зрения этих	1	1
11	в том случае если	1	1
12	в том числе и	1	1
13	совершенно очевидно что в	1	1
14	и с точки зрения	1	1
15	как и всякая иная	1	1
16	в большей или меньшей	1	1
17	и прежде всего в	1	1
18	в гораздо большей степени	1	1
19	в этом отношении в	1	1
20	что как бы ни	1	1
21	только в том случае	1	1
22	то же время в	1	1
23	так и в характере	1	1
24	в связи с этим	4	1
25	из всего этого следует	1	1
26	и до настоящего времени	2	1
27	не говоря уже о	1	1
28	большей или меньшей степени	1	1
29	поскольку дело идет о	1	1
30	в том смысле что	2	1
31	от этого отнюдь не	1	1
