N	3gram	Tiupa_Lite	formyVre
1	и т п	2	32
2	то же время	12	21
3	в то же	12	18
4	в связи с	4	15
5	с точки зрения	4	15
6	для того чтобы	1	12
7	не только в	4	11
8	и в то	1	10
9	до сих пор	1	10
10	и того же	1	9
11	одного и того	1	9
12	в большинстве случаев	1	8
13	в том числе	2	8
14	и прежде всего	4	8
15	к себе самому	1	8
16	не может быть	5	7
17	в отличие от	6	7
18	в этом отношении	5	7
19	прежде всего в	4	7
20	и как раз	1	6
21	в том же	3	6
22	и в этом	1	6
23	а также и	1	6
24	во всех этих	1	6
25	с одной стороны	8	6
26	в том что	15	5
27	одной стороны и	1	5
28	то есть в	1	5
29	той или иной	1	5
30	одно и то	1	5
31	и то же	1	5
32	и не только	1	5
33	по отношению к	4	4
34	не могло быть	2	4
35	но все же	1	4
36	с другой стороны	5	4
37	бы ни были	1	4
38	в xviii веке	1	4
39	в этом случае	2	4
40	во всяком случае	2	4
41	все то что	1	3
42	в себя и	2	3
43	каковы бы ни	1	3
44	все же в	2	3
45	но при этом	2	3
46	в зависимости от	1	3
47	а не в	1	3
48	как раз и	1	3
49	в другом месте	1	3
50	и в частности	1	3
51	но в то	1	3
52	о том что	3	3
53	с самого начала	1	3
54	и в сущности	1	3
55	из того же	1	3
56	и в литературе	1	3
57	жизни и в	2	3
58	тот или иной	1	3
59	к своей собственной	1	2
60	в частности в	1	2
61	все более и	1	2
62	в один из	1	2
63	в соответствии с	2	2
64	в данном случае	6	2
65	к тому же	1	2
66	вовсе не является	1	2
67	и не столько	1	2
68	а как бы	1	2
69	в свою очередь	2	2
70	себе самому и	1	2
71	у него нет	1	2
72	как и для	1	2
73	здесь как и	1	2
74	жизни но и	1	2
75	более и более	1	2
76	тем более что	1	2
77	дело в том	2	2
78	к тому что	1	2
79	и во всей	1	2
80	в соединении с	1	2
81	не только и	1	2
82	внешнее и внутреннее	1	2
83	это прежде всего	1	2
84	только и не	1	2
85	в основе своей	1	2
86	в целом ряде	2	1
87	что он не	1	1
88	в самом начале	1	1
89	как и во	1	1
90	а отнюдь не	1	1
91	тем более не	1	1
92	себя и других	1	1
93	же время не	2	1
94	ничего не меняет	1	1
95	во время чумы	1	1
96	как раз не	1	1
97	том что в	1	1
98	на том что	1	1
99	и сила и	1	1
100	исключительное значение в	1	1
101	свое существование в	1	1
102	в первый раз	2	1
103	не выходит за	1	1
104	и даже в	1	1
105	только в том	2	1
106	с этой точки	3	1
107	в самом деле	1	1
108	тем не менее	4	1
109	и в пределах	1	1
110	бы не было	1	1
111	время не оставляет	1	1
112	на себе и	1	1
113	за то что	2	1
114	и иного рода	1	1
115	не меняет в	1	1
116	все последующее развитие	1	1
117	по аналогии с	3	1
118	по земле в	1	1
119	но только в	1	1
120	к прошлому и	1	1
121	оно было бы	1	1
122	а за ними	1	1
123	не только на	1	1
124	в пути и	1	1
125	одна из форм	1	1
126	ни к какой	1	1
127	все что ему	1	1
128	в конечном счете	8	1
129	имел в виду	2	1
130	только то что	2	1
131	разумеется и в	1	1
132	в значительной степени	1	1
133	и не может	1	1
134	в этом последнем	1	1
135	в чистом виде	1	1
136	дело не только	2	1
137	и наконец в	1	1
138	в одном из	1	1
139	в основе этой	1	1
140	никогда не бывает	1	1
141	точки зрения для	1	1
142	еще и в	1	1
143	автора и его	1	1
144	как мы знаем	1	1
145	не оставляет места	2	1
146	в этом же	1	1
147	но дело в	1	1
148	от земли и	1	1
149	по существу он	1	1
150	в это время	1	1
151	на второй план	1	1
152	же время он	1	1
153	этой точки зрения	3	1
154	раз и является	1	1
155	но и не	1	1
156	в русской литературе	5	1
157	не отрываясь от	1	1
158	не переставая быть	1	1
159	в этом и	1	1
160	и пространства и	1	1
161	в одной из	1	1
162	на самом деле	1	1
163	на одном из	1	1
164	мира и жизни	1	1
165	в лучшем случае	1	1
166	в конце концов	1	1
167	в xix веке	1	1
168	подобно тому как	4	1
169	иной раз и	1	1
170	но исключительно в	1	1
171	человека и общества	1	1
172	это уже не	1	1
173	именно в том	1	1
174	значительную роль в	1	1
175	как мы видели	1	1
176	в себе не	1	1
177	том что он	1	1
178	он не мог	1	1
179	между тем как	1	1
180	не могут быть	1	1
181	на первый взгляд	1	1
182	в отношении к	1	1
183	себя в них	1	1
184	не могло не	1	1
185	а так как	1	1
186	это свидетельствует о	1	1
187	до конца не	1	1
188	при всем своем	1	1
189	в этот день	1	1
