N	4gram	Propp_Morf	Istorich
1	в то время как	3	13
2	не что иное как	2	11
3	во всех этих случаях	1	11
4	в тех случаях когда	2	10
5	образом мы видим что	4	7
6	начинается с того что	2	7
7	таким образом мы видим	4	7
8	как мы увидим ниже	4	7
9	за тридевять земель в	1	7
10	и т д все	1	6
11	с этой точки зрения	1	6
12	и т д но	4	6
13	мы уже видели выше	1	5
14	и т д в	2	5
15	вход в иное царство	1	5
16	и т д то	1	5
17	и т д и	1	5
18	в иное царство и	1	5
19	есть не что иное	1	5
20	то это значит что	1	4
21	в связи с изучением	1	4
22	и т д здесь	1	4
23	состоит в том что	3	4
24	в тот момент когда	1	4
25	может быть поставлен вопрос	1	4
26	и тем не менее	2	4
27	такой случай мы имеем	1	3
28	т д с другой	1	3
29	один и тот же	1	3
30	если это так то	1	3
31	и т д с	1	3
32	до сих пор не	1	3
33	то же можно сказать	1	3
34	точно так же и	1	3
35	даже в тех случаях	1	3
36	т д все эти	1	3
37	бы то ни было	2	3
38	не покидать высока терема	1	3
39	избушка на курьих ножках	1	3
40	ни шерстинка то серебринка	1	2
41	е мы опять имеем	1	2
42	в том что он	1	2
43	далее мы видим что	1	2
44	отправку героя из дома	1	2
45	т е мы опять	1	2
46	завело бы нас слишком	1	2
47	здесь не может быть	1	2
48	в иное царство или	1	2
49	ни вздумать ни взгадать	1	2
50	похожи друг на друга	1	2
51	ни в сказке сказать	1	2
52	в руки героя попадает	2	2
53	но для наших целей	1	2
54	сказки так тесно связаны	1	2
55	бросают некоторый свет на	1	2
56	одно и то же	1	2
57	мы видим что в	1	2
58	д с другой стороны	1	2
59	мы видим что сказка	1	2
60	дело не в количестве	2	2
61	же можно сказать о	1	2
62	и т д такое	1	2
63	что ни шерстинка то	1	2
64	это не значит что	2	2
65	приводят к тому что	2	2
66	выводы можно сделать из	1	2
67	бы нас слишком далеко	1	2
68	и т д отсюда	1	2
69	нос в потолок врос	1	2
70	и т д это	1	2
71	но это еще не	1	2
72	о которых говорилось выше	1	2
73	что ни вздумать ни	1	2
74	видим таким образом что	1	2
75	сказка в целом не	1	2
76	здесь как и в	1	2
77	мы видим таким образом	1	2
78	вплоть до наших дней	1	2
79	это завело бы нас	1	2
80	в тех сказках где	1	2
