N	3gram	Tiupa_Hudo	NovoeSre
1	в высшей степени	1	6
2	не может быть	5	4
3	подобно тому как	4	3
4	в том и	1	2
5	так же как	2	2
6	в этом смысле	1	2
7	с одной стороны	4	2
8	с другой стороны	1	2
9	она не может	1	2
10	сами по себе	1	1
11	лишь в том	1	1
12	в том что	15	1
13	не в том	2	1
14	не в духе	2	1
15	в том случае	2	1
16	и для чего	1	1
17	и в жизни	1	1
18	до сих пор	3	1
19	я не могу	1	1
20	и быть не	1	1
21	в такой же	2	1
22	как будто бы	3	1
23	и потому что	1	1
24	что она не	2	1
25	по своей природе	2	1
26	не только потому	1	1
27	в то что	1	1
28	том числе и	1	1
29	можно было бы	5	1
30	такой же мере	2	1
31	только потому что	2	1
32	не только в	4	1
33	в том смысле	1	1
34	в отличие от	1	1
35	в значительной степени	3	1
36	в этом он	1	1
37	в нем не	1	1
38	и от нее	1	1
39	в этих категориях	1	1
40	о том что	14	1
41	же как и	2	1
42	во внешних формах	1	1
43	и весь мир	1	1
44	потому что не	1	1
45	заключает в себе	1	1
46	а не в	1	1
47	как и в	5	1
48	том случае если	2	1
49	не имеют никакого	1	1
50	во всяком случае	1	1
51	для себя и	1	1
52	та или иная	4	1
53	к одному из	1	1
54	нет у него	1	1
55	в том числе	1	1
56	в известном смысле	1	1
57	о том чтобы	1	1
58	ни в чем	1	1
59	жизни как в	1	1
60	к жизни и	3	1
61	в духовной глубине	1	1
62	может быть только	1	1
