N	3gram	Tiupa_Lite	Poddanst
1	то же время	12	7
2	в то же	12	7
3	в отношении к	1	5
4	в том что	15	4
5	не только в	4	4
6	в сравнении с	2	3
7	с точки зрения	4	3
8	с одной стороны	8	3
9	и как раз	1	2
10	в полной мере	1	2
11	и в то	1	2
12	в том числе	2	2
13	и не только	1	2
14	одной стороны и	1	2
15	есть не более	1	1
16	с тем же	1	1
17	и в частности	1	1
18	за то что	2	1
19	чуть ли не	2	1
20	тех кто не	1	1
21	но в то	1	1
22	и тем самым	2	1
23	что уже в	1	1
24	не может быть	5	1
25	и не менее	1	1
26	во многих случаях	1	1
27	в большинстве случаев	1	1
28	на наш взгляд	7	1
29	том что в	1	1
30	в отличие от	6	1
31	тех пор пока	2	1
32	из тех кто	1	1
33	с тем чтобы	1	1
34	и то что	2	1
35	в xix веке	1	1
36	в русской культуре	1	1
37	во всяком случае	2	1
38	для того чтобы	1	1
39	и не столько	1	1
40	и тем более	1	1
41	с другой стороны	5	1
42	и не может	1	1
43	тем более что	1	1
44	до тех пор	2	1
45	в душе своей	2	1
46	для тех кто	1	1
47	тот или иной	1	1
48	в частности в	1	1
49	для того кто	1	1
50	и наряду с	1	1
51	и в этом	1	1
