N	4gram	Trubetskoy	formyVre
1	в то же время	10	18
2	одного и того же	1	9
3	в том числе и	1	5
4	но в то же	1	3
5	и в этом случае	1	2
6	по самому своему существу	1	2
7	дело в том что	1	2
8	связаны друг с другом	1	2
9	друг с другом и	2	2
10	само собой разумеется что	1	2
11	и прежде всего в	1	1
12	которая в свою очередь	1	1
13	тот или иной момент	1	1
14	и тот факт что	1	1
15	одну и ту же	1	1
16	но все же особенно	1	1
17	в некоторых из них	1	1
18	и вместе с тем	2	1
19	с точки зрения таких	1	1
20	в основе его лежит	1	1
21	воплощает в себе и	1	1
22	сводится к тому что	1	1
23	и с точки зрения	1	1
24	друг с другом в	1	1
25	во всех этих случаях	1	1
26	о которых мы говорили	1	1
