N	3gram	Bakhtin_Pr	Poddanst
1	то же время	8	7
2	в то же	8	7
3	в отношении к	2	5
4	в том что	6	4
5	не только в	1	4
6	сами по себе	1	3
7	с точки зрения	13	3
8	но и в	2	2
9	и в то	3	2
10	в том числе	15	2
11	что дело идет	1	1
12	друг с другом	6	1
13	она не только	1	1
14	слова но как	1	1
15	именно потому что	1	1
16	в эту эпоху	1	1
17	в ней только	1	1
18	но в то	3	1
19	и тем самым	1	1
20	в выборе и	1	1
21	в применении к	1	1
22	том числе и	13	1
23	не может быть	8	1
24	в этом мире	1	1
25	в большинстве случаев	9	1
26	в отличие от	1	1
27	в этом смысле	5	1
28	по сравнению с	6	1
29	есть прежде всего	1	1
30	и то что	1	1
31	в xix веке	3	1
32	если мы не	1	1
33	в собственном смысле	3	1
34	в творчестве достоевского	5	1
35	хотя бы и	2	1
36	дело идет именно	1	1
37	во всяком случае	1	1
38	что с точки	1	1
39	живых и мертвых	1	1
40	весьма вероятно что	1	1
41	и тем более	1	1
42	с другой стороны	3	1
43	и не может	6	1
44	и необходимы и	1	1
45	мы не будем	2	1
46	да и не	1	1
47	более или менее	3	1
48	так же как	1	1
49	в развитии европейской	1	1
50	подчеркнуть что дело	1	1
51	или хотя бы	1	1
52	и в этом	1	1
