N	3gram	Propp_Isto	Tvorches
1	и т д	30	17
2	в том что	8	11
3	в соответствии с	1	8
4	о том что	3	8
5	не может быть	4	6
6	по отношению к	2	5
7	до сих пор	7	4
8	с точки зрения	1	4
9	с самого начала	1	4
10	дело не в	1	3
11	в таком случае	1	3
12	сами по себе	1	3
13	точно так же	8	3
14	том что в	2	3
15	во всяком случае	2	3
16	как и в	2	3
17	с другой стороны	10	3
18	в этой связи	1	3
19	хотя и не	1	3
20	и не может	1	3
21	что он не	1	2
22	в данном случае	6	2
23	и в другом	1	2
24	и тут же	1	2
25	в том числе	1	2
26	тем не менее	6	2
27	к тому же	4	2
28	в целом и	1	2
29	то это означало	1	2
30	таким образом и	2	2
31	не то что	1	2
32	в связи с	5	2
33	в одном из	2	2
34	в свою очередь	1	2
35	но прежде всего	1	2
36	вместе с тем	1	2
37	в свою противоположность	1	2
38	заключается в том	1	2
39	только то что	1	2
40	можно сказать что	2	2
41	и многое другое	1	2
42	на этот вопрос	1	2
43	все же не	1	2
44	на самом деле	1	2
45	не означает что	1	2
46	содержит в себе	2	2
47	так же как	7	2
48	не только в	3	2
49	мы узнаем что	1	2
50	мы уже говорили	1	2
51	в его работе	1	1
52	тогда как в	1	1
53	никогда не видят	1	1
54	потому что я	1	1
55	в этот момент	1	1
56	и к этому	1	1
57	он говорит что	1	1
58	а в этом	1	1
59	и даже не	1	1
60	дело не только	1	1
61	знает что он	1	1
62	в согласии с	1	1
63	что в одном	1	1
64	один из них	1	1
65	когда он не	1	1
66	но в таком	1	1
67	соответствии с этим	1	1
68	что в них	2	1
69	в ином мире	4	1
70	мифов и легенд	1	1
71	такую большую роль	1	1
72	и если бы	1	1
73	мы знаем что	8	1
74	т д в	1	1
75	три года до	1	1
76	ничего общего с	1	1
77	он живет в	1	1
78	о связи этого	1	1
79	этого персонажа и	1	1
80	однако наряду с	1	1
81	у нас до	1	1
82	но это еще	1	1
83	бросается в глаза	1	1
84	другой стороны и	3	1
85	т д такое	1	1
86	во многих случаях	1	1
87	сказывается в том	1	1
88	и прежде всего	1	1
89	и в других	3	1
90	и как мы	1	1
91	же как в	2	1
92	что как бы	1	1
93	в них нет	1	1
94	означало бы что	1	1
95	это означало бы	1	1
96	то же самое	1	1
97	но в его	1	1
98	со всем что	1	1
99	по этому поводу	1	1
100	к тому что	1	1
101	на самом же	1	1
102	не только на	1	1
103	с героем а	1	1
104	о том чтобы	1	1
105	теперь я могу	1	1
106	и в том	1	1
107	большую роль в	1	1
108	за то что	1	1
109	в чистоте и	1	1
110	т д все	1	1
111	к ней в	1	1
112	уже говорилось о	1	1
113	равно как и	1	1
114	между человеком и	2	1
115	это вовсе не	1	1
116	самом же деле	1	1
117	но и в	2	1
118	мы видим в	3	1
119	в том смысле	1	1
120	в чем же	1	1
121	после этого он	1	1
122	а затем уже	1	1
123	понял что он	1	1
124	выясняется что он	1	1
125	но за этой	1	1
126	этот вопрос не	1	1
127	в другом месте	1	1
128	и придал ей	1	1
129	может быть в	1	1
130	перед тем как	1	1
131	с одной стороны	2	1
132	не говорит что	1	1
133	в то время	2	1
134	тесно связан с	1	1
135	одним из условий	1	1
136	не что иное	6	1
137	нас до сих	1	1
138	это еще не	2	1
139	объясняется тем что	1	1
140	можно было бы	2	1
141	известно что в	2	1
142	мы имеем в	4	1
143	в этом случае	8	1
144	одном из вариантов	2	1
145	нет ли здесь	1	1
146	что в нем	1	1
147	же как и	3	1
148	еще не все	4	1
149	бросает в огонь	1	1
150	тем что он	1	1
151	только с этой	1	1
152	жизни и с	1	1
153	между тем из	1	1
154	что иное как	6	1
155	встречаются и в	1	1
156	не только с	1	1
157	том что после	1	1
158	и не только	1	1
159	это и есть	2	1
160	что он как	1	1
161	мы не можем	1	1
