N	2gram	Bakhtin_KF	Tvorches
1	и в	28	56
2	как бы	9	41
3	в его	42	37
4	в то	3	30
5	то же	5	25
6	не только	5	24
7	же время	2	24
8	но в	5	24
9	как и	5	23
10	то есть	1	23
11	и не	28	23
12	а в	5	23
13	и его	18	23
14	в этом	15	22
15	что в	4	21
16	в том	6	21
17	он не	6	19
18	том что	4	19
19	может быть	45	19
20	потому что	2	19
21	то что	7	18
22	и на	3	17
23	что он	2	17
24	все это	10	17
25	при этом	4	16
26	но и	9	16
27	никогда не	5	16
28	как в	2	16
29	прежде всего	4	16
30	не может	29	16
31	и с	1	15
32	в мире	8	15
33	но это	6	15
34	в этой	2	15
35	с его	2	15
36	и даже	1	14
37	это не	10	14
38	о том	3	13
39	а не	17	13
40	в котором	24	12
41	же с	2	12
42	тем самым	4	12
43	в целом	10	12
44	в своей	11	11
45	все же	5	11
46	отнюдь не	7	11
47	для него	13	11
48	в самом	1	10
49	не в	13	10
50	только в	18	10
51	когда он	1	10
52	так и	2	10
53	но не	12	10
54	в душе	1	9
55	в своих	4	9
56	а затем	1	9
57	и от	1	9
58	один из	2	9
59	жизни в	5	9
60	в свою	3	9
61	в нем	32	9
62	в духе	1	8
63	именно в	5	8
64	в соответствии	2	8
65	не менее	3	8
66	к этому	2	8
67	хотя и	1	8
68	это уже	2	8
69	вместе с	1	8
70	соответствии с	2	8
71	одной из	1	8
72	еще не	5	8
73	в себе	21	8
74	так как	1	8
75	в их	9	8
76	на его	1	8
77	об этом	1	8
78	вовсе не	7	8
79	человека и	3	8
80	в этих	1	7
81	уже не	7	7
82	за собой	1	7
83	что она	1	7
84	и он	1	7
85	в которой	1	7
86	в чем	4	7
87	не случайно	1	7
88	самом деле	3	7
89	в момент	3	6
90	еще более	2	6
91	в принципе	2	6
92	и как	2	6
93	конечном счете	1	6
94	если он	1	6
95	хотя бы	5	6
96	одна из	1	6
97	его в	5	6
98	в конечном	1	6
99	и ее	2	6
100	с ним	5	6
101	если бы	8	6
102	и все	9	6
103	приводит к	1	6
104	все эти	11	6
105	место в	6	6
106	более не	1	5
107	из всех	1	5
108	мысли и	1	5
109	что этот	3	5
110	по отношению	26	5
111	в своем	17	5
112	в одной	1	5
113	во всей	4	5
114	в ее	17	5
115	что и	7	5
116	не было	8	5
117	что не	3	5
118	я не	6	5
119	и это	12	5
120	а с	2	5
121	что это	4	5
122	если не	2	5
123	между тем	4	5
124	в первой	1	5
125	дело не	2	5
126	значит что	1	5
127	наше время	1	5
128	та же	3	5
129	с этим	1	5
130	маленького человека	1	5
131	не имеют	1	5
132	в истории	1	5
133	до конца	3	5
134	том же	1	5
135	тот же	3	5
136	ничего не	3	5
137	мы не	3	5
138	в литературе	1	5
139	бы не	3	5
140	в виде	2	5
141	но с	1	5
142	но эта	6	5
143	в ту	2	5
144	и по	1	5
145	но его	1	5
146	и других	2	5
147	что я	5	5
148	отношению к	22	5
149	него в	1	4
150	с собой	1	4
151	тем что	3	4
152	но эти	1	4
153	только на	1	4
154	говорить о	2	4
155	и когда	2	4
156	превращается в	1	4
157	что все	1	4
158	точки зрения	13	4
159	это значит	1	4
160	к нему	12	4
161	мы видим	1	4
162	и мы	2	4
163	и потому	2	4
164	с точки	10	4
165	и через	1	4
166	первая часть	1	4
167	не знает	5	4
168	сих пор	1	4
169	не был	1	4
170	в каждом	3	4
171	не мог	1	4
172	как это	1	4
173	но только	1	4
174	и я	6	4
175	ту же	1	4
176	себя в	8	4
177	человек это	1	4
178	могут быть	3	4
179	о его	1	4
180	и есть	10	4
181	до сих	1	4
182	этой книги	1	4
183	в человеке	1	4
184	с ними	4	4
185	нет ничего	1	4
186	это и	3	4
187	его и	2	4
188	в основе	5	4
189	эта мысль	1	4
190	времени и	4	4
191	той же	1	4
192	и будущего	1	4
193	того что	3	4
194	зависит от	1	4
195	и тут	1	4
196	же не	1	4
197	отказаться от	2	4
198	дело в	2	4
199	особенно в	1	4
200	он ни	2	4
201	но он	1	4
202	из жизни	1	4
203	действительной жизни	3	4
204	такой же	1	4
205	и наконец	1	4
206	и к	1	3
207	от него	3	3
208	только что	1	3
209	в виду	3	3
210	во главе	2	3
211	по себе	2	3
212	связь с	1	3
213	людей и	3	3
214	в первом	1	3
215	мысль о	1	3
216	в мир	2	3
217	в жизни	2	3
218	жизнь на	1	3
219	только для	1	3
220	отличается от	1	3
221	к тому	1	3
222	на все	1	3
223	во всяком	1	3
224	можно сказать	1	3
225	разума с	1	3
226	переживание времени	1	3
227	в этот	1	3
228	может служить	1	3
229	в одном	5	3
230	с другим	4	3
231	едва ли	2	3
232	к человеку	1	3
233	к себе	2	3
234	несмотря на	1	3
235	к идеалу	1	3
236	и приводит	1	3
237	для того	3	3
238	я и	5	3
239	себя как	2	3
240	не есть	22	3
241	в себя	8	3
242	действительности и	1	3
243	со всеми	2	3
244	и мир	2	3
245	на этом	1	3
246	в философии	1	3
247	всяком случае	1	3
248	эти слова	1	3
249	отличен от	1	3
250	совсем не	2	3
251	и тем	3	3
252	должны быть	1	3
253	его как	5	3
254	и др	1	3
255	человека как	1	3
