N	4gram	Vinokur_St	Problemy
1	в то же время	5	26
2	но в то же	2	11
3	и в то же	1	7
4	бы то ни было	1	6
5	то же время не	1	6
6	в том что он	3	5
7	в той или иной	1	5
8	в то время как	1	3
9	одно и то же	1	3
10	с другой стороны и	1	3
11	с точки зрения его	1	2
12	и в том и	1	2
13	во всяком случае не	2	2
14	дело в том что	7	2
15	но с другой стороны	2	2
16	то же время оно	1	2
17	и по отношению к	1	2
18	и в этом отношении	1	2
19	а может быть даже	1	2
20	на них как на	1	1
21	на самом деле оно	1	1
22	том и другом случае	1	1
23	именно в том что	1	1
24	и т д как	1	1
25	для своего времени и	1	1
26	до сих пор еще	1	1
27	во что бы то	1	1
28	заставляя его служить своим	1	1
29	что с точки зрения	1	1
30	каких бы то ни	1	1
31	в одних и тех	1	1
32	и т п но	1	1
33	так и в отношении	1	1
34	иначе и быть не	1	1
35	о том что он	3	1
36	не может быть и	1	1
37	может быть даже и	1	1
38	что бы то ни	1	1
39	бы то ни стало	1	1
40	то что он не	1	1
41	но это не значит	1	1
42	и вместе с тем	1	1
43	одних и тех же	1	1
44	бы они ни были	1	1
45	и в самом деле	2	1
46	в самом деле не	1	1
47	заключается в том что	3	1
48	иметь в виду что	1	1
49	самом деле вовсе не	1	1
50	в том числе и	2	1
51	только и могут быть	1	1
52	как и во всякой	1	1
53	вопрос о том что	1	1
54	и т п в	4	1
55	уже после того как	2	1
56	и т д и	2	1
57	то же время с	1	1
58	он с самого начала	1	1
59	в том и другом	1	1
60	во всяком случае в	2	1
61	в котором все эти	1	1
62	такой же степени как	1	1
63	не все в этой	1	1
64	на самом деле вовсе	1	1
65	тем не менее и	1	1
66	в критической литературе о	1	1
67	может быть и речи	1	1
68	в каждом из этих	1	1
69	и не может не	1	1
70	так же как и	1	1
71	до сих пор не	1	1
72	и т д но	4	1
73	что же это за	1	1
