N	4gram	Vygotskiy_	Vvedenie
1	не что иное как	2	5
2	приходим к выводу что	1	4
3	с одной стороны и	1	3
4	в том отношении что	1	3
5	есть не что иное	1	3
6	состоит в том что	4	2
7	с этой точки зрения	4	2
8	то же самое что	1	2
9	заключается в том что	16	2
10	во всяком случае не	1	2
11	одно и то же	6	2
12	одной и той же	5	2
13	одного и того же	5	2
14	только в том что	4	1
15	по двум причинам во-первых	1	1
16	если принять во внимание	2	1
17	одном и том же	2	1
18	в самом деле как	1	1
19	собой не что иное	1	1
20	в собственном смысле этого	7	1
21	все же в них	1	1
22	в том что он	1	1
23	так как если бы	1	1
24	представление о том что	1	1
25	в связи с этим	2	1
26	в том смысле что	2	1
27	в гораздо большей мере	1	1
28	которыми приходится иметь дело	1	1
29	заключается вовсе не в	1	1
30	бы то ни было	1	1
31	тем не менее не	1	1
32	в том что с	1	1
33	ответить на этот вопрос	1	1
34	сомневаться в том что	1	1
35	заключается в том чтобы	2	1
36	в собственном смысле слова	3	1
37	и не потому что	1	1
38	собственном смысле этого слова	7	1
39	отступают на задний план	1	1
40	том виде в каком	1	1
41	разница только в том	1	1
42	и в этом смысле	1	1
43	в том виде в	1	1
44	в том что в	3	1
45	с которыми приходится иметь	1	1
46	можно было бы назвать	1	1
47	том или ином его	1	1
48	к выводу что и	1	1
49	в самом деле то	1	1
50	в том виде как	3	1
51	когда мы говорим о	1	1
52	точно так же как	1	1
