N	3gram	Savitsky_E	Mirosoze
1	не может быть	2	28
2	в том что	6	9
3	для того чтобы	5	7
4	и в этом	4	6
5	друг к другу	1	6
6	есть не только	2	5
7	в отношении к	12	5
8	но и в	1	5
9	мы увидим что	1	5
10	прежде всего в	2	5
11	в русском народе	1	5
12	может быть и	1	5
13	заключает в себе	3	4
14	на то что	2	4
15	в то время	1	4
16	можно было бы	3	4
17	то время как	1	4
18	она никогда не	1	3
19	плоть от плоти	1	3
20	кровь от крови	1	3
21	не может не	1	3
22	к тому что	1	3
23	одна и та	1	3
24	от плоти и	1	3
25	плоти и кровь	1	3
26	и не было	1	3
27	по сравнению с	2	3
28	это значит что	1	3
29	и кровь от	1	3
30	и та же	1	3
31	так же как	5	3
32	в значительной степени	1	3
33	же как и	3	3
34	выходит за пределы	1	3
35	с тем что	1	3
36	во всяком случае	3	3
37	также и в	1	3
38	смысле этого слова	1	2
39	не только в	4	2
40	а не к	1	2
41	хотя бы и	3	2
42	одно из явлений	1	2
43	начале xx века	1	2
44	именно потому что	1	2
45	но также и	1	2
46	отношении к культуре	1	2
47	одну и ту	1	2
48	на то чтобы	1	2
49	в мире как	1	2
50	и только в	2	2
51	и ту же	1	2
52	в том смысле	1	2
53	к тому чтобы	2	2
54	не будет уже	1	2
55	в начале xx	1	2
56	не могут быть	1	2
57	оно не может	1	2
58	так же мало	2	2
59	что оно не	1	2
60	в этом отношении	3	2
61	западной европы с	1	1
62	во многих других	1	1
63	это должно быть	1	1
64	и когда мы	1	1
65	том смысле что	1	1
66	для нас в	1	1
67	и в этих	1	1
68	вопрос можно ли	1	1
69	он мог бы	1	1
70	в этот период	1	1
71	значит ли это	1	1
72	и во многих	1	1
73	во многих отношениях	1	1
74	и связанной с	1	1
75	но не только	2	1
76	друг с другом	3	1
77	в том случае	1	1
78	а также в	1	1
79	войны и революции	2	1
80	того что в	2	1
81	речь идет о	1	1
82	поскольку в ней	1	1
83	вместо того чтобы	1	1
84	запад но и	1	1
85	в этом мире	1	1
86	как и всякая	1	1
87	и тем самым	1	1
88	в отличие от	1	1
89	не только те	1	1
90	тех случаях когда	1	1
91	с тем большей	1	1
92	но не в	1	1
93	мы хотели бы	1	1
94	в себе в	1	1
95	именно потому и	1	1
96	нужно помнить что	1	1
97	с другой стороны	2	1
98	только тогда когда	1	1
99	но так как	1	1
100	склонен думать что	1	1
101	в тех случаях	1	1
102	у нас некоторые	1	1
103	не значит ли	1	1
104	в стороне от	1	1
105	и не быть	1	1
106	для того же	1	1
107	чтобы не только	1	1
108	что россия есть	1	1
109	той или иной	4	1
110	все другие народы	2	1
111	с разных точек	1	1
112	к ней в	1	1
113	с точки зрения	16	1
114	не заключается ли	1	1
115	и не в	1	1
116	культуры в течение	1	1
117	но с тем	1	1
118	и различие между	1	1
119	только и можно	1	1
120	приводит нас к	2	1
121	в то же	15	1
122	как и россия	1	1
123	есть только одно	1	1
124	то же время	14	1
125	но в отношении	1	1
126	ли это что	1	1
127	не означает что	1	1
128	с еще большей	1	1
129	он сам в	1	1
130	есть то что	1	1
131	во всех этих	1	1
132	в своей потребности	1	1
133	хотя бы в	2	1
134	все так же	1	1
135	другие народы мира	1	1
136	все еще в	1	1
137	между тем в	3	1
138	том случае если	1	1
139	та или иная	1	1
140	в нем и	1	1
141	с одной стороны	8	1
142	то есть к	1	1
143	сплошь и рядом	2	1
144	это потому что	1	1
145	более чем в	1	1
146	своей потребности в	1	1
147	к западной европе	1	1
