N	4gram	Bakhtin_Pr	VLabPisa
1	в то же время	13	5
2	и в то же	2	3
3	в том числе и	1	2
4	с одной стороны и	1	2
5	большей или меньшей степени	2	2
6	и не может быть	1	2
7	в большей или меньшей	2	2
8	не в том что	1	2
9	в зависимости от различных	1	1
10	никогда не может быть	1	1
11	в зависимости от них	1	1
12	как если бы он	1	1
13	именно в том что	1	1
14	по крайней мере для	1	1
15	иметь в виду что	1	1
16	и есть то что	1	1
17	т п все это	1	1
18	и так или иначе	1	1
19	и т д наконец	1	1
20	и по отношению к	1	1
21	но с другой стороны	2	1
22	то что должно быть	1	1
23	не укладывающаяся в рамки	1	1
24	и т п все	2	1
25	уже сама по себе	1	1
26	одну и ту же	1	1
27	то это вовсе не	1	1
28	а в том что	1	1
29	во время работы над	1	1
30	в той или иной	1	1
31	но в то же	7	1
32	так же как и	1	1
33	в то время как	2	1
34	говорит в письме к	1	1
35	до сих пор не	1	1
