N	4gram	Medvedev_F	Russkaja
1	в то же время	13	10
2	во что бы то	3	3
3	в том случае если	1	3
4	что бы то ни	3	3
5	бы то ни стало	3	3
6	лишь в том случае	1	2
7	только в том случае	1	2
8	с точки зрения этой	1	2
9	в свою очередь является	2	1
10	в лучшем случае лишь	1	1
11	по самому своему существу	1	1
12	мы уже знаем что	1	1
13	то же время в	1	1
14	для этого прежде всего	2	1
15	бы то ни было	1	1
16	и то и другое	1	1
17	только с точки зрения	1	1
18	можно было говорить о	1	1
19	с точки зрения этих	1	1
20	и в этом случае	1	1
21	и с точки зрения	1	1
22	в какие конкретные формы	1	1
23	и прежде всего в	1	1
24	но в то же	3	1
25	в том числе и	1	1
26	но для этого прежде	1	1
27	этого прежде всего необходимо	1	1
28	состоит в том чтобы	1	1
29	смысле этого слова но	1	1
30	и во всяком случае	1	1
31	и не может быть	4	1
