N	2gram	Bakhtin_Pr	Mirosoze
1	и в	59	97
2	у достоевского	35	94
3	может быть	38	64
4	не только	26	63
5	в этом	40	55
6	но и	22	54
7	он не	11	53
8	а не	30	53
9	в нем	38	49
10	не может	31	49
11	у него	9	47
12	и не	66	39
13	никогда не	19	38
14	человеческого духа	2	38
15	в ней	8	37
16	потому что	20	37
17	не было	5	36
18	не в	10	34
19	и есть	6	33
20	для него	23	31
21	не есть	2	30
22	но он	3	30
23	великого инквизитора	2	30
24	человека в	8	30
25	как и	21	29
26	достоевского есть	1	29
27	прежде всего	17	29
28	и он	3	27
29	в мире	10	27
30	но в	7	27
31	к человеку	3	26
32	о человеке	2	26
33	человека и	2	26
34	в своей	17	25
35	и это	5	25
36	достоевский был	5	25
37	свободы и	1	24
38	переходит в	2	24
39	и все	4	24
40	у нас	2	24
41	и достоевский	3	23
42	ведет к	1	23
43	в своем	12	23
44	иван карамазов	2	23
45	что в	14	23
46	что он	16	22
47	в самом	19	21
48	творчество достоевского	3	21
49	достоевского и	14	21
50	в себе	9	20
51	достоевский не	8	20
52	отношение к	4	20
53	в россии	1	19
54	как бы	40	19
55	до конца	11	19
56	человек не	1	19
57	ивана карамазова	9	18
58	в его	44	18
59	того что	4	17
60	и потому	9	17
61	том что	15	16
62	если нет	2	16
63	в том	17	16
64	на земле	1	16
65	для достоевского	9	16
66	то что	21	16
67	было бы	10	16
68	достоевского в	21	16
69	и его	21	16
70	духа в	1	15
71	в котором	6	15
72	не знает	5	15
73	в этой	5	15
74	в конце	9	14
75	человек в	2	14
76	она не	9	14
77	в творчестве	6	14
78	так как	11	14
79	великом инквизиторе	1	14
80	достоевского к	5	13
81	достоевского он	2	13
82	русский народ	2	13
83	та же	1	13
84	и на	15	13
85	из подполья	14	13
86	друг друга	10	13
87	и вот	4	13
88	в них	5	12
89	он сам	9	12
90	к нему	13	12
91	и у	6	12
92	но не	13	12
93	смысле слова	1	12
94	в человеке	15	12
95	достоевский в	10	12
96	это не	13	12
97	все это	12	12
98	и к	5	11
99	любовь к	1	11
100	уже не	14	11
101	хотя бы	5	11
102	в которой	6	11
103	достоевского но	10	11
104	в русской	3	11
105	к достоевскому	1	11
106	в достоевском	1	11
107	был бы	6	11
108	только в	15	11
109	как в	10	11
110	и там	1	11
111	но это	7	11
112	и для	5	11
113	менее всего	4	11
114	свобода и	1	11
115	жизни и	21	11
116	достоевского не	18	10
117	то же	15	10
118	его духа	2	10
119	и свобода	1	10
120	так же	10	10
121	образ человека	1	10
122	всю жизнь	1	10
123	один из	4	10
124	должна быть	4	10
125	не могут	6	10
126	не имеет	2	10
127	это и	10	10
128	в самой	10	10
129	есть не	3	10
130	все что	6	9
131	подпольного человека	1	9
132	в бесах	1	9
133	из самых	1	9
134	к тому	1	9
135	к свободе	1	9
136	должно быть	4	9
137	достоевского было	3	9
138	что и	10	9
139	х годов	2	9
140	человек и	2	9
141	я не	7	9
142	не будет	1	9
143	он уже	2	9
144	то есть	64	9
145	с ним	13	9
146	вместе с	2	9
147	человека на	1	9
148	в свою	1	9
149	и во	2	9
150	бы и	6	9
151	есть и	2	9
152	а в	9	9
153	лишь в	4	9
154	от него	3	8
155	в этих	5	8
156	и с	10	8
157	тем что	5	8
158	о том	5	8
159	вопрос о	4	8
160	о достоевском	12	8
161	себя в	5	8
162	в дневнике	1	8
163	что не	6	8
164	человеке и	1	8
165	человека он	1	8
166	дневнике писателя	1	8
167	за пределы	10	8
168	жизнь в	2	8
169	не так	3	8
170	в отношении	3	8
171	самого достоевского	8	8
172	еще в	1	8
173	не знал	1	8
174	нет в	1	8
175	творчестве достоевского	6	8
176	того чтобы	5	8
177	отношении к	3	8
178	нет и	4	8
179	достоевского нет	3	8
180	с его	14	8
181	ничего не	8	8
182	они не	5	8
183	уже в	9	8
184	сам достоевский	4	8
185	мира и	8	8
186	только и	1	8
187	достоевский и	3	8
188	для того	3	8
189	во всем	1	7
190	что человек	1	7
191	в духе	3	7
192	не существует	1	7
193	достоевского все	2	7
194	в нашем	3	7
195	что все	5	7
196	точки зрения	36	7
197	достоевского была	1	7
198	она есть	1	7
199	все в	7	7
200	те же	3	7
201	чем в	3	7
202	достоевского о	1	7
203	что она	6	7
204	на этом	1	7
205	от нее	1	7
206	в жизни	7	7
207	отношения к	4	7
208	жизни в	3	7
209	себя и	4	7
210	он в	3	7
211	но если	1	7
212	высшей степени	2	7
213	герои достоевского	5	7
214	в высшей	2	7
215	должен быть	1	7
216	не могу	1	7
217	как он	5	7
218	все еще	2	7
219	к другу	4	6
220	же и	2	6
221	с этой	1	6
222	не как	15	6
223	есть что-то	1	6
224	к концу	1	6
225	и нет	2	6
226	свободе и	1	6
227	на пути	2	6
228	людей и	2	6
229	этого мира	6	6
230	всего в	2	6
231	что у	5	6
232	достоевский с	2	6
233	прийти к	1	6
234	его в	6	6
235	записок из	4	6
236	и она	1	6
237	у них	1	6
238	совсем не	1	6
239	личности и	1	6
240	можно было	5	6
241	по своей	1	6
242	вера в	2	6
243	что достоевский	3	6
244	и от	3	6
245	и здесь	5	6
246	друг к	4	6
247	что это	1	6
248	его на	2	6
249	или к	2	6
250	него нет	3	6
251	если бы	12	6
252	в которых	2	6
253	бы не	3	6
254	братьях карамазовых	3	6
255	в братьях	3	6
256	весь в	1	6
257	в образе	4	6
258	в ее	4	6
259	того как	1	6
260	и более	2	6
261	тех которые	1	6
262	и человек	2	6
263	жизнь и	3	6
264	его не	2	6
265	быть и	1	6
266	к ней	1	6
267	не к	1	6
268	еще не	11	5
269	бы в	7	5
270	которые не	1	5
271	с самим	3	5
272	его он	1	5
273	мысли и	5	5
274	одно из	2	5
275	и как	10	5
276	он остается	2	5
277	мысли о	1	5
278	отличается от	3	5
279	с этим	2	5
280	во всяком	5	5
281	для этого	4	5
282	мы увидим	1	5
283	чем его	1	5
284	перед ним	2	5
285	сказать что	9	5
286	к которому	1	5
287	достоевским в	3	5
288	все время	4	5
289	от человека	2	5
290	по преимуществу	3	5
291	на протяжении	3	5
292	хочет быть	1	5
293	отказывается от	1	5
294	личности в	7	5
295	от этого	2	5
296	достоевского это	2	5
297	сих пор	3	5
298	и мир	4	5
299	должны быть	1	5
300	человека его	1	5
301	в то	15	5
302	который был	1	5
303	до сих	3	5
304	они и	3	5
305	оно не	2	5
306	да и	3	5
307	хотел бы	2	5
308	его и	4	5
309	то он	3	5
310	в основе	6	5
311	и если	1	5
312	по достоевскому	5	5
313	в мир	4	5
314	той же	7	5
315	в самую	2	5
316	не стоит	1	5
317	тот же	4	5
318	человека но	2	5
319	в более	1	5
320	этот процесс	1	5
321	не для	1	5
322	которых он	1	5
323	так и	13	5
324	и тут	1	5
325	как у	4	5
326	в их	5	5
327	сознания но	3	5
328	и ивана	2	5
329	xx века	1	5
330	думать что	1	5
331	него и	1	5
332	как будто	4	5
333	в той	9	4
334	что было	4	4
335	человеческой жизни	4	4
336	достоевским и	2	4
337	в момент	4	4
338	к этой	1	4
339	и люди	1	4
340	еще более	1	4
341	потому не	1	4
342	не хочет	1	4
343	в своих	5	4
344	и даже	4	4
345	нем нет	1	4
346	было не	1	4
347	достоевского нельзя	1	4
348	была еще	1	4
349	достоевского его	2	4
350	по отношению	17	4
351	себе в	1	4
352	него не	4	4
353	идеи у	4	4
354	знаете ли	1	4
355	что они	3	4
356	ее и	2	4
357	мы видим	5	4
358	в каждом	11	4
359	к себе	2	4
360	в подростке	1	4
361	и через	2	4
362	и этим	2	4
363	не от	2	4
364	это очень	4	4
365	лежит в	3	4
366	не была	1	4
367	и можно	1	4
368	будто бы	1	4
369	не раскрывает	1	4
370	тому что	3	4
371	время как	2	4
372	в свете	4	4
373	себе и	3	4
374	в чем	2	4
375	человека а	2	4
376	а для	1	4
377	зосимы и	1	4
378	а с	4	4
