N	2gram	Bakhtin_Fr	VelikijI
1	и не	13	20
2	и в	73	16
3	так как	9	9
4	то что	12	9
5	в истории	3	8
6	от бога	1	8
7	еще не	3	8
8	и потому	6	7
9	что они	2	7
10	а не	2	7
11	на земле	5	7
12	к людям	1	6
13	человека и	3	6
14	не есть	2	6
15	что есть	2	5
16	хотя и	5	5
17	того что	5	5
18	все это	19	5
19	по пути	1	5
20	как бы	15	5
21	бога и	1	5
22	в мире	3	5
23	но и	15	5
24	к небытию	1	4
25	все что	5	4
26	в котором	4	4
27	в этом	21	4
28	что мы	2	4
29	потому что	9	4
30	в его	18	4
31	в ней	10	4
32	всех существ	1	4
33	так и	13	4
34	они будут	1	4
35	и есть	3	4
36	мира сего	1	4
37	и все	19	4
38	в образе	6	4
39	что все	3	4
40	как и	19	4
41	что он	8	4
42	в силах	2	4
43	мира от	2	4
44	и я	1	4
45	в нем	18	4
46	во всех	13	3
47	что в	14	3
48	нет ничего	1	3
49	то это	1	3
50	в конце	9	3
51	должно быть	4	3
52	этого мира	1	3
53	нас и	1	3
54	в первый	1	3
55	в том	13	3
56	не в	12	3
57	и что	5	3
58	что и	6	3
59	свободы от	1	3
60	ни в	7	3
61	они в	3	3
62	превращается в	2	3
63	в этих	6	3
64	в них	14	3
65	оно не	2	3
66	не было	4	3
67	лишь в	2	3
68	что ты	1	3
69	что во	1	3
70	в жизни	1	3
71	что я	1	3
72	по этому	4	3
73	и они	1	3
74	их в	5	3
75	в своей	4	3
76	должна быть	3	3
77	всех людей	1	3
78	с его	5	3
79	от этого	3	3
80	не имеет	4	3
81	но это	3	3
82	и для	8	3
83	жизни и	6	3
84	в чем	3	3
85	все эти	24	3
86	тот же	3	3
87	отвращение к	1	3
88	но в	12	3
89	к тому	2	3
90	за то	4	3
91	никогда не	6	3
92	людей в	3	3
93	что было	1	2
94	всего в	5	2
95	во всяком	2	2
96	от него	3	2
97	его и	1	2
98	что теперь	2	2
99	жизни все	1	2
100	над ними	1	2
101	что от	1	2
102	а к	1	2
103	один из	5	2
104	превращаются в	3	2
105	не могли	1	2
106	в последнем	1	2
107	они и	4	2
108	и вечно	2	2
109	в земной	4	2
110	превратились в	1	2
111	на том	2	2
112	его не	1	2
113	не так	1	2
114	того чтобы	2	2
115	это не	7	2
116	земли и	7	2
117	путь которым	1	2
118	это все	1	2
119	вместо того	2	2
120	между тем	2	2
121	не только	11	2
122	и над	1	2
123	для него	7	2
124	вот почему	1	2
125	и тогда	1	2
126	с ним	6	2
127	не будет	1	2
128	ее в	1	2
129	для нас	2	2
130	и то	3	2
