N	4gram	Bakhtin_Fr	RusskieA
1	не что иное как	1	4
2	на самом же деле	1	3
3	подобно тому как в	1	3
4	и до сих пор	2	1
5	и в других местах	2	1
6	элементы входящие в сложный	1	1
7	может быть и не	2	1
8	во второй половине xix	1	1
9	ни с одним из	1	1
10	от зимы к весне	1	1
11	о чем свидетельствует ряд	1	1
12	это в свою очередь	1	1
13	в то время как	1	1
14	одного и того же	1	1
15	входит в нашу задачу	1	1
16	о том что в	1	1
17	до сих пор в	1	1
18	в том чтобы установить	1	1
19	или во всяком случае	1	1
20	не входит в нашу	1	1
21	во время которого носили	1	1
22	на смех и на	1	1
23	в своей книге о	1	1
24	дело в том что	2	1
25	приведем несколько примеров в	1	1
