N	3gram	Tiupa_Disk	Psycholo
1	в том что	18	78
2	на то что	1	55
3	в самом деле	1	51
4	заключается в том	1	36
5	о том что	8	34
6	то же самое	2	31
7	с точки зрения	3	29
8	с одной стороны	12	28
9	все то что	1	23
10	не может быть	5	23
11	до сих пор	1	23
12	с другой стороны	4	20
13	в том чтобы	2	20
14	на самом деле	1	17
15	с самого начала	2	16
16	во всяком случае	2	14
17	в этом отношении	4	14
18	заключает в себе	1	13
19	сам по себе	1	12
20	в конечном счете	2	11
21	то что в	1	11
22	подобно тому как	4	11
23	вместе с тем	1	10
24	только в том	2	10
25	и то что	2	10
26	не в том	3	10
27	сами по себе	2	10
28	том что он	1	10
29	потому что в	2	9
30	в отличие от	12	9
31	в том случае	1	9
32	в данном случае	6	9
33	что он не	1	9
34	в том и	1	9
35	не в состоянии	1	9
36	и как бы	5	8
37	и то же	2	8
38	речь идет о	2	8
39	состоит в том	3	7
40	том случае если	1	7
41	в этом смысле	1	7
42	а с другой	4	7
43	только то что	2	7
44	в свою очередь	3	7
45	можно сказать что	3	7
46	одно и то	2	7
47	как и в	3	7
48	и может быть	3	6
49	тем не менее	1	6
50	более или менее	2	6
51	по себе не	2	6
52	и в том	1	6
53	того или иного	2	6
54	не только в	2	6
55	о том как	1	5
56	в таком случае	1	5
57	в евгении онегине	1	5
58	в целом ряде	1	5
59	несмотря на все	1	5
60	мы все же	1	5
61	как будто бы	2	4
62	каждый из них	2	4
63	и того же	4	4
64	а в том	2	4
65	к тому же	4	4
66	из того что	1	4
67	и тем же	1	4
68	того и другого	1	4
69	то есть к	1	4
70	он не может	1	4
71	одного и того	4	4
72	том что в	3	4
73	и не может	3	4
74	внимание на то	1	4
75	то есть в	2	4
76	одна из них	1	4
77	одним и тем	1	4
78	только потому что	1	4
79	именно в том	1	4
80	несет в себе	3	4
81	это и есть	1	4
82	в основе своей	4	4
83	в себя и	1	3
84	и в другом	1	3
85	одни и те	1	3
86	том что на	1	3
87	друг от друга	1	3
88	приходит к выводу	1	3
89	по аналогии с	2	3
90	все дело в	1	3
91	а не только	2	3
92	совпадают с теми	1	3
93	и там где	1	3
94	по отношению к	13	3
95	дело в том	3	3
96	том что всякое	1	3
97	не могут быть	1	3
98	никак не могут	1	3
99	легко заметить что	1	3
100	в нем нет	1	3
101	в том или	1	3
102	мысль о том	1	3
103	при этом как	1	3
104	в наше время	4	3
105	то же время	9	3
106	и те же	1	3
107	в это время	1	3
108	том или ином	1	3
109	едва ли не	2	3
110	в то же	7	3
111	не может стать	1	3
112	то все же	1	3
113	во всех этих	1	3
114	в этом случае	3	3
115	обратить внимание на	2	3
116	одной стороны и	3	2
117	на всем протяжении	1	2
118	он как бы	1	2
119	такой же мере	1	2
120	к одному и	1	2
121	дело не в	1	2
122	в своей основе	1	2
123	а не как	2	2
124	не совпадает с	1	2
125	что в них	2	2
126	так и в	4	2
127	но при этом	3	2
128	именно в этой	1	2
129	между тем как	1	2
130	может быть сведена	1	2
131	в полной мере	1	2
132	тому или иному	1	2
133	при этом он	1	2
134	и все прочие	1	2
135	но в этом	1	2
136	и не дает	1	2
137	в тех случаях	1	2
138	мы имеем дело	3	2
139	в связи с	1	2
140	той или иной	6	2
141	то что и	2	2
142	прежде всего на	1	2
143	по крайней мере	3	2
144	и в особенности	2	2
145	может быть в	1	2
146	и что это	1	2
147	или во всяком	1	2
148	когда указывает на	1	2
149	одной стороны это	1	2
150	как и все	1	2
151	это еще не	2	2
152	одной стороны он	1	2
153	которое может быть	2	2
154	не согласиться с	1	2
155	тем или иным	1	2
156	и все же	3	2
157	ни одно из	2	2
158	и столь же	1	2
159	может и не	1	2
160	дело с двумя	1	2
161	так например в	1	2
162	в такой же	1	2
163	как и всякий	1	2
164	то чего не	1	2
165	тех или иных	1	2
166	не только о	1	2
167	на каждом шагу	1	2
168	равно как и	1	2
169	в разные эпохи	1	2
170	быть сведена к	1	2
171	жизни но и	1	2
172	что ни один	1	2
173	именно в этом	1	2
174	как мы видели	1	2
175	может быть определена	2	2
176	и именно в	1	2
177	с ней в	1	2
178	может быть признано	1	2
179	что не только	1	2
180	имеем дело с	1	2
181	она отличается от	1	1
182	могут возникать и	1	1
183	тем самым он	1	1
184	к разного рода	1	1
185	свой жизненный путь	1	1
186	никакого отношения но	1	1
187	что далеко не	1	1
188	в самых общих	1	1
189	в чем не	1	1
190	в результате этого	1	1
191	героя в частности	1	1
192	во всем что	1	1
193	далеко не ограничивается	2	1
194	она могла бы	1	1
195	в которых она	1	1
196	это приводит к	1	1
197	как в басне	1	1
198	взаимодействия а не	1	1
199	но в таком	1	1
200	в городе а	1	1
201	иначе говоря мы	1	1
202	как отмечал еще	1	1
203	свидетельствует о том	1	1
204	то есть оно	1	1
205	последовательности в какой	1	1
206	о чем не	2	1
207	в частности в	2	1
208	быть определена как	3	1
209	если бы я	1	1
210	от одного сознания	1	1
211	то что может	1	1
212	показать на примере	1	1
213	чувства как бы	1	1
214	за тридевять земель	1	1
215	для правильного понимания	1	1
216	том числе и	3	1
217	а потому и	1	1
218	даже в пределах	1	1
219	когда она еще	1	1
220	пока еще в	1	1
221	и т.п и	1	1
222	и каждый из	1	1
223	басни что он	1	1
224	но все же	1	1
225	что с помощью	1	1
226	одновременно с этим	1	1
227	между тем столь	1	1
228	отличается от басни	1	1
229	одного сознания к	1	1
230	на этом основании	1	1
231	при таком взгляде	1	1
232	уже одно это	1	1
233	принципиальное различие между	1	1
234	а также и	1	1
235	она еще не	1	1
236	между романом и	1	1
237	и не быть	1	1
238	с теми же	1	1
239	не имеют никакого	1	1
240	и том же	1	1
241	этом отношении на	1	1
242	перед своими глазами	1	1
243	что не имея	2	1
244	потому что каждый	1	1
245	в этом заключается	1	1
246	дело не с	2	1
247	аналогично тому как	1	1
248	и тому же	1	1
249	образом свидетельствует о	1	1
250	в эстетический объект	1	1
251	как уже было	2	1
252	на том что	1	1
253	и в наше	1	1
254	в котором они	1	1
255	еще не было	1	1
256	и тем более	1	1
257	уже в конце	1	1
258	другой стороны в	1	1
259	случае если оно	1	1
260	уверенность в том	1	1
261	в такого рода	2	1
262	но в такой	1	1
263	в одной из	2	1
264	включает в себя	1	1
265	том что и	1	1
266	к которому мы	1	1
267	в первую очередь	3	1
268	мы ничего не	1	1
269	та или иная	1	1
270	при переходе от	1	1
271	сознания к другому	1	1
272	также и в	1	1
273	ни в чем	1	1
274	в другом случае	1	1
275	из виду что	2	1
276	время от времени	1	1
277	художественного произведения как	1	1
278	которая состоит в	1	1
279	которая и была	1	1
280	и даже не	1	1
281	заключать в себе	1	1
282	могут быть обнаружены	1	1
283	так сказать от	1	1
284	как и вообще	1	1
285	по этой причине	2	1
286	в частности на	1	1
287	то есть по	1	1
288	до наших дней	1	1
289	быть отнесены к	1	1
290	но далеко не	1	1
291	в том числе	3	1
292	как и всякое	2	1
293	сказать и о	2	1
294	литературной традиции но	1	1
295	и вследствие этого	2	1
296	к лицу с	2	1
297	в различные эпохи	1	1
298	говорить не только	1	1
299	с ней и	1	1
300	при всем желании	1	1
301	здесь имеет место	1	1
302	ни о чем	2	1
303	и прежде всего	2	1
304	и в то	2	1
305	состоит именно в	1	1
306	по природе своей	6	1
307	же самое можно	1	1
308	не могло быть	1	1
309	как нечто вторичное	1	1
310	они принадлежат к	1	1
311	что они хотят	1	1
312	далеко еще не	3	1
313	литературной традиции в	1	1
314	которая может быть	1	1
315	а не в	2	1
316	перед нами было	1	1
317	лицом к лицу	2	1
318	в другом месте	1	1
319	преимущественно на одном	1	1
320	со всей серьезностью	1	1
321	к чему не	1	1
322	точки зрения на	1	1
323	одном и том	1	1
324	читатель получает возможность	1	1
325	не более чем	3	1
326	с миром в	1	1
327	и должны быть	1	1
328	что на деле	1	1
329	говорит об этом	1	1
330	тем что он	2	1
331	мысли о том	1	1
332	в виду тот	1	1
333	роль в этой	1	1
334	не могу не	1	1
335	до известной степени	2	1
336	хх столетия и	1	1
337	отношение к своему	1	1
338	в каких же	1	1
339	но прежде всего	1	1
340	к тому или	1	1
341	мы можем обозначить	1	1
342	своей собственной природе	1	1
343	мире в то	1	1
344	обратим внимание на	1	1
345	в русской литературе	2	1
346	бы это явление	1	1
347	ни к чему	1	1
348	и в басне	1	1
349	не заметить что	1	1
350	и даже к	1	1
351	можно определить как	2	1
352	в которой он	1	1
353	в свое время	3	1
354	ту или иную	1	1
355	что же касается	4	1
356	в искусстве не	1	1
357	и героиня и	1	1
358	не принадлежит к	1	1
359	в каждом литературном	1	1
360	к самому герою	1	1
361	может быть сведено	1	1
362	исчерпывающей полнотой и	1	1
363	в противном случае	1	1
364	имеют никакого отношения	1	1
365	не совпадают с	1	1
366	в известном смысле	1	1
367	далеко не все	1	1
368	этого как и	1	1
369	будто бы противоречит	1	1
370	одному и тому	1	1
371	во внешнем мире	1	1
372	что на этом	1	1
373	существенную роль в	4	1
374	не сводится к	4	1
375	к той же	1	1
