N	2gram	Bakhtin_Pr	slovoVRo
1	и в	38	92
2	в романе	4	89
3	и т	14	82
4	т п	13	72
5	то есть	46	64
6	может быть	26	59
7	и его	16	59
8	в нем	15	59
9	и не	42	51
10	не только	9	44
11	не может	27	41
12	но и	9	39
13	до конца	1	37
14	в этом	15	36
15	а не	5	34
16	во всех	11	32
17	точки зрения	8	30
18	так и	5	30
19	языка и	1	29
20	могут быть	5	29
21	и др	8	29
22	в пределах	6	29
23	в его	43	27
24	слова в	7	26
25	языка в	3	25
26	все это	3	25
27	как бы	22	24
28	слова и	3	24
29	слово в	2	24
30	то же	5	23
31	и на	3	22
32	как в	4	21
33	не в	7	21
34	говорящий человек	2	21
35	вовсе не	2	21
36	в процессе	1	20
37	в то	4	20
38	прежде всего	13	19
39	как мы	7	19
40	с ним	5	18
41	как и	7	18
42	же время	3	18
43	себя в	2	18
44	или иной	2	18
45	таким образом	10	17
46	оно не	3	17
47	и даже	3	17
48	все же	6	17
49	в основе	5	17
50	в истории	2	17
51	все эти	5	17
52	в большинстве	5	17
53	при этом	5	16
54	в них	5	16
55	к своему	2	16
56	отличие от	5	16
57	но в	4	16
58	в той	1	15
59	и с	17	15
60	с точки	6	15
61	со своим	1	15
62	той или	2	15
63	там где	6	15
64	только в	13	14
65	в отличие	5	14
66	узком смысле	2	14
67	в узком	1	14
68	в особенности	2	13
69	отношении к	1	13
70	в слове	3	13
71	на фоне	3	13
72	это не	5	13
73	с другой	7	13
74	с его	2	13
75	точка зрения	3	13
76	рядом с	5	13
77	и следовательно	1	13
78	и для	11	13
79	и к	3	12
80	еще не	7	12
81	никогда не	5	12
82	и потому	4	12
83	или в	2	12
84	точек зрения	1	12
85	а в	6	12
86	отношение к	10	12
87	и наконец	6	12
88	роман и	1	11
89	в этих	2	11
90	большинстве случаев	5	11
91	с ними	4	11
92	для него	1	11
93	с одной	3	11
94	языка как	2	11
95	всех его	4	11
96	язык в	2	11
97	в плане	7	11
98	одной стороны	3	11
99	слова как	1	11
100	зрения на	1	10
101	и все	3	10
102	уже не	1	10
103	все они	5	10
104	лишь в	2	10
105	т д	1	10
106	в своем	5	10
107	в том	8	10
108	с другими	3	10
109	она не	2	10
110	в себе	4	10
111	далеко не	5	10
112	в него	2	10
113	всех этих	1	10
114	в своей	7	9
115	конечно не	5	9
