N	3gram	Ircho_Kome	UchenyiS
1	в конечном счете	2	4
2	не может быть	1	4
3	то ни было	3	3
4	с другой стороны	2	3
5	в этой области	1	3
6	бы то ни	3	3
7	в то же	11	3
8	то же время	11	3
9	на каждом шагу	1	2
10	в том что	15	2
11	в противном случае	1	2
12	в самом деле	13	2
13	до сих пор	12	2
14	и в частности	1	2
15	в конце концов	3	2
16	то же самое	3	2
17	в этом отношении	2	2
18	по крайней мере	1	2
19	иначе связанные с	1	1
20	когда бы то	1	1
21	не делает этого	1	1
22	в первую очередь	2	1
23	или иначе связанные	1	1
24	в которой все	1	1
25	имеем в виду	2	1
26	друг с другом	3	1
27	из которых она	1	1
28	но он уже	1	1
29	так или иначе	3	1
30	как такового он	1	1
31	же самое что	1	1
32	по меньшей мере	1	1
33	тем что он	1	1
34	таким образом на	1	1
35	с одной стороны	4	1
36	можно сказать что	1	1
37	равно как и	3	1
38	не было бы	1	1
39	они относятся к	1	1
40	на первый план	1	1
41	приходится признать что	1	1
42	в той же	1	1
43	все что угодно	1	1
44	на то что	1	1
45	не только в	1	1
46	рассматривать не как	1	1
47	более или менее	2	1
48	и в то	2	1
49	мы имеем в	2	1
50	не о чем	1	1
51	на предыдущих страницах	1	1
52	в этом случае	2	1
53	том что она	2	1
54	в частности с	1	1
55	конечно не приходится	1	1
