N	3gram	Trubetskoy	PoTuStor
1	с точки зрения	9	6
2	на самом деле	6	4
3	с самого начала	1	4
4	до сих пор	5	3
5	не может быть	4	3
6	в большинстве случаев	2	3
7	по крайней мере	1	3
8	во всяком случае	6	3
9	нечего и говорить	1	2
10	так же как	1	2
11	о том что	2	2
12	в самом деле	1	2
13	в его целом	1	2
14	и в этом	1	2
15	быть не может	1	1
16	в том что	7	1
17	друг с другом	14	1
18	даже тогда когда	1	1
19	для достижения этой	1	1
20	в этом и	1	1
21	дело в том	1	1
22	той или иной	3	1
23	вместе с тем	3	1
24	мы уже знаем	1	1
25	во многих случаях	1	1
26	в применении к	1	1
27	можно было бы	3	1
28	прежде всего на	1	1
29	с нею и	1	1
30	и таким образом	1	1
31	но мы знаем	1	1
32	и прежде всего	1	1
33	никакому сомнению что	1	1
34	только для того	1	1
35	в данном случае	3	1
36	конечно не может	1	1
37	и ту же	1	1
38	не будет как	1	1
39	в одно прекрасное	1	1
40	не может иметь	1	1
41	уже знаем что	1	1
42	всяком случае не	1	1
43	то ни было	1	1
44	и того же	1	1
45	но мы уже	1	1
46	это именно так	1	1
47	одну и ту	1	1
48	в любви к	1	1
49	на первый взгляд	1	1
50	то же самое	1	1
51	достижения этой цели	1	1
52	во всем мире	1	1
53	для того чтобы	6	1
54	одно прекрасное утро	1	1
55	жизни и деятельности	2	1
56	говорить о том	1	1
57	хотя бы ценою	1	1
58	в этом отношении	1	1
59	того же положения	1	1
60	альфой и омегой	1	1
61	это и есть	1	1
62	во всех областях	1	1
63	бы то ни	4	1
64	но даже и	1	1
65	зависит от того	1	1
66	одного и того	1	1
67	к себе но	1	1
68	в связи с	1	1
69	знаем что и	1	1
