N	2gram	Kanaev_Sov	Mirosoze
1	и в	7	97
2	может быть	12	64
3	не только	4	63
4	в этом	7	55
5	он не	1	53
6	а не	3	53
7	в нем	3	49
8	не может	17	49
9	у него	2	47
10	и не	6	39
11	никогда не	1	38
12	в ней	1	37
13	не было	1	36
14	не в	3	34
15	и есть	2	33
16	человека в	1	30
17	как и	6	29
18	прежде всего	5	29
19	в мире	1	27
20	но в	3	27
21	человека и	1	26
22	и это	1	25
23	свободы и	1	24
24	и все	3	24
25	у нас	3	24
26	в своем	1	23
27	что в	2	23
28	в самом	2	21
29	в себе	3	20
30	как бы	4	19
31	в его	2	18
32	и потому	3	17
33	том что	1	16
34	если нет	1	16
35	в том	4	16
36	было бы	3	16
37	и его	1	16
38	не знает	1	15
39	в этой	3	15
40	в конце	3	14
41	она не	1	14
42	так как	4	14
43	на поверхности	1	13
44	та же	1	13
45	он сам	1	12
46	к нему	1	12
47	и у	1	12
48	но не	1	12
49	это не	4	12
50	все это	3	12
51	и к	3	11
52	уже не	2	11
53	в которой	2	11
54	только в	1	11
55	но это	1	11
56	и для	1	11
57	жизни и	4	11
58	то же	3	10
59	так же	1	10
60	один из	1	10
61	не могут	2	10
62	не имеет	1	10
63	это и	1	10
64	есть не	1	10
65	все что	1	9
66	должно быть	1	9
67	xix века	1	9
68	человек и	1	9
69	не будет	1	9
70	он уже	1	9
71	с ним	1	9
72	вместе с	4	9
73	в свою	2	9
74	и во	2	9
75	а в	4	9
76	о том	1	8
77	вопрос о	4	8
78	еще в	1	8
79	нет в	1	8
80	нет и	4	8
81	с его	1	8
82	ничего не	6	8
83	они не	1	8
84	уже в	3	8
85	только и	1	8
86	в духе	1	7
87	в нашем	2	7
88	что все	2	7
89	точки зрения	12	7
90	те же	1	7
91	чем в	1	7
92	что она	3	7
93	на этом	2	7
94	жизни в	1	7
95	он в	3	7
96	но если	1	7
97	должен быть	1	7
98	как он	3	7
99	к концу	1	6
100	и нет	1	6
101	увидим что	1	6
102	и те	1	6
103	его в	1	6
104	к чему	2	6
105	совсем не	1	6
106	можно было	1	6
107	и от	1	6
108	что это	2	6
109	если бы	1	6
110	должен был	1	6
111	и более	1	6
112	быть и	2	6
113	еще не	3	5
114	отличается от	3	5
115	с этим	2	5
116	во всяком	2	5
117	сказать что	1	5
118	к которому	1	5
119	все время	1	5
120	по преимуществу	1	5
121	сих пор	1	5
122	в то	1	5
123	для чего	1	5
124	до сих	1	5
125	и мы	3	5
126	его и	1	5
127	то он	1	5
128	и если	1	5
129	той же	2	5
130	тот же	2	5
131	этот процесс	1	5
132	которых он	1	5
133	как у	1	5
134	то нет	1	5
135	еще более	2	4
136	в своих	1	4
137	и даже	2	4
138	в такой	1	4
139	по отношению	1	4
140	не что	1	4
141	себе в	1	4
142	мы видим	2	4
143	что иное	1	4
144	в каждом	8	4
145	человека как	1	4
146	и что	2	4
147	и по	2	4
148	не случайно	1	4
149	его с	1	4
150	для них	1	4
151	ни в	1	4
152	и тот	1	4
153	в начале	1	4
154	от его	1	4
155	к другому	1	4
156	и тогда	1	4
157	и до	1	4
158	может ли	1	4
159	он должен	2	4
160	могут быть	2	4
161	может не	3	4
162	мы не	9	4
163	одна и	1	4
164	все равно	1	4
165	у всех	3	4
166	все эти	5	4
167	значит что	1	4
168	и их	1	4
169	заключает в	1	4
170	отношению к	1	4
171	и только	1	4
172	иное как	1	4
173	против него	1	3
174	это значит	1	3
175	все же	3	3
176	в этот	1	3
177	одной и	1	3
178	в одном	3	3
179	конечно не	1	3
180	и ответственности	1	3
181	к этому	1	3
182	нет свободы	1	3
183	и еще	1	3
184	хотя и	1	3
185	но ведь	1	3
186	же как	1	3
187	во всех	1	3
188	и та	1	3
189	был прежде	1	3
190	и должно	1	3
191	это уже	1	3
192	со всеми	2	3
193	все его	1	3
194	их и	1	3
195	и будет	2	3
196	приводит к	2	3
197	ли он	1	3
198	только одно	1	3
199	все три	1	3
200	роль в	2	3
201	не быть	1	3
202	когда в	1	3
203	только один	2	3
204	существо и	1	3
205	и той	1	3
206	что же	5	3
207	она может	2	3
208	на этот	2	3
209	он может	3	3
210	всяком случае	2	3
211	жизни не	1	3
212	для нас	3	3
213	в ином	1	3
214	ведь это	3	3
215	и эта	1	3
216	на его	2	3
217	мы должны	4	3
218	и всегда	1	3
219	природой и	1	3
220	и ничего	1	3
221	но для	1	3
222	она всегда	1	2
223	из всех	1	2
224	вражда к	1	2
225	в первых	1	2
226	этом направлении	1	2
227	что наш	1	2
228	по себе	1	2
229	уже на	1	2
230	более и	1	2
231	не менее	2	2
232	через все	1	2
233	есть то	1	2
234	жизни к	1	2
235	если в	1	2
236	в действительности	1	2
237	которой он	2	2
238	все свои	1	2
239	между двумя	1	2
240	но они	1	2
241	за собой	1	2
242	с другой	1	2
243	ни одного	1	2
244	нас на	1	2
245	жизни как	1	2
246	быть в	1	2
247	во всей	1	2
248	нет никаких	1	2
249	вопрос и	1	2
250	того же	1	2
251	такого рода	2	2
252	она в	1	2
253	что такое	2	2
254	связи с	1	2
255	необходимости и	1	2
256	между ними	1	2
257	и именно	2	2
258	западной европе	1	2
259	весь мир	1	2
260	уже к	1	2
261	что эта	1	2
262	когда мы	3	2
263	всего только	2	2
264	и им	1	2
265	и гармонии	1	2
266	а потому	1	2
267	во втором	1	2
268	имеет с	1	2
269	и они	2	2
270	самом деле	2	2
271	так называемый	1	2
272	их в	4	2
273	и действительно	1	2
274	но никогда	1	2
275	себе даже	1	2
276	которая не	1	2
277	не имеют	1	2
278	на какой	1	2
279	в новых	2	2
280	в социальном	1	2
281	же этот	1	2
282	на самом	1	2
283	не принимает	1	2
284	но эта	1	2
285	о жизни	2	2
286	совсем иное	1	2
287	с человеком	1	2
288	в какой	1	2
289	для нашей	1	2
290	к одному	1	2
291	это совершенно	1	2
292	одни и	1	2
293	этого не	1	2
294	чего же	1	2
295	которые в	1	2
296	или иной	2	2
297	все более	1	2
298	все-таки в	1	1
299	почва под	1	1
300	заключают в	1	1
301	она уже	1	1
302	или нет	1	1
303	в органической	3	1
304	часто бывают	1	1
305	в нормальных	1	1
306	но что	1	1
307	конца к	1	1
308	которые ограничивают	1	1
309	но все	2	1
310	на такой	1	1
311	бы все	1	1
312	всеми его	1	1
313	на эту	1	1
314	дома и	1	1
315	в природе	1	1
316	по своим	1	1
317	для их	1	1
318	жизни которое	1	1
319	осуществляется в	1	1
320	раз и	1	1
321	вот где	1	1
322	одной стороны	1	1
323	ничто не	1	1
324	должно произойти	2	1
325	в другом	1	1
326	природы нет	1	1
327	говорить о	2	1
328	правда и	1	1
329	и при	1	1
330	которых она	1	1
331	одна возможность	2	1
332	природы но	1	1
333	всегда и	1	1
334	на ней	1	1
335	друг на	1	1
336	вообще и	1	1
337	организма но	1	1
338	остаток и	1	1
339	в зависимости	4	1
340	природы не	1	1
341	это что	1	1
342	бы так	1	1
343	и становится	1	1
344	как угодно	2	1
345	она и	1	1
346	указать на	1	1
347	с одной	2	1
348	образуются два	1	1
349	не стремится	1	1
350	с точки	5	1
351	кто этот	1	1
352	как нет	1	1
353	связей и	1	1
354	не соответствует	1	1
355	для своего	1	1
356	в будущем	1	1
357	наконец не	2	1
358	и чисто	1	1
359	быть только	1	1
360	как его	1	1
361	органической жизни	9	1
362	он ставит	1	1
363	мы это	1	1
364	в таком	2	1
365	отличие от	2	1
366	рядом с	1	1
367	зрения и	1	1
368	из одного	2	1
369	той или	1	1
370	а потом	1	1
371	друг с	2	1
372	ли это	1	1
373	мы уже	1	1
374	не дает	2	1
375	и речи	1	1
376	мы опять	1	1
377	общего не	1	1
378	в развитии	4	1
379	в системе	3	1
380	если же	2	1
381	все те	2	1
382	точка зрения	1	1
383	этот вопрос	1	1
384	в новое	1	1
385	ведь в	1	1
386	природы и	1	1
387	оно имеет	1	1
388	та самая	1	1
389	это делает	1	1
390	роль играет	1	1
391	же мы	2	1
392	процесса и	1	1
393	пусть это	1	1
394	независимо от	1	1
395	с ее	1	1
396	он начал	1	1
397	в окончательном	1	1
398	и навсегда	1	1
399	и свою	1	1
400	красоты в	1	1
401	сложное и	1	1
402	человек с	1	1
403	и из	1	1
404	нужно сказать	1	1
405	поэтому в	1	1
406	и все-таки	1	1
407	переходит из	1	1
