N	3gram	Tiupa_Narr	Russkaja
1	друг с другом	1	14
2	то же время	7	10
3	в то же	7	10
4	с точки зрения	2	9
5	в том что	11	7
6	на самом деле	1	6
7	во всяком случае	2	6
8	для того чтобы	4	6
9	в последние дни	1	5
10	до сих пор	3	5
11	в том случае	1	4
12	не может быть	6	4
13	на то что	2	4
14	более или менее	2	4
15	бы то ни	1	4
16	быть самим собой	1	4
17	той или иной	6	3
18	можно было бы	1	3
19	в данном случае	12	3
20	и то что	1	3
21	не может не	1	3
22	том случае если	1	3
23	и не может	3	3
24	лишь в том	1	2
25	самим собой это	1	2
26	ни одна из	1	2
27	того или иного	3	2
28	в этом направлении	1	2
29	точно так же	2	2
30	в большинстве случаев	1	2
31	и тем самым	6	2
32	в противоречие с	1	2
33	и в другом	1	2
34	которой он сам	1	2
35	о том что	3	2
36	не только к	1	2
37	к тому что	4	2
38	но и к	1	2
39	все что может	1	2
40	друг от друга	1	2
41	подлежит сомнению и	1	1
42	и оставаться самим	1	1
43	ни у кого	1	1
44	ему что он	1	1
45	в противном случае	1	1
46	но при этом	3	1
47	в самом деле	3	1
48	и в жизни	2	1
49	стороны и в	1	1
50	и как бы	1	1
51	этом и состоит	3	1
52	дело в том	2	1
53	а лишь к	1	1
54	является не только	1	1
55	речь идет о	3	1
56	самим собой в	1	1
57	но и от	2	1
58	мы уже знаем	1	1
59	мы не знаем	1	1
60	том числе и	1	1
61	не подлежит сомнению	1	1
62	до известной степени	1	1
63	так же как	1	1
64	его жизни и	1	1
65	по отношению к	5	1
66	одной из этих	1	1
67	не только от	2	1
68	ничего подобного не	1	1
69	по крайней мере	1	1
70	в том виде	1	1
71	точки зрения в	1	1
72	что вся эта	1	1
73	а в том	2	1
74	и в других	1	1
75	так как это	1	1
76	в его жизни	1	1
77	оставаться самим собой	1	1
78	не может иметь	1	1
79	и что в	1	1
80	то хотя бы	1	1
81	то ни было	1	1
82	и того же	2	1
83	заключает в себе	2	1
84	на первый взгляд	1	1
85	что не только	1	1
86	он не может	1	1
87	в связи с	3	1
88	то же самое	3	1
89	и все же	4	1
90	что с точки	1	1
91	к одному из	1	1
92	в том числе	1	1
93	тем не менее	6	1
94	но все же	1	1
95	того и другого	1	1
96	только то что	1	1
97	жизни но и	1	1
98	ее в качестве	1	1
99	к той или	1	1
100	в этом отношении	5	1
101	перед нами не	2	1
102	в свою очередь	2	1
103	и не только	1	1
104	в этом и	3	1
105	никогда не было	1	1
106	об этом и	2	1
107	в значительной степени	1	1
108	к себе и	2	1
109	на этот вопрос	1	1
110	или хотя бы	1	1
111	состоит в том	5	1
112	к тому же	8	1
113	одного и того	2	1
114	в полной мере	1	1
