N	4gram	Bakhtin_Pr	PoTuStor
1	ни в чем не	2	3
2	нет и быть не	1	1
3	во всех его моментах	1	1
4	в полном согласии с	1	1
5	не что иное как	1	1
6	ни в коем случае	2	1
7	не подлежит конечно никакому	1	1
8	не чем иным как	1	1
9	подлежит конечно никакому сомнению	1	1
10	дальше чем на один	1	1
11	не могут быть поняты	1	1
12	не имеют дела с	1	1
13	вообще не может иметь	1	1
14	плотно со всех сторон	1	1
15	дело в том что	1	1
16	и быть не может	1	1
17	бы то ни было	2	1
18	и не нуждается в	1	1
19	чем на один шаг	1	1
20	чтобы войти в историю	1	1
21	и с его помощью	1	1
22	мы можем сказать что	1	1
23	конечно не следует что	1	1
24	конечно никакому сомнению что	1	1
25	мы останавливаться не будем	1	1
26	все снова и снова	1	1
