N	4gram	Vinokur_Vv	Dialekti
1	не что иное как	5	18
2	в то же время	6	14
3	и т д и	1	14
4	одно и то же	2	12
5	есть не что иное	3	11
6	не говоря уже о	1	7
7	сама по себе не	1	6
8	одной и той же	2	5
9	и тем не менее	3	5
10	с этой точки зрения	2	4
11	в связи с этим	1	4
12	и т д все	2	4
13	в том смысле что	1	4
14	с одной стороны и	3	4
15	и в этом смысле	1	4
16	и т д но	5	4
17	вовсе не в том	1	3
18	т д все это	1	3
19	и т д в	2	3
20	но в то же	3	3
21	заключается вовсе не в	1	2
22	по себе не есть	1	2
23	что в нем есть	1	2
24	так как она есть	1	2
25	говоря уже о том	1	2
26	дело в том что	3	2
27	уже о том что	1	2
28	но все же это	1	2
29	если принять во внимание	1	2
30	и за ее пределами	1	1
31	и т д однако	3	1
32	в том что такое	1	1
33	т е по существу	1	1
34	что иное как именно	1	1
35	т д таким образом	1	1
36	до тех пор пока	1	1
37	и сам по себе	1	1
38	в самом же начале	1	1
39	но уже и сейчас	1	1
40	сомневаться в том что	1	1
41	и т д мы	1	1
42	в том что в	1	1
43	в том отношении что	3	1
44	можно сказать что в	1	1
45	во всяком случае гораздо	1	1
46	по самой своей природе	2	1
47	нечего и говорить о	1	1
48	теснейшим образом связана с	1	1
49	заключается в том что	2	1
50	бы то ни было	1	1
51	мы имеем в виду	1	1
52	вопрос о том что	3	1
53	по крайней мере не	1	1
54	то же самое и	1	1
55	в каждом из них	1	1
56	как бы ее ни	1	1
57	каждой из них и	1	1
58	об отношении его к	1	1
59	точно так же как	1	1
60	можно представить себе что	1	1
61	не может быть в	1	1
62	возможно только потому что	1	1
63	все т е все	1	1
64	и именно в этом	1	1
65	и от того что	1	1
66	том что в одном	1	1
67	уже само по себе	1	1
68	в том что обе	1	1
69	только в том чтобы	1	1
70	понимать в том смысле	1	1
71	т д словом все	1	1
72	и т д таким	1	1
73	все же это не	1	1
74	но дело не в	1	1
75	существует само по себе	1	1
76	она есть не что	1	1
77	отчет в том что	1	1
78	в том что он	1	1
79	и т д словом	1	1
80	и говорить о том	1	1
81	мы уже знаем это	1	1
82	и т д при	1	1
83	так а не иначе	1	1
84	в таком случае все	1	1
85	как на нечто целое	1	1
86	говорить о том что	1	1
87	в зависимости от характера	1	1
88	и об отношении его	1	1
89	и в этом отношении	1	1
90	на тему о том	1	1
