N	3gram	Propp_Isto	NovoeSre
1	не может быть	6	4
2	подобно тому как	2	3
3	вопрос о том	1	2
4	вместе с тем	7	2
5	так же как	10	2
6	большую роль в	1	2
7	что в нем	1	2
8	он не может	2	2
9	с одной стороны	7	2
10	с другой стороны	10	2
11	все эти формы	1	2
12	но для чего	1	1
13	в том что	4	1
14	не в том	2	1
15	было то что	1	1
16	до сих пор	7	1
17	в истории не	1	1
18	есть и другая	1	1
19	как будто бы	1	1
20	и потому что	1	1
21	в зависимости от	1	1
22	том числе и	2	1
23	и вместе с	3	1
24	то что он	2	1
25	том смысле в	1	1
26	в свою противоположность	2	1
27	только потому что	1	1
28	не только в	2	1
29	но и в	2	1
30	в том чтобы	2	1
31	между небом и	1	1
32	в том смысле	2	1
33	в отличие от	1	1
34	должен быть признан	1	1
35	для борьбы со	1	1
36	в этом он	1	1
37	в социальной жизни	1	1
38	это тем что	1	1
39	о том что	5	1
40	же как и	4	1
41	что в этом	1	1
42	но это уже	1	1
43	не могут быть	1	1
44	и к образованию	1	1
45	наряду с этим	3	1
46	быть отнесены к	1	1
47	а не в	1	1
48	как и в	4	1
49	не имеют никакого	1	1
50	во всяком случае	1	1
51	в том числе	3	1
52	совершенно так же	3	1
53	это значит что	2	1
54	играют большую роль	1	1
55	в то время	3	1
56	это и есть	1	1
57	но наряду с	2	1
58	то время как	3	1
59	о том чтобы	1	1
60	смысле в каком	1	1
61	я думаю что	1	1
62	может быть только	1	1
