N	2gram	Tiupa_Anal	Otkroven
1	у него	2	22
2	и в	36	19
3	и не	14	13
4	но и	26	13
5	в этом	19	12
6	человека в	3	11
7	а не	16	11
8	не только	40	11
9	не в	9	11
10	может быть	19	11
11	вопрос о	1	10
12	человека и	2	10
13	и все	3	10
14	в нем	3	10
15	потому что	1	9
16	прежде всего	7	9
17	не было	3	9
18	в самой	1	9
19	никогда не	7	9
20	и он	4	8
21	он был	3	8
22	от него	1	7
23	в его	12	7
24	ивана карамазова	1	7
25	он не	9	7
26	но он	1	7
27	лишь в	9	7
28	в глубине	3	7
29	человеческой личности	1	6
30	все это	5	6
31	как и	27	6
32	в самом	7	5
33	в том	16	5
34	для него	8	5
35	в этой	10	5
36	а в	17	5
37	отношение к	2	5
38	о его	3	5
39	то что	5	5
40	что в	15	4
41	того чтобы	1	4
42	т е	2	4
43	есть лишь	1	4
44	не может	3	4
45	человеческих отношений	1	4
46	что не	3	4
47	в самую	1	4
48	все эти	2	4
49	на земле	1	4
50	и его	18	4
51	русский человек	1	4
52	он сам	2	4
53	его мысли	1	4
54	с его	15	4
55	только одно	1	3
56	в русской	9	3
57	и от	3	3
58	все что	2	3
59	и вот	2	3
60	хотя бы	1	3
61	это не	4	3
62	для того	1	3
63	с ним	2	3
64	мысли и	1	3
65	когда он	2	3
66	он лишь	1	3
67	быть может	1	3
68	в этих	2	3
69	не могут	2	3
70	в своих	3	3
71	в записках	1	3
72	как бы	14	3
73	было бы	6	3
74	могут быть	4	3
75	в себе	7	3
76	и есть	1	3
77	что он	5	3
78	это было	2	3
79	в свободе	1	3
80	и ее	3	3
81	о том	9	3
82	того что	4	3
83	еще не	7	3
84	свобода и	1	2
85	человека к	1	2
86	и к	7	2
87	как к	2	2
88	и потому	3	2
89	так и	19	2
90	что они	3	2
91	и то	2	2
92	и все-таки	1	2
93	и против	1	2
94	все же	6	2
95	что у	3	2
96	был еще	1	2
97	не могли	1	2
98	должно быть	1	2
99	к этой	2	2
100	к ней	1	2
101	его не	3	2
102	уже в	5	2
103	ничто не	1	2
104	в другом	3	2
105	совсем не	1	2
106	этом мире	1	2
107	личности и	4	2
108	так что	2	2
109	в своем	7	2
110	на периферии	1	2
111	в этот	1	2
112	с тем	2	2
113	и из	1	2
114	этом он	2	2
115	в которой	1	2
116	ее в	2	2
117	о которой	2	2
118	не все	1	2
119	одно из	3	2
120	что и	10	2
121	у кого	1	2
122	в уста	1	2
123	в истории	1	2
124	его в	4	2
125	свободы и	1	2
126	должен был	2	2
127	ведь это	1	2
128	мысль о	3	2
129	и с	1	2
130	что же	1	2
131	и о	1	2
132	сказать что	2	2
133	тем что	3	2
134	человеческом сердце	1	2
135	и на	5	2
136	учение о	1	2
137	что все	1	2
138	ничего не	3	2
139	хотя и	4	2
140	не есть	6	2
141	в своей	12	2
142	все еще	2	2
143	жизни в	4	2
144	по себе	6	2
145	не имеет	1	2
146	к этому	3	2
147	ни у	1	2
148	и никогда	1	2
149	том что	19	2
150	и для	4	2
151	в ее	5	2
152	своей жизни	2	2
153	но в	8	2
154	открытие и	1	1
155	мире это	1	1
156	что было	1	1
157	и мир	1	1
158	ближе к	2	1
159	во всем	5	1
160	к одному	2	1
161	в каждом	4	1
162	и весь	1	1
163	во всяком	6	1
164	не так	2	1
165	ко всему	2	1
166	ни к	3	1
167	его и	1	1
168	совершенно не	3	1
169	смерть и	1	1
170	попадает в	1	1
171	в новые	1	1
172	а потому	1	1
173	к счастью	2	1
174	ее и	1	1
175	лишь к	1	1
176	но оно	1	1
177	а с	2	1
178	все его	2	1
179	и других	1	1
180	и всякий	1	1
181	один из	6	1
182	и здесь	4	1
183	та же	1	1
184	по природе	3	1
185	и состоит	1	1
186	я верю	1	1
187	они и	1	1
188	вот о	1	1
189	которых в	1	1
190	после того	1	1
191	карамазова в	1	1
192	не имеют	1	1
193	красота это	1	1
194	каждом из	2	1
195	одним человеком	1	1
196	человека не	1	1
197	границы и	1	1
198	он выступает	1	1
199	в пределе	1	1
200	но о	1	1
201	того как	1	1
202	жизнь их	1	1
203	жизни а	1	1
204	так для	1	1
205	который всегда	1	1
206	и личной	1	1
207	и заключается	1	1
208	выводит за	1	1
209	в том-то	1	1
210	она не	3	1
211	мы не	4	1
212	но еще	1	1
213	личность и	1	1
214	связана с	1	1
215	что сама	1	1
216	еще больше	1	1
217	еще более	1	1
218	достигает в	1	1
219	но не	13	1
220	это все	1	1
221	природе своей	4	1
222	из жизни	1	1
223	сердце его	1	1
224	силе и	1	1
225	для многих	1	1
226	не по	1	1
227	представляет собой	7	1
228	но всегда	2	1
