N	2gram	Voloshinov	BTomashe
1	все это	4	2
2	в ней	2	2
3	можно было	1	2
4	стр и	1	2
5	и не	8	2
6	для которой	1	1
7	вопрос о	1	1
8	говорить о	3	1
9	и о	1	1
10	выпадают из	1	1
11	литературы как	1	1
12	не только	6	1
13	остановиться на	1	1
14	всего в	1	1
15	таким образом	6	1
16	не было	1	1
17	в эпоху	1	1
18	прежде всего	9	1
19	и в	13	1
20	на самом	1	1
21	так и	3	1
22	стр не	1	1
23	в своей	4	1
24	за пределы	3	1
25	говорить об	2	1
26	же не	1	1
27	с другой	2	1
28	об этом	1	1
29	художественного произведения	5	1
30	другой стороны	2	1
31	формалистической поэтики	1	1
32	было бы	4	1
33	точно и	1	1
34	и ее	2	1
35	одной из	1	1
36	в значительной	1	1
37	свести к	1	1
38	в пределах	3	1
39	в данном	2	1
40	теоретической и	1	1
41	теории литературы	1	1
42	в области	2	1
43	далеко не	1	1
44	тем более	1	1
45	говорить не	1	1
46	не вполне	1	1
47	и более	1	1
48	поэтики и	2	1
49	в книге	2	1
50	а не	2	1
51	о художественном	1	1
52	отнюдь не	1	1
53	до конца	1	1
54	методологической позиции	2	1
55	выходит за	1	1
56	и цельная	1	1
57	еще не	1	1
58	все же	5	1
59	что в	3	1
