N	4gram	Propp_Isto	EvropaiE
1	с одной стороны и	1	6
2	с этой точки зрения	3	5
3	бы то ни было	1	4
4	так же как и	1	3
5	как бы то ни	1	1
6	и то и другое	2	1
7	не только в том	1	1
8	не имеет никаких аналогий	1	1
9	одна и та же	1	1
10	что в тех случаях	2	1
11	от того в какой	1	1
12	в тех случаях когда	6	1
13	во всех этих случаях	6	1
14	в то время как	4	1
15	независимо от того в	1	1
16	кроме того что в	1	1
17	а через некоторое время	1	1
18	один и тот же	1	1
19	не исключено что это	1	1
20	в северной америке есть	1	1
