N	2gram	Savitsky_P	Psycholo
1	то что	4	193
2	и в	14	190
3	в том	9	163
4	что в	4	123
5	потому что	3	114
6	том что	4	113
7	и что	1	108
8	может быть	5	107
9	в этом	10	100
10	в самом	1	82
11	как бы	4	80
12	для того	3	78
13	того чтобы	1	78
14	не только	17	75
15	на то	1	73
16	и не	12	73
17	точки зрения	3	69
18	и т	3	69
19	не может	4	68
20	если мы	1	66
21	так же	1	63
22	было бы	6	56
23	если бы	4	55
24	то же	9	54
25	и мы	2	54
26	совершенно ясно	1	54
27	как и	1	51
28	что и	1	50
29	а не	2	50
30	что это	1	49
31	по себе	4	46
32	только в	7	46
33	заключается в	3	46
34	не в	5	45
35	ясно что	1	43
36	в этой	1	43
37	никогда не	1	42
38	вместе с	1	41
39	но и	6	40
40	с и	1	40
41	как раз	2	39
42	того что	2	39
43	и это	2	37
44	мы видим	1	37
45	и как	3	36
46	с тем	3	35
47	как на	2	34
48	и если	4	34
49	все же	1	33
50	что все	1	33
51	в себе	3	32
52	все это	2	32
53	мы не	3	31
54	в его	2	31
55	для нас	2	31
56	в ней	6	31
57	никак не	2	30
58	с одной	3	29
59	одной стороны	3	29
60	с точки	3	29
61	в нем	3	29
62	мы можем	1	28
63	и то	1	28
64	что мы	3	28
65	и на	1	27
66	а в	4	27
67	с другой	5	27
68	только что	1	25
69	и здесь	1	25
70	в своем	4	23
71	что если	1	23
72	что оно	1	23
73	для этого	1	23
74	могут быть	3	23
75	казалось бы	1	22
76	с этим	2	22
77	из них	2	22
78	между тем	3	22
79	т д	1	22
80	как она	1	22
81	в котором	4	21
82	в которых	5	21
83	что эта	1	21
84	и вот	2	21
85	и только	1	21
86	другой стороны	1	20
87	в то	7	20
88	тот же	3	20
89	она не	1	20
90	там где	1	20
91	это не	3	20
92	что при	1	19
93	в какой	1	19
94	мы должны	4	19
95	в ее	2	19
96	в которой	1	18
97	но в	9	18
98	в каком	1	18
99	вслед за	3	18
100	что с	1	18
101	но не	3	18
102	и есть	2	18
103	есть не	2	18
104	во всяком	1	17
105	мы все	1	17
106	из этих	1	17
107	одна из	2	17
108	и о	5	17
109	и к	4	16
110	в психологии	1	16
111	сводится к	3	16
112	обратиться к	1	16
113	же как	1	16
114	и тем	2	16
115	не имеет	1	16
116	в результате	1	15
117	в них	2	15
118	только на	1	15
119	что именно	1	15
120	во всех	2	15
121	мы знаем	1	15
122	могли бы	1	15
123	о котором	1	15
124	и потому	4	15
125	не просто	1	15
126	далеко не	1	15
127	еще не	1	15
128	в частности	2	15
129	хотя бы	8	14
