N	3gram	Tiupa_Lite	VeschiIm
1	не может быть	5	24
2	бы то ни	1	12
3	то ни было	1	12
4	тем не менее	4	11
5	по крайней мере	2	10
6	в том что	15	9
7	в самом деле	1	7
8	на то что	1	7
9	с точки зрения	4	6
10	и не только	1	6
11	так или иначе	8	6
12	в свою очередь	2	5
13	в то же	12	5
14	и то же	1	5
15	и то что	2	5
16	одно и то	1	5
17	подобно тому как	4	5
18	не только в	4	5
19	что в ней	1	4
20	этой точки зрения	3	4
21	с этой точки	3	4
22	дело в том	2	4
23	о том что	3	4
24	то же время	12	4
25	ту или иную	2	3
26	если бы я	1	3
27	из того что	2	3
28	может быть ни	1	3
29	мы не можем	1	3
30	можно было бы	2	3
31	и в то	1	3
32	только то что	2	3
33	с одной стороны	8	3
34	с другой стороны	5	3
35	не есть ли	1	3
36	потому что я	1	2
37	все то что	1	2
38	а так как	1	2
39	в данном случае	6	2
40	в том чтобы	1	2
41	внутреннего и внешнего	1	2
42	не может и	1	2
43	в свое время	1	2
44	для того чтобы	1	2
45	как раз с	1	2
46	том что он	1	2
47	и в частности	1	2
48	в отношении к	1	2
49	в конце концов	1	2
50	нельзя сказать что	1	2
51	тех или иных	2	2
52	даже и не	1	2
53	уже не просто	1	2
54	но даже и	1	2
55	ни было но	1	2
56	а не в	1	2
57	в связи с	4	2
58	к тому что	1	2
59	но все же	1	2
60	то что я	1	2
61	во всяком случае	2	2
62	в этом отношении	5	2
63	и в этом	1	2
64	а не только	1	2
65	как раз и	1	2
66	не мог бы	1	2
67	в этом и	1	2
68	в основе своей	1	2
69	мы имеем дело	2	2
70	быть не может	1	1
71	что он не	1	1
72	в полной мере	1	1
73	и как раз	1	1
74	в самом начале	1	1
75	как и во	1	1
76	одной стороны и	1	1
77	с тем же	1	1
78	и прежде всего	4	1
79	еще и в	1	1
80	того что они	1	1
81	в этом своем	1	1
82	в действительности же	1	1
83	как мы знаем	1	1
84	как это было	1	1
85	различие между ними	1	1
86	в чем он	1	1
87	имеется в виду	1	1
88	не в состоянии	1	1
89	когда речь идет	1	1
90	в xix веке	1	1
91	однако и здесь	1	1
92	здесь как и	1	1
93	один из моментов	1	1
94	в пределах самого	1	1
95	какой бы то	1	1
96	тем более не	1	1
97	и не было	1	1
98	только в том	2	1
99	мне но и	1	1
100	ее и в	1	1
101	было бы представить	1	1
102	не нуждается в	1	1
103	между прочим и	1	1
104	уже и не	1	1
105	так как будто	1	1
106	в себе не	1	1
107	внутренней и внешней	1	1
108	до сих пор	1	1
109	она уже не	1	1
110	резко отличается от	1	1
111	одного и того	1	1
112	то в чем	1	1
113	тех кто не	1	1
114	речь идет о	3	1
115	и во всей	1	1
116	в уме своем	4	1
117	образом от всего	1	1
118	но только в	1	1
119	только потому что	1	1
120	это уже не	1	1
121	если оно вообще	1	1
122	и того же	1	1
123	нет не только	1	1
124	в этом случае	2	1
125	но в то	1	1
126	быть может наиболее	1	1
127	а за ними	1	1
128	у него нет	1	1
129	в зависимости от	1	1
130	случае мы не	1	1
131	для тех кто	1	1
132	и всякой иной	1	1
133	имеем дело в	1	1
134	в этой связи	1	1
135	является одним из	1	1
136	нам быть с	1	1
137	как бы извне	1	1
138	на эту тему	1	1
139	тот или иной	1	1
140	же как я	2	1
141	по тем же	2	1
142	и не может	1	1
143	а также и	1	1
