N	2gram	Potebnia_M	slovoVRo
1	и в	58	92
2	и т	10	82
3	т п	6	72
4	то есть	69	64
5	может быть	47	59
6	и его	7	59
7	в нем	26	59
8	и не	34	51
9	не только	32	44
10	не может	30	41
11	но и	26	39
12	литературного языка	1	37
13	в этом	18	36
14	а не	38	34
15	во всех	12	32
16	точки зрения	8	30
17	так и	17	30
18	языка и	20	29
19	могут быть	17	29
20	и др	1	29
21	в его	7	27
22	слова в	7	26
23	языка в	6	25
24	все это	3	25
25	как бы	12	24
26	слова и	7	24
27	слово в	2	24
28	то же	13	23
29	и на	8	22
30	языков и	1	22
31	в сущности	2	21
32	как в	18	21
33	не в	23	21
34	вовсе не	13	21
35	в процессе	1	20
36	в то	6	20
37	его слово	1	19
38	прежде всего	8	19
39	как мы	3	19
40	с ним	7	18
41	как и	16	18
42	язык и	6	18
43	же время	4	18
44	себя в	1	18
45	таким образом	21	17
46	оно не	4	17
47	и даже	4	17
48	все же	11	17
49	в истории	8	17
50	все эти	3	17
51	в большинстве	1	17
52	при этом	17	16
53	в них	7	16
54	отличие от	1	16
55	но в	12	16
56	в той	1	15
57	и с	3	15
58	человек и	1	15
59	с точки	4	15
60	литературный язык	1	15
61	там где	8	15
62	только в	36	14
63	в отличие	1	14
64	так сказать	5	14
65	в особенности	1	13
66	отношении к	1	13
67	в слове	21	13
68	это не	10	13
69	с другой	13	13
70	с его	3	13
71	рядом с	3	13
72	и следовательно	4	13
73	и для	8	13
74	в отношении	1	12
75	еще не	9	12
76	во всяком	9	12
77	слово как	2	12
78	никогда не	7	12
79	и потому	7	12
80	или в	4	12
81	словом и	2	12
82	а в	11	12
83	отношение к	1	12
84	один из	2	11
85	в этих	10	11
86	большинстве случаев	1	11
87	с ними	2	11
88	для него	13	11
89	с одной	7	11
90	языка как	6	11
91	язык в	8	11
92	на его	1	11
93	одной стороны	6	11
94	слова как	1	11
95	зрения на	1	10
96	в языке	36	10
97	и их	6	10
98	и все	6	10
99	уже не	4	10
100	все они	3	10
101	лишь в	2	10
102	своего языка	2	10
103	т д	6	10
104	в своем	3	10
105	в том	38	10
106	с другими	3	10
107	она не	3	10
108	языку и	2	10
109	в себе	22	10
110	далеко не	4	10
111	всех этих	2	10
112	поэтому и	1	9
113	более или	6	9
114	в своей	3	9
115	конечно не	1	9
116	сказать что	5	9
117	языка а	3	9
118	так как	29	9
119	его в	3	9
120	одна из	4	9
121	в их	3	9
122	в смысле	4	9
123	или менее	6	9
124	и других	6	9
125	он не	4	9
126	одним из	2	9
127	и от	5	9
128	но не	19	9
129	с ее	2	9
130	к нему	2	9
131	более того	1	9
132	в самом	5	8
133	для нас	29	8
134	не на	3	8
135	не могут	10	8
136	может стать	3	8
137	зависимости от	1	8
138	язык не	5	8
139	с этим	11	8
140	в предмете	1	8
141	в зависимости	1	8
142	языка но	3	8
143	человека в	3	8
144	чужого языка	1	8
145	всяком случае	7	8
146	входит в	1	8
147	в одной	2	8
148	человека и	2	8
149	на мир	1	8
150	в ней	9	8
151	во всем	5	7
152	от него	8	7
153	же и	1	7
154	еще более	2	7
155	язык как	7	7
156	но все	4	7
157	о нем	1	7
158	например в	4	7
159	связанные с	3	7
160	том что	21	7
161	образа языка	1	7
162	слова к	2	7
163	перед нами	1	7
164	сливается с	1	7
165	известной степени	1	7
166	значительной степени	3	7
167	здесь не	2	7
168	друг друга	6	7
169	того же	13	7
170	слова от	1	7
171	мышления и	1	7
172	у него	3	7
173	не было	7	7
174	связи с	6	7
175	и непосредственно	2	7
176	слова могут	1	7
177	в таком	7	7
178	мы уже	1	7
179	его не	3	7
180	ту же	1	7
181	за пределы	4	7
182	жизни и	3	7
183	в целом	3	7
184	что в	34	6
185	и здесь	1	6
186	вне себя	3	6
187	нем в	1	6
188	дело с	2	6
189	даже в	1	6
190	в одном	13	6
191	ни в	2	6
192	другой стороны	7	6
193	по себе	24	6
194	и язык	12	6
195	именно в	2	6
196	роль в	1	6
197	себя и	3	6
198	языка то	4	6
199	можно сказать	1	6
200	по своим	1	6
201	в свою	8	6
202	наконец в	1	6
203	этого языка	2	6
204	слов и	5	6
205	и там	1	6
206	как к	1	6
207	и прямо	1	6
208	лежит в	1	6
209	человек в	1	6
210	единство и	1	6
211	на этом	3	6
212	хотя бы	4	6
213	между тем	7	6
214	и слова	2	6
215	стороны и	3	6
216	к языку	6	6
217	между словом	1	6
218	он в	1	6
219	которые в	1	6
220	ничего не	2	6
221	в чисто	1	6
222	должна быть	4	5
223	и при	6	5
224	не как	4	5
225	в результате	1	5
226	него нет	1	5
227	они не	5	5
228	по отношению	15	5
229	вместе с	12	5
230	не менее	10	5
