N	4gram	Losev_Prob	VerxiiNi
1	в том числе и	1	4
2	во всяком случае не	1	3
3	и вместе с тем	2	3
4	бы то ни было	2	2
5	с этой точки зрения	2	2
6	в то же время	1	2
7	свидетельствует о том что	1	1
8	но в конце концов	1	1
9	состоит в том что	1	1
10	по крайней мере в	3	1
11	но тем не менее	1	1
12	указывает на то что	1	1
13	сливаются в одно нераздельное	1	1
14	или по крайней мере	1	1
15	одном и том же	1	1
16	похожи друг на друга	1	1
17	мы видели выше что	1	1
18	но в то же	2	1
19	в нашем смысле слова	4	1
20	все более и более	1	1
21	в одном и том	1	1
22	еще и потому что	2	1
23	для людей но и	1	1
24	а с другой стороны	3	1
25	в общем можно сказать	1	1
26	общем можно сказать что	1	1
27	в одно нераздельное целое	4	1
28	а вместе с тем	1	1
