N	4gram	Berdyaev_N	Myslijsy
1	одного и того же	1	9
2	в том смысле в	1	6
3	том смысле в каком	1	6
4	в то время как	1	4
5	и до сих пор	1	2
6	в том случае если	1	2
7	но и потому что	1	1
8	и не могут быть	1	1
9	и вместе с тем	1	1
10	имея в виду эту	1	1
11	а не в том	1	1
12	можно было бы сказать	1	1
13	когда мы говорим что	1	1
14	не только потому что	1	1
15	никогда еще не было	1	1
16	в том числе и	1	1
17	то что совершается в	1	1
18	лишь в том случае	1	1
19	и быть не может	1	1
20	так же как и	1	1
21	подобно тому как в	1	1
