N	2gram	Voloshinov	Sovremen
1	не может	13	17
2	может быть	13	12
3	точки зрения	11	12
4	таким образом	8	11
5	мы не	9	9
6	в каждом	4	8
7	в этом	10	7
8	и в	42	7
9	не можем	1	7
10	мы можем	7	6
11	в результате	1	6
12	каждый раз	1	6
13	только одна	2	6
14	как и	12	6
15	ничего не	8	6
16	и не	14	6
17	с точки	5	5
18	прежде всего	22	5
19	что же	8	5
20	все эти	3	5
21	и наконец	5	5
22	в дальнейшем	2	4
23	а в	5	4
24	так как	8	4
25	вопрос о	2	4
26	это не	3	4
27	не только	28	4
28	мы должны	10	4
29	в развитии	1	4
30	с помощью	6	4
31	как бы	30	4
32	нет и	3	4
33	если мы	4	4
34	в зависимости	7	4
35	их в	3	4
36	жизни и	3	4
37	вместе с	5	4
38	в целом	4	4
39	в том	3	4
40	зависимости от	7	4
41	из них	3	4
42	точку зрения	6	4
43	мы видели	5	4
44	и к	4	3
45	и потому	2	3
46	видели что	3	3
47	с самого	4	3
48	когда мы	6	3
49	уже в	5	3
50	то же	16	3
51	при этом	9	3
52	поэтому мы	1	3
53	не в	6	3
54	а не	7	3
55	для нас	3	3
56	все это	4	3
57	как он	1	3
58	в одном	4	3
59	у нас	4	3
60	самого начала	4	3
61	в конце	6	3
62	так называемых	1	3
63	в наших	2	3
64	и т.д	21	3
65	было бы	7	3
66	в этой	6	3
67	из двух	2	3
68	он в	1	3
69	и все	4	3
70	на две	1	3
71	мы называем	4	3
72	в себе	10	3
73	ясно что	2	3
74	он может	1	3
75	одна из	1	3
76	состоит из	1	3
77	все же	9	3
78	в области	6	3
79	может не	1	3
80	между собой	2	3
81	отнюдь не	10	3
82	в нем	6	3
83	но мы	2	3
84	но в	5	3
85	еще не	3	3
86	с этим	2	2
87	что в	1	2
88	тем не	1	2
89	в самом	5	2
90	дает нам	1	2
91	совершенно не	3	2
92	мы видим	4	2
93	и что	1	2
94	которой он	1	2
95	и пр	4	2
96	теперь же	2	2
97	в свою	6	2
98	из этих	2	2
99	в его	6	2
100	не будем	1	2
101	еще более	2	2
102	только так	1	2
103	что это	4	2
104	еще мало	2	2
105	что при	1	2
106	из которых	3	2
107	только один	1	2
108	что такое	4	2
109	может иметь	1	2
110	если же	1	2
111	говорить о	1	2
112	на его	6	2
113	конечно в	1	2
114	развития мы	1	2
115	с общим	1	2
116	представлять себе	1	2
117	в живом	5	2
118	у него	1	2
119	для его	1	2
120	не могут	1	2
121	в виде	1	2
122	а на	2	2
123	свою очередь	4	2
124	и даже	3	2
125	самом деле	5	2
126	в которой	7	2
127	но все	5	2
128	к чему	2	2
129	же самое	5	2
130	ли оно	1	2
131	тот или	2	2
132	возможность и	1	2
133	как мы	10	2
134	наконец не	1	2
135	развития в	2	2
136	тем же	4	2
137	и во	1	2
138	той же	7	2
139	и будет	1	2
140	в таком	1	2
141	в нашем	5	2
142	уже не	4	2
143	не знаем	4	2
144	и есть	1	2
145	или иной	6	2
146	и именно	1	2
147	на этот	2	2
148	на этом	1	2
149	роль в	3	2
150	не менее	1	2
151	так сказать	4	2
152	же мы	5	2
153	этой стадии	1	2
154	и по	1	2
155	времени и	2	2
156	своего предмета	1	2
157	из одного	1	2
158	тот же	2	2
159	жизни мы	2	2
160	он должен	3	2
161	как угодно	1	2
162	совокупность условий	1	1
163	во всех	6	1
164	все они	1	1
165	лишь там	1	1
166	которые в	2	1
167	стадии своего	2	1
168	к которому	2	1
169	в социальном	1	1
170	именно к	1	1
171	какого-нибудь явления	1	1
172	это и	1	1
173	его и	3	1
174	этом случае	3	1
175	только не	1	1
