N	2gram	Vygotskiy_	Hudozhes
1	в качестве	2	31
2	то есть	30	26
3	в мире	3	24
4	и в	65	23
5	не только	16	20
6	состоит в	4	20
7	в том	46	20
8	при этом	10	19
9	может быть	33	19
10	в частности	3	18
11	и не	20	16
12	но и	6	14
13	а не	11	13
14	но не	3	13
15	а в	9	13
16	в себе	9	13
17	в этом	37	12
18	то же	17	12
19	такого рода	1	12
20	так и	3	12
21	и его	8	12
22	сводится к	1	11
23	представляет собой	3	11
24	как бы	29	11
25	точки зрения	19	11
26	в его	11	11
27	но в	5	10
28	в душе	1	9
29	том что	28	9
30	с другой	8	9
31	в искусстве	2	9
32	не в	12	9
33	не может	17	9
34	себя в	1	8
35	в то	5	8
36	что в	36	7
37	в самом	41	7
38	только в	9	7
39	в своей	6	7
40	в основе	5	7
41	в отличие	1	7
42	отличие от	1	7
43	не столько	1	7
44	как это	13	7
45	отношение к	2	7
46	другой стороны	5	6
47	более или	1	6
48	уже не	2	6
49	можно сказать	2	6
50	с ее	5	6
51	с его	2	6
52	мы имеем	2	6
53	в ее	9	6
54	а также	1	6
55	или менее	1	6
56	в нем	8	6
57	искусства в	1	6
58	ни в	6	5
59	в виду	6	5
60	не на	1	5
61	конечном счете	1	5
62	что он	23	5
63	в художественном	1	5
64	не менее	1	5
65	не является	2	5
66	того чтобы	21	5
67	для того	18	5
68	со стороны	4	5
69	иначе говоря	10	5
70	как к	6	5
71	для него	4	5
72	того что	9	5
73	прежде всего	2	5
74	с другими	1	5
75	в их	3	5
76	а на	2	5
77	в конечном	2	5
78	или иначе	2	5
79	между ними	1	5
80	и одновременно	2	5
81	тем самым	4	5
82	то что	61	5
83	место в	6	5
84	слова как	3	5
85	так или	1	4
86	не следует	3	4
87	например в	5	4
88	отношения к	3	4
89	в слове	1	4
90	из которого	1	4
91	для читателя	2	4
92	еще не	3	4
93	в данном	5	4
94	в другом	6	4
95	говорить о	3	4
96	сказать что	14	4
97	к которому	3	4
98	в своем	8	4
99	к тому	18	4
100	и то	10	4
101	это не	7	4
102	в отношении	1	4
103	его в	5	4
104	и как	10	4
105	в этих	3	4
106	так в	1	4
107	в себя	1	4
108	а только	1	4
109	того или	2	4
110	произведения искусства	1	4
111	между тем	10	4
112	он не	11	4
113	и тем	4	4
114	и что	29	4
115	в форме	1	4
116	далеко не	3	4
117	со своей	3	4
118	и о	6	4
119	однако в	1	4
120	художественного произведения	2	4
121	в силу	2	4
122	или иного	2	4
123	хотя и	1	4
124	в той	8	3
125	и к	5	3
126	к действительности	3	3
127	на деле	4	3
128	и составляет	1	3
129	и на	7	3
130	в момент	1	3
131	с этой	5	3
132	даже в	2	3
133	была бы	5	3
134	о чем	1	3
135	подобно тому	1	3
136	если бы	22	3
137	и сам	1	3
138	есть в	3	3
139	а именно	1	3
140	в романе	2	3
141	в жизни	6	3
142	имеет место	2	3
143	как и	12	3
144	к его	2	3
145	их в	4	3
146	никто не	1	3
147	себя и	1	3
148	художественное произведение	2	3
149	и того	1	3
150	для автора	2	3
151	виду не	1	3
152	к нему	2	3
153	потому что	26	3
154	одной стороны	6	3
155	отношении к	1	3
156	литературных произведений	1	3
157	в одном	9	3
158	имеем в	3	3
159	мог бы	1	3
160	во всей	3	3
161	от себя	1	3
162	из этих	6	3
163	и для	4	3
164	он должен	2	3
165	таким образом	21	3
166	на языке	1	3
167	по преимуществу	2	3
168	с одной	7	3
169	с точки	11	3
170	как раз	14	3
171	несет в	3	3
172	смешивать с	1	3
173	все прочие	2	3
174	читателя в	1	3
175	и притом	1	3
176	связи с	2	3
177	но он	5	3
178	искусства как	1	3
179	в таком	6	3
180	как говорит	2	3
181	в связи	1	3
182	по своему	6	3
183	текст и	1	3
184	во всех	4	3
185	в русской	4	3
186	тому как	1	3
187	в рассказе	9	3
188	принадлежит к	3	3
189	в свою	6	3
190	в которой	8	3
191	не будет	2	3
192	одно и	4	3
193	к области	1	3
194	автора и	2	3
195	говоря о	1	3
196	того же	4	3
197	что можно	1	3
198	одного и	2	3
199	слова в	1	3
200	и прежде	2	3
201	в целом	8	3
202	и ее	4	3
203	мире и	1	2
204	и другие	3	2
205	образом и	3	2
206	один из	7	2
207	таковы например	1	2
208	рассказ о	2	2
209	от имени	3	2
210	жизни а	1	2
211	и который	2	2
212	о жизни	1	2
213	с ним	6	2
214	строго говоря	1	2
215	из которых	6	2
216	не как	1	2
217	а затем	1	2
218	одно из	4	2
219	том и	3	2
220	по себе	5	2
221	есть высшая	1	2
222	в них	4	2
223	оно не	1	2
224	этой точки	2	2
225	самом деле	33	2
226	заключается в	13	2
227	на свою	2	2
228	все эти	7	2
229	имеет дело	2	2
230	именно в	3	2
231	значения и	1	2
232	ясно говорит	2	2
233	в порядке	4	2
234	из тех	1	2
235	либо в	6	2
236	как в	8	2
237	роль в	2	2
238	бы не	5	2
239	жизни в	1	2
240	отличается от	2	2
241	собою в	1	2
242	в итоге	1	2
243	ни для	1	2
244	в известном	1	2
245	всей своей	1	2
246	в каком	8	2
247	к другому	1	2
248	своей жизни	2	2
249	о том	17	2
250	свою очередь	3	2
251	это и	4	2
252	еще и	2	2
253	ни к	1	2
254	вытекает из	2	2
255	не могли	5	2
256	творческий акт	2	2
257	между собой	2	2
258	совершенно иной	1	2
259	введено в	1	2
260	своей природе	1	2
261	совпадает с	2	2
262	на основе	1	2
263	времени в	1	2
264	слова и	3	2
265	могло быть	1	2
266	между двумя	3	2
267	и больше	2	2
268	для меня	1	2
269	не могло	1	2
270	быть названо	1	2
271	вступает в	1	2
272	может служить	8	2
273	речь идет	7	2
274	говорит что	17	2
275	вслед за	4	2
276	и это	13	2
277	превращается в	1	2
278	для которого	1	2
279	не вполне	1	2
280	так же	12	2
281	и наоборот	1	2
282	в глаза	3	2
283	об этом	4	2
284	должен быть	4	2
285	я думаю	2	2
286	на наших	2	2
287	видим в	2	2
288	если мы	19	2
289	может оказаться	1	2
290	всякий раз	6	2
291	для понимания	1	2
292	одна из	6	2
293	этого слова	5	2
294	здесь не	3	2
295	не все	1	2
296	в противном	1	2
297	он и	1	2
298	не просто	7	2
299	в самой	9	2
300	чем это	1	2
301	никогда не	9	2
302	и по	2	2
303	на время	2	2
304	бы то	1	2
305	то в	1	2
306	к герою	1	2
307	этих двух	1	2
308	основе своей	1	2
309	не принадлежит	1	2
310	наших глазах	2	2
311	что сама	1	2
312	несмотря на	7	2
313	которого он	1	2
314	что такое	2	2
315	ее в	7	2
316	все это	12	2
317	что и	7	2
318	что каждый	1	2
319	в европейской	2	2
320	таком случае	1	2
321	у него	6	2
322	в повести	2	2
323	от всех	1	2
324	или в	6	2
325	и некоторые	1	2
326	и более	4	2
327	не от	2	2
328	одним из	2	2
329	что она	34	2
330	тому что	10	2
331	случае не	1	2
332	в какой	8	2
333	я не	9	2
334	противном случае	1	2
335	к своему	2	2
336	первой части	1	2
337	в сторону	2	2
338	в чем	3	2
339	вовсе не	11	2
340	тем более	2	2
341	я на	1	2
342	и потому	1	2
343	о себе	1	2
344	но как	3	2
345	а с	4	2
346	на этом	6	2
347	могут служить	1	2
348	определенным образом	1	2
349	дело не	3	2
350	есть как	2	2
351	быть и	1	2
352	и может	5	2
353	не с	2	2
354	за пределы	1	2
355	но только	10	2
356	ни одно	2	2
357	от своего	2	2
358	человека и	1	2
