N	3gram	Medvedev_S	Vvedenie
1	в том что	2	15
2	в то же	1	6
3	то же время	1	6
4	во всяком случае	1	5
5	по отношению к	2	4
6	по крайней мере	1	4
7	с одной стороны	1	4
8	и в этом	1	4
9	то же самое	1	3
10	сама по себе	1	3
11	не в том	2	2
12	а между тем	1	2
13	в конце концов	2	2
14	в связи с	1	2
15	между тем именно	1	2
16	в каждом своем	1	1
17	но ведь это	2	1
18	наука о литературе	1	1
19	но одно дело	1	1
20	общие законы развития	1	1
21	дело не в	2	1
22	все же это	1	1
23	только в этом	2	1
24	в лучшем случае	1	1
25	не было бы	1	1
26	это как будто	1	1
27	в настоящее время	1	1
28	между ними в	1	1
29	а в том	1	1
30	не может не	1	1
31	только то что	1	1
32	то что в	1	1
