N	2gram	Tiupa_Anal	Retstnzi
1	не может	26	4
2	и в	30	3
3	изменилось бы	1	2
4	если в	3	2
5	в центре	3	2
6	один из	4	2
7	может и	2	1
8	в особенности	1	1
9	несмотря на	5	1
10	может быть	33	1
11	не только	30	1
12	точки зрения	10	1
13	с точки	6	1
14	событий и	2	1
15	может не	2	1
16	для него	5	1
17	с теми	1	1
18	первая часть	1	1
19	подхода к	3	1
20	в ней	1	1
21	тех же	1	1
22	себе все	1	1
23	связи с	2	1
24	поставить в	1	1
25	можно и	1	1
26	с другими	4	1
27	часть книги	1	1
28	его от	3	1
29	если бы	6	1
30	конечно и	1	1
31	смысл и	3	1
32	художественного произведения	6	1
33	исходя из	5	1
34	литературного произведения	50	1
35	на примере	3	1
36	художественного и	1	1
37	в его	15	1
38	значительное количество	1	1
39	не менее	5	1
40	язык художественного	1	1
41	но и	29	1
42	мы видим	1	1
43	второй части	1	1
44	всех участников	1	1
45	к тому	12	1
46	во второй	3	1
47	тому что	2	1
48	языка как	1	1
49	вероятнее всего	1	1
50	в то	10	1
51	из этих	2	1
52	и больше	2	1
53	он в	5	1
54	же время	7	1
55	то же	12	1
56	при анализе	1	1
57	а не	25	1
58	бы в	3	1
59	нет и	2	1
60	в лингвистике	1	1
61	и должно	1	1
62	в системе	1	1
63	и не	33	1
64	так называемая	1	1
65	язык как	1	1
66	о литературе	3	1
67	и все	5	1
68	и на	10	1
69	художественного целого	15	1
