N	4gram	Bakhtin_Pr	Mirosoze
1	в то время как	2	4
2	у достоевского никогда не	1	3
3	одной и той же	1	3
4	в том что он	4	3
5	так же как и	3	3
6	она не может быть	1	2
7	в своей записной книжке	1	2
8	друг к другу и	1	2
9	потому что она не	3	2
10	место в творчестве достоевского	1	2
11	он видел в ней	1	1
12	той мере в какой	1	1
13	в самом начале романа	1	1
14	рыдая и обливая своими	1	1
15	что они не могут	1	1
16	всего творчества достоевского как	1	1
17	но не может быть	1	1
18	мы имеем в виду	2	1
19	хотя бы и самый	1	1
20	потому что он сам	1	1
21	по природе своей не	1	1
22	прошлое настоящее и будущее	1	1
23	не может нас удовлетворить	1	1
24	самой жизни а не	1	1
25	котором не было бы	1	1
26	слезами и исступленно клялся	1	1
27	не значит конечно что	3	1
28	достоевский был не только	1	1
29	в то же время	10	1
30	в творчестве достоевского но	1	1
31	и не может быть	1	1
32	у достоевского нельзя найти	1	1
33	в преступлении и наказании	2	1
34	и обливая своими слезами	1	1
35	бы он ни был	2	1
36	в обычном смысле слова	1	1
37	но это не значит	1	1
38	в том что это	1	1
39	герой записок из подполья	1	1
40	это не значит конечно	3	1
41	своими слезами и исступленно	1	1
42	но во всех этих	1	1
43	правда у достоевского есть	1	1
44	и есть то что	1	1
45	в самой жизни а	1	1
46	о жизни и смерти	1	1
47	и по отношению к	1	1
48	на протяжении всего романа	2	1
49	о том что все	2	1
50	что и у достоевского	1	1
51	лицом к лицу и	1	1
52	в той мере в	1	1
53	и исступленно клялся любить	1	1
54	по отношению к нему	1	1
55	обливая своими слезами и	1	1
56	в котором не было	1	1
57	к нему как к	1	1
58	как он отразился в	1	1
59	подобно тому как в	2	1
60	идея о том что	1	1
61	плача рыдая и обливая	1	1
62	не потому что она	1	1
