N	4gram	Berdyaev_M	FransuaR
1	мы имеем в виду	1	5
2	одной и той же	2	4
3	мы еще вернемся в	1	4
4	и не может быть	1	4
5	мы еще вернемся к	1	3
6	не что иное как	4	3
7	о том что в	1	3
8	есть не что иное	3	3
9	одна и та же	2	2
10	все более и более	1	2
11	в том что это	1	2
12	ни на что не	1	2
13	до сих пор не	1	2
14	не может быть и	1	2
15	может быть и речи	1	2
16	и по отношению к	1	2
17	так же как и	1	2
18	никогда не может быть	2	1
19	не одна а две	1	1
20	еще в одном отношении	1	1
21	ничего не остается кроме	1	1
22	от плоти и кровь	3	1
23	в то время как	2	1
24	в обычном смысле слова	1	1
25	и в самом деле	1	1
26	он так и не	1	1
27	из самых замечательных и	1	1
28	они до сих пор	1	1
29	в самом себе в	1	1
30	это и есть то	1	1
31	плоть от плоти и	3	1
32	над человеческой природой и	1	1
33	и вместе с тем	4	1
34	для него как для	1	1
35	нет всего того что	1	1
36	друг к другу и	2	1
37	мир к человеку и	1	1
38	самом себе в своем	1	1
39	в том случае если	1	1
40	плоти и кровь от	3	1
41	в своем художественном творчестве	1	1
42	не значит конечно что	1	1
43	говорят о том что	1	1
44	это не значит конечно	1	1
45	в нем нет ничего	1	1
46	ни в чем не	2	1
47	бы он ни был	1	1
48	быть и речи о	1	1
49	потому что в основе	1	1
50	и кровь от крови	3	1
51	менее всего может быть	1	1
52	начинается после того как	1	1
53	две стороны одной и	1	1
54	в том что он	1	1
55	стороны одной и той	1	1
56	того что преподносится в	1	1
57	лишь один из моментов	1	1
58	вместе с тем он	2	1
59	это прежде всего в	1	1
60	подобно тому как в	1	1
