N	3gram	Losev_Vlad	Komedia
1	в том что	13	29
2	к тому же	3	21
3	в то же	7	16
4	то же время	7	16
5	в самом деле	1	13
6	о том что	9	13
7	для того чтобы	3	11
8	в то время	6	11
9	в свою очередь	2	10
10	вместе с тем	2	9
11	с одной стороны	1	9
12	то время как	2	9
13	с другой стороны	3	8
14	так или иначе	3	7
15	бы то ни	2	7
16	в конце концов	6	7
17	то ни было	1	7
18	на этот раз	7	7
19	во всяком случае	8	7
20	говоря уже о	3	6
21	в том числе	1	6
22	в связи с	7	6
23	до тех пор	2	6
24	не говоря уже	3	6
25	после того как	2	6
26	что он не	3	5
27	к этому времени	3	5
28	и т д	3	5
29	в ответ на	2	5
30	за то что	2	5
31	в тех же	2	5
32	в этом отношении	2	5
33	тем не менее	8	5
34	том что он	4	5
35	и тот же	2	4
36	в самом начале	1	4
37	что у него	2	4
38	чуть ли не	1	4
39	в этой области	1	4
40	к тому что	1	4
41	но все же	1	4
42	само собой разумеется	2	4
43	и с этой	1	4
44	в это время	5	4
45	так как он	2	4
46	во второй половине	3	4
47	что и в	2	4
48	в той же	1	3
49	то что он	6	3
50	в том же	3	3
51	более или менее	5	3
52	в чем не	1	3
53	хотя и не	2	3
54	в высшей степени	1	3
55	речь шла о	1	3
56	вместе с ним	1	3
57	равно как и	1	3
58	в какой мере	1	3
59	на то что	6	3
60	в этом же	2	3
61	любовь к ней	1	3
62	один и тот	2	3
63	собой разумеется что	1	3
64	то обстоятельство что	2	3
65	ни в чем	1	3
66	а может быть	1	2
67	в известной степени	1	2
68	в эти годы	7	2
69	в этом смысле	4	2
70	и на этот	2	2
71	хотя бы по	1	2
72	не по годам	1	2
73	потому что в	2	2
74	так и в	1	2
75	у него в	2	2
76	о том насколько	1	2
77	незадолго до того	1	2
78	точно так же	2	2
79	и есть для	1	2
80	и в то	3	2
81	том что в	3	2
82	не было и	1	2
83	из них не	2	2
84	в самой общей	1	2
85	из всего этого	1	2
86	у него не	3	2
87	на первый план	4	2
88	и в том	2	2
89	со своей стороны	1	2
90	в течение всей	5	2
91	самой общей форме	1	2
92	но и здесь	1	2
93	как мы знаем	3	2
94	как это было	1	2
95	так и не	3	2
96	и в дальнейшем	1	2
97	но и все	1	2
98	выходят за пределы	1	2
99	можно судить по	6	2
100	не только в	3	2
101	в этом случае	1	2
102	или вовсе не	1	2
103	как мы видели	1	2
104	и в свою	1	2
105	тем более что	2	2
106	в этой же	1	2
107	и все же	2	2
108	когда он был	2	1
109	тоже было запрещено	1	1
110	которой мы сталкиваемся	1	1
111	тот же день	1	1
112	которую он считал	1	1
113	он был очень	1	1
114	что он говорит	1	1
115	но в этот	1	1
116	тех пор пока	2	1
117	себе не может	1	1
118	в этот период	1	1
119	быть также и	1	1
120	в которой оказался	1	1
121	в неловкое положение	1	1
122	и с его	1	1
123	но вместе с	1	1
124	в дружеских отношениях	2	1
125	что уже в	1	1
126	не может быть	4	1
127	еще с самого	1	1
128	как было сказано	2	1
129	можно сказать что	3	1
130	имеем дело с	1	1
131	дошедшим до нас	1	1
132	да и в	1	1
133	потому что как	1	1
134	а то что	1	1
135	в течение всего	1	1
136	его отношение к	1	1
137	вступить с ней	1	1
138	за собой и	1	1
139	и все это	1	1
140	полагать что в	1	1
141	потому что она	1	1
142	что в доме	1	1
143	к которой мы	1	1
144	до конца и	1	1
145	как мы уже	3	1
146	насколько мне известно	1	1
147	этот раз не	1	1
148	все усилия чтобы	1	1
149	что он был	1	1
150	сам по себе	1	1
151	но он не	1	1
152	несколько месяцев до	1	1
153	и уже в	1	1
154	друзей и в	1	1
155	и в конце	2	1
156	может быть также	1	1
157	и не могла	1	1
158	ничего общего с	1	1
159	более далекого от	1	1
160	в тот же	2	1
161	никогда не любил	1	1
162	смысле этого слова	1	1
163	что в нем	1	1
164	и меня и	1	1
165	как тот же	1	1
166	за это время	2	1
167	само по себе	1	1
168	не могла быть	1	1
169	именно здесь в	1	1
170	и во многом	1	1
171	и тем самым	1	1
172	это было в	1	1
173	и никогда не	1	1
174	еще и теперь	1	1
175	по себе не	1	1
176	за несколько месяцев	1	1
177	мы уже знаем	1	1
178	в былые времена	1	1
179	об этом не	1	1
180	но он ни	1	1
181	т i с	5	1
182	в этот момент	1	1
183	но как раз	1	1
184	по этому поводу	2	1
185	как раз против	1	1
186	он был и	1	1
187	не только во	1	1
188	лицом к лицу	1	1
189	в котором он	1	1
190	и в его	2	1
191	для нас важно	1	1
192	и по существу	2	1
193	наконец в г	1	1
194	есть для нас	1	1
195	в двух словах	1	1
196	все это конечно	2	1
197	вследствие чего он	1	1
198	не без основания	1	1
199	поводу того что	1	1
200	и не может	1	1
201	и в этом	1	1
202	мы имеем дело	1	1
203	из других источников	1	1
204	то что у	2	1
205	гораздо раньше чем	1	1
206	с ним не	1	1
207	он выступает против	1	1
208	он и в	1	1
209	в которой все	1	1
210	насколько можно судить	1	1
211	по существу своему	1	1
212	и во всяком	1	1
213	и особенно в	1	1
214	не столько по	1	1
215	ничего о ней	1	1
216	из той же	1	1
217	он не только	2	1
218	все то же	1	1
219	в котором по	1	1
220	в том чтобы	4	1
221	одной из причин	1	1
222	по крайней мере	1	1
223	как вероятно и	1	1
224	вместе со своим	1	1
225	о браке с	1	1
226	что у нее	1	1
227	из любви к	1	1
228	и без того	1	1
229	отношения к нему	1	1
230	конце концов в	1	1
231	и на его	2	1
232	в свое время	6	1
233	что как раз	1	1
234	к нему с	1	1
235	что же касается	8	1
236	то что в	1	1
237	еще одна цитата	1	1
238	во время своего	1	1
239	и есть тот	1	1
240	к выводу что	1	1
241	он не может	1	1
242	можно только удивляться	1	1
243	всего на несколько	1	1
244	том же году	1	1
245	нет никаких оснований	1	1
246	ответ на это	2	1
247	в настоящее время	2	1
248	об этом и	2	1
249	доброго и отзывчивого	1	1
250	не было бы	1	1
251	кроме того в	1	1
252	март г в	1	1
253	выйти замуж за	1	1
254	не что иное	2	1
255	и в частности	3	1
256	от отца и	1	1
257	по поводу того	1	1
258	в году он	5	1
259	из этих элементов	1	1
260	мы находим у	1	1
261	и ничего не	1	1
262	ни у одного	1	1
263	и о том	1	1
264	и не без	2	1
265	как раз этим	1	1
266	мы будем называть	1	1
267	к себе на	1	1
268	от него в	1	1
269	в этом доме	1	1
270	как раз в	1	1
271	главным образом в	2	1
272	на две партии	1	1
273	так что на	1	1
274	этот отрывок в	1	1
275	только об этом	1	1
276	по этому вопросу	1	1
277	и в литературе	1	1
278	еще в конце	1	1
279	что иное как	2	1
280	не мог без	1	1
281	как вы думаете	1	1
282	нет ни одного	1	1
283	в том виде	1	1
284	вот о чем	1	1
285	в следующем году	1	1
286	через всю его	1	1
287	с ней в	1	1
288	этого времени не	1	1
289	несколько слов о	1	1
290	дружеских отношениях с	3	1
