N	4gram	Potebnia_M	DiskursI
1	в то же время	3	8
2	с одной стороны и	2	5
3	дело в том что	3	5
4	одного и того же	6	4
5	не говоря уже о	1	3
6	той мере в какой	1	2
7	лицом к лицу с	1	2
8	в той мере в	1	2
9	в том случае если	1	2
10	а в том что	2	2
11	одной и той же	3	2
12	бы то ни было	1	2
13	в отличие от слова	1	1
14	не что иное как	2	1
15	сам по себе не	1	1
16	и в том и	1	1
17	только после того как	1	1
18	для того чтобы она	1	1
19	не только потому что	1	1
20	тем не менее в	2	1
21	только в том что	5	1
22	не только в том	1	1
23	или по крайней мере	2	1
24	одном и том же	3	1
25	заключается в том что	1	1
26	сами по себе они	1	1
27	по мере того как	6	1
28	во всяком случае для	1	1
29	но и потому что	1	1
30	в том что он	1	1
31	по себе не может	1	1
32	не в том что	3	1
33	подобно тому как в	1	1
