N	3gram	Vygotskiy_	Russkaja
1	друг с другом	6	14
2	то же время	1	10
3	в то же	2	10
4	с точки зрения	31	9
5	в том что	24	7
6	на самом деле	2	6
7	во всяком случае	1	6
8	для того чтобы	24	6
9	до сих пор	6	5
10	не может быть	6	4
11	на то что	5	4
12	быть самим собой	1	4
13	той или иной	2	3
14	в конце концов	1	3
15	вместе с тем	6	3
16	можно было бы	5	3
17	в данном случае	5	3
18	в лучшем случае	3	3
19	в этом случае	15	3
20	и то что	5	3
21	не может не	1	3
22	и не может	2	3
23	что он не	1	2
24	в том и	3	2
25	тот факт что	2	2
26	с другом и	1	2
27	в этом направлении	1	2
28	в значительной мере	2	2
29	и во всяком	1	2
30	точно так же	3	2
31	в большинстве случаев	2	2
32	и тем самым	8	2
33	по самому своему	1	2
34	о том что	4	2
35	только в том	2	2
36	не могут не	4	2
37	сама по себе	1	2
38	не только к	1	2
39	к тому что	10	2
40	а следовательно и	1	2
41	точки зрения этой	1	2
42	таким же образом	1	2
43	надо признать что	1	2
44	друг от друга	3	2
45	в настоящее время	1	2
46	она не может	1	2
47	из которых каждый	1	2
48	и вместе с	2	2
49	свою очередь является	1	1
50	во всех областях	1	1
51	должны были бы	1	1
52	сами в этом	1	1
53	этой природы в	1	1
54	то что эта	1	1
55	но при этом	1	1
56	в самом деле	4	1
57	значение независимое от	1	1
58	в силу этого	2	1
59	будет в состоянии	1	1
60	с внешней стороны	1	1
61	зрения приводит к	1	1
62	лишь тогда когда	1	1
63	этом и состоит	1	1
64	смысле этого слова	4	1
65	бы друг с	1	1
66	не только для	1	1
67	он еще не	1	1
68	речь идет о	1	1
69	связаны друг с	1	1
70	в этом состоит	1	1
71	и должно быть	1	1
72	таким образом оказывается	2	1
73	самое большее что	1	1
74	том числе и	2	1
75	о которой идет	1	1
76	внутренней и внешней	1	1
77	последнее время в	1	1
78	прежде всего на	1	1
79	как бы не	1	1
80	до известной степени	2	1
81	и не поддается	1	1
82	так же как	13	1
83	если бы все	2	1
84	бы показать что	2	1
85	образом связаны друг	1	1
86	в каждый данный	1	1
87	и таким образом	1	1
88	по отношению к	9	1
89	есть то что	1	1
90	от того что	2	1
91	во всех этих	1	1
92	но мы должны	2	1
93	в том чтобы	1	1
94	и ту же	1	1
95	прежде всего в	2	1
96	именно в силу	3	1
97	эта точка зрения	1	1
98	к ним с	1	1
99	к выяснению того	1	1
100	понятий благодаря этому	1	1
101	заключается в том	9	1
102	несмотря на то	1	1
103	с самого начала	13	1
104	на упомянутой выше	1	1
105	содержат в себе	4	1
106	и то и	1	1
107	остается в силе	2	1
108	на том же	1	1
109	каждый данный момент	1	1
110	и что в	1	1
111	но мы знаем	1	1
112	о которых мы	3	1
113	и того же	3	1
114	сих пор мы	1	1
115	в этом вопросе	2	1
116	то что для	2	1
117	заключает в себе	2	1
118	смотреть как на	1	1
119	по сравнению со	3	1
120	одну и ту	1	1
121	было бы показать	1	1
122	тем что он	1	1
123	и вопрос о	1	1
124	представить себе что	2	1
125	он не может	1	1
126	то же самое	11	1
127	в совершенно ином	1	1
128	мы говорили выше	2	1
129	точка зрения приводит	1	1
130	в том же	3	1
131	но и обратно	1	1
132	же время в	1	1
133	то в других	1	1
134	что с точки	1	1
135	при ближайшем рассмотрении	1	1
136	в том числе	2	1
137	что все это	1	1
138	тем не менее	4	1
139	образом оказывается что	1	1
140	но все же	1	1
141	но совершенно очевидно	1	1
142	того и другого	2	1
143	которой идет речь	1	1
144	которых мы говорили	3	1
145	в этом отношении	7	1
146	в силе и	1	1
147	по отношению ко	1	1
148	вопрос о том	1	1
149	для себя из	1	1
150	в свою очередь	3	1
151	в этом и	2	1
152	это и есть	1	1
153	тем более что	1	1
154	что все что	1	1
155	в значительной степени	1	1
156	на этот вопрос	1	1
157	то и другое	4	1
158	зависит от того	1	1
159	если только не	1	1
160	но и для	1	1
161	так как оно	1	1
162	можно сказать только	1	1
163	состоит в том	3	1
164	неизбежно приводит к	3	1
165	к тому же	1	1
166	совершенно очевидно что	2	1
167	одного и того	3	1
168	потому что они	2	1
169	и в этом	2	1
170	друг к другу	3	1
171	являются общими для	1	1
