N	2gram	Tiupa_Teor	ViktorSh
1	а.н веселовского	2	2
2	в конце	2	2
3	и в	24	2
4	в том	20	2
5	том что	11	2
6	в другом	4	1
7	говоря иначе	2	1
8	одно и	2	1
9	столь же	3	1
10	том же	1	1
11	по существу	1	1
12	ведь это	1	1
13	в самом	7	1
14	теории литературы	2	1
15	и т.д	4	1
16	а только	4	1
17	то я	1	1
18	именно в	3	1
19	все то	1	1
20	ни к	3	1
21	самом деле	2	1
22	за свою	1	1
23	более чем	1	1
24	и составляет	3	1
25	речи и	4	1
26	говоря о	3	1
27	в частности	23	1
28	и то	3	1
29	так в	4	1
30	крайней мере	1	1
31	и заключается	1	1
32	этом и	1	1
33	время в	1	1
34	и его	11	1
35	сводится к	12	1
36	к чему	2	1
37	значительной степени	2	1
38	прозы в	1	1
39	по поводу	1	1
40	далеко не	4	1
41	тем более	2	1
42	по крайней	1	1
43	только в	9	1
44	одном и	1	1
45	потому что	3	1
46	в значительной	2	1
47	в их	4	1
48	и только	1	1
49	то же	12	1
50	по своим	1	1
51	чего не	1	1
52	и том	1	1
53	и не	17	1
54	собственно и	1	1
55	я не	2	1
56	дело в	2	1
57	да и	1	1
58	в этом	12	1
59	так как	1	1
60	все это	2	1
