N	4gram	Propp_Isto	KulturaY
1	с этой точки зрения	3	5
2	состоит в том что	1	4
3	в зависимости от того	1	4
4	и т д и	1	4
5	и вместе с тем	2	3
6	есть вместе с тем	1	3
7	по мере того как	1	3
8	в том что он	1	3
9	здесь можно было бы	1	3
10	но с другой стороны	1	3
11	в тех случаях когда	6	3
12	точно так же как	1	3
13	в том-то и дело	1	2
14	том-то и дело что	1	2
15	в прямой связи с	1	2
16	а в том что	1	2
17	только в том чтобы	1	2
18	один и тот же	1	2
19	не только в том	1	2
20	в том что на	1	2
21	стоит в прямой связи	1	2
22	той обстановки в которой	1	1
23	о котором говорилось выше	1	1
24	с другой стороны к	1	1
25	но в том-то и	2	1
26	ниже мы увидим что	1	1
27	можно ли сказать что	1	1
28	и т д в	3	1
29	ни за что не	1	1
30	даже в тех случаях	2	1
31	и не может быть	1	1
32	что в тех случаях	2	1
33	дело совсем не в	1	1
34	и т д или	2	1
35	в то время как	4	1
36	в прямой связи со	1	1
37	только потому что у	1	1
38	о том что в	2	1
39	с одной стороны она	1	1
40	а в том чтобы	1	1
41	бы то ни было	1	1
42	ответ на этот вопрос	1	1
43	во всяком случае в	1	1
44	во всех этих случаях	6	1
45	или в том что	1	1
46	но и у других	1	1
47	мере того как они	1	1
48	и т д но	2	1
