N	2gram	Berdyaev_N	EvropaiC
1	в том	8	31
2	и в	16	24
3	том что	2	20
4	все эти	2	19
5	то что	4	18
6	не может	16	18
7	может быть	7	17
8	до сих	1	15
9	сих пор	1	15
10	в этом	7	13
11	все это	5	13
12	с этим	2	12
13	в своем	1	12
14	но и	3	11
15	культуры и	7	11
16	все что	1	10
17	не только	5	10
18	так и	2	10
19	как и	7	10
20	культуры в	5	10
21	во всех	3	10
22	что в	9	9
23	не в	6	9
24	и все	4	9
25	и не	11	9
26	потому что	4	9
27	и что	2	9
28	того же	1	9
29	в самом	1	8
30	к тому	3	8
31	для того	1	8
32	того чтобы	2	8
33	так же	2	8
34	из этих	1	8
35	так как	1	7
36	что он	1	7
37	не менее	4	7
38	о том	4	7
39	вместе с	2	7
40	по своей	1	7
41	в этой	1	7
42	в силу	1	7
43	по существу	2	7
44	для этого	2	7
45	и на	2	6
46	с ним	1	6
47	только в	1	6
48	в мире	3	6
49	еще не	3	6
50	все они	2	6
51	должна быть	3	6
52	народов и	1	6
53	как на	1	6
54	с другой	3	6
55	в то	2	6
56	и для	4	6
57	и к	5	5
58	ничем не	1	5
59	должно быть	4	5
60	в состоянии	1	5
61	в его	1	5
62	из всех	1	5
63	другой стороны	2	5
64	у него	2	5
65	в которой	1	5
66	но все	1	5
67	и с	2	5
68	по своему	4	5
69	случае если	1	5
70	и истории	1	5
71	не будет	7	5
72	и их	1	5
73	лишь в	6	5
74	в себе	2	5
75	и от	2	5
76	что все	2	5
77	как будто	2	5
78	из них	1	5
79	но в	2	5
80	социальной жизни	1	4
81	то они	1	4
82	своем развитии	1	4
83	хотя и	2	4
84	это есть	7	4
85	культуру и	1	4
86	что его	1	4
87	и культур	1	4
88	в конце	1	4
89	с тем	3	4
90	не есть	3	4
91	не могут	1	4
92	и у	1	4
93	и сейчас	1	4
94	том случае	1	4
95	что мы	1	4
96	культуре и	1	4
97	мы уже	1	4
98	хотя бы	2	4
99	цивилизации и	1	4
100	в такой	1	4
101	мы должны	1	4
102	и культуры	2	4
103	в области	1	4
104	он не	8	4
105	в одну	2	4
106	совершенно так	1	4
107	никогда не	6	4
108	ближе к	1	3
109	во всем	1	3
110	возможно лишь	1	3
111	народ не	1	3
112	с одной	2	3
113	историческую эпоху	1	3
114	прежде всего	4	3
115	у нас	1	3
116	в этих	1	3
117	в нем	5	3
118	в жизни	5	3
119	можно назвать	2	3
120	во имя	15	3
121	же как	2	3
122	в истории	3	3
123	и это	2	3
124	гораздо больше	1	3
125	и того	1	3
126	и потому	4	3
127	отличие от	1	3
128	вопрос о	3	3
129	в ней	5	3
130	должны быть	1	3
131	это не	4	3
132	и до	1	3
133	конечно не	3	3
134	от того	1	3
135	а в	2	3
136	было бы	1	3
137	но не	2	3
138	в эти	1	3
139	одного и	1	3
140	все в	1	2
141	от нее	1	2
142	и весь	2	2
143	антропологии и	1	2
144	культур и	1	2
145	для себя	1	2
146	а это	1	2
147	к таким	1	2
148	разобраться в	1	2
149	и из	1	2
150	каждого человека	2	2
151	в виду	1	2
152	том и	2	2
153	которые будут	1	2
154	приобщиться к	2	2
155	не было	4	2
156	быть признана	1	2
157	не знает	6	2
158	помнить что	2	2
159	на нее	1	2
160	народов мира	1	2
161	такой же	2	2
162	но для	2	2
163	и начало	3	2
164	жизни и	8	2
165	то время	1	2
166	чтобы быть	1	2
167	эти черты	1	2
168	давно уже	1	2
169	я не	2	2
170	как не	8	2
171	их в	1	2
172	есть в	2	2
173	которые могут	1	2
174	есть только	1	2
175	они не	1	2
176	себя и	1	2
177	не имеет	4	2
