N	4gram	Bakhtin_Pr	Psycholo
1	заключается в том что	1	23
2	в то время как	2	13
3	одной и той же	1	12
4	с этой точки зрения	1	10
5	заключается в том чтобы	1	9
6	в том что он	4	7
7	так же как и	3	5
8	в зависимости от того	1	4
9	одного и того же	1	4
10	и в том что	1	3
11	в то же время	10	3
12	дело в том что	1	3
13	само по себе не	1	2
14	с другой стороны и	1	2
15	можно было бы сказать	1	2
16	о котором мы говорили	1	2
17	в том что мы	1	2
18	и не может быть	1	2
19	в том что на	1	2
20	бы то ни было	2	2
21	не в том что	1	2
22	и в этом отношении	2	2
23	ни на минуту не	1	2
24	те же и что	1	1
25	в ней не только	1	1
26	той мере в какой	1	1
27	это было так то	1	1
28	именно в том что	2	1
29	в той мере в	1	1
30	в полном смысле этого	2	1
31	во что бы то	1	1
32	друг к другу и	1	1
33	лежат в одной плоскости	1	1
34	как мы уже говорили	1	1
35	уже с самого начала	1	1
36	в той степени как	1	1
37	в данном случае в	1	1
38	может быть понято как	1	1
39	в том что это	1	1
40	но они никогда не	1	1
41	если бы это было	1	1
42	полном смысле этого слова	2	1
43	не кто иной как	1	1
44	отношении друг к другу	1	1
45	само по себе как	1	1
46	что все это очень	1	1
47	само по себе но	1	1
48	и в сущности ничего	1	1
49	в этом отношении не	1	1
50	не потому что они	1	1
51	бы это было так	1	1
52	где дело идет о	1	1
53	и каждый из них	1	1
54	на самом деле нет	1	1
55	если бы герой был	1	1
56	но для того чтобы	1	1
57	что бы то ни	1	1
58	есть все то что	1	1
59	совершенно так же как	2	1
60	там где дело идет	1	1
61	в нас самих в	1	1
62	в отличие от других	1	1
63	не может найти в	1	1
64	может быть только человек	1	1
65	в одной плоскости с	4	1
66	с точки зрения их	1	1
67	до своих последних пределов	1	1
68	можно прямо сказать что	1	1
69	в том числе и	1	1
70	том и другом случае	2	1
71	в том и другом	2	1
72	в самом деле в	1	1
73	в сущности ничего не	1	1
74	мы его не видим	1	1
75	которые сами по себе	1	1
76	то есть мы должны	1	1
77	в данном случае и	1	1
78	это и есть та	1	1
79	бы то ни стало	1	1
80	все зависит от того	1	1
81	и в этом смысле	2	1
82	какой бы то ни	1	1
83	к своим героям и	1	1
84	по самой природе своей	1	1
85	искусства и в частности	1	1
